trade_date,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label
2026-01-06,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|300058|300136|600118|600362,002465|300058|300136|600118|600362,,,,,106960.0,123640.0,16680.0,0.01985479119217759,0.022486476819363332,0.0026316856271857425,0.03245083791264526,0.0,0.0,0.0,0.00292273052752446,7.549159219210626e-07,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-07,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.55,0.10000000000000003,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002759|300058|300136|300418,002465|002759|300058|300136|300418,,,,,0.0,0.0,0.0,0.0031186330743835367,0.013409097468938924,0.010290464394555388,0.021003948803677563,0.0,0.0,0.0,-0.0014036728776122393,0.0,pass,unknown_pending_forward_return
2026-01-08,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.45,0.0,reduce_position,reduce_position,False,blocked_recovery_streak_exceeded,negative_recent_champion,1.0,002371|002465|300058|300418|600111,002371|002465|300058|300418|600111,,,,,0.0,0.0,0.0,0.019649391733144173,0.03608756214516773,0.016438170412023556,0.0055342181099681,0.0,0.0,0.0,-0.00445167413161902,0.0,pass,unknown_pending_forward_return
2026-01-09,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.6,0.14999999999999997,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002465|002475|300058|300136|600111,002465|002475|300058|300136|600111,,,,,0.0,0.0,0.0,0.02437198846930988,0.014639004135844402,-0.009732984333465478,0.025454484633317738,0.0,0.0,0.0,0.014311194582924902,0.0,pass,unknown_pending_forward_return
2026-01-12,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.6,0.14999999999999997,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002025|002230|002465|300058|300136,002025|002230|002465|300058|300136,,,,,0.0,0.0,0.0,0.03971275889491932,0.06345756212509124,0.023744803230171918,0.03762241852125662,0.0,0.0,0.0,0.03762241852125662,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-13,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.45,0.6,0.14999999999999997,reduce_position,recovery_reduce,True,recovered,negative_recent_champion|v1_2b_dynamic_score_recovery,1.0,002230|300058|300383|600111|600410,002230|300058|300383|600111|600410,600410,,300136,,0.0,175431.0,175431.0,-0.003658225088792544,-0.00019203524928346205,0.0034661898395090818,0.025484587241039358,0.0,0.0,0.0,0.025484587241039358,2.8483456080251532e-06,pass,unknown_pending_forward_return
2026-01-14,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|300058|300442|300624|688111,002230|300058|300442|300624|688111,,002230,,300136,313370.0,148192.0,-165178.0,0.04254696220868648,0.07238749691688717,0.029840534708200694,0.0088466645701041,0.0,0.0,0.0,-0.0064160519900417,2.503480347825257e-06,pass,unknown_pending_forward_return
2026-01-15,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|002465|300442|600089|688111,002230|002465|300442|600089|688111,,600089,,600362,138359.0,0.0,-138359.0,-0.029800670410223606,-0.055427547859011495,-0.025626877448787888,0.04325487412696768,0.0,0.0,0.2,-0.04325487412696768,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-16,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|300442|600089|603881|688111,002230|300442|600089|603881|688111,600089,603881,,,76703.0,246606.0,169903.0,-0.029146407207983116,-0.07515224441240764,-0.04600583720442453,0.03708134926525516,0.0,0.0,0.0,-0.0060529182368241185,1.0991393902884195e-06,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-01-19,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7999999999999999,0.7999999999999999,0.0,normal,normal,False,not_applicable,adaptive_attack_non_low_liquidity,1.0,002230|002475|300442|600089|688525,002230|002475|300442|600089|688525,688525,,600362,,0.0,80044.0,80044.0,-0.0018937377977531478,0.0019052005923585469,0.0037989383901116947,0.01219678012689752,0.0,0.0,0.0,-0.011556428490099798,1.509675359286918e-06,pass,unknown_pending_forward_return
