signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,route_reason,risk_veto_reason,dual_intersection_count,dual_union_count,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,governed_nav_drawdown_20d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible
2024-07-08,2024-07-09,production_governed_vol_position_v1_2b_strict_precommit_uplift,3,600362,江西铜业,铜,92.62550810248035,0.09745199155692415,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.0033126293995858758,0.0,0.0,0.0,-0.0033126293995858758,0.0,0.5818151464516863,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_sample_count,0.013257328497185306,-0.03270907849809801,0,,,,,,,,,59.0,,,,,,0.14382152189053127,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03947855625857916,0.05263157894736836,0,2024-07-08T15:00:00+08:00,2024-07-08T15:00:00+08:00,2024-07-08T15:00:00+08:00,2024-07-09T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-08,2024-07-09,production_governed_vol_position_v1_2b_strict_precommit_uplift,4,601988,中国银行,银行,92.62099840794569,0.14382152189053127,0.0,0,,,1.0,1,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5818151464516863,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_sample_count,0.013257328497185306,-0.03270907849809801,0,,,,,,,,,59.0,,,,,,0.14382152189053127,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03947855625857916,0.05263157894736836,0,2024-07-08T15:00:00+08:00,2024-07-08T15:00:00+08:00,2024-07-08T15:00:00+08:00,2024-07-09T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-08,2024-07-09,production_governed_vol_position_v1_2b_strict_precommit_uplift,5,600276,恒瑞医药,化学制药,92.39835787185622,0.08986095512210064,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.002295332823259444,0.0,0.0,0.0,-0.002295332823259444,0.0,0.5818151464516863,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_sample_count,0.013257328497185306,-0.03270907849809801,0,,,,,,,,,59.0,,,,,,0.14382152189053127,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03947855625857916,0.05263157894736836,0,2024-07-08T15:00:00+08:00,2024-07-08T15:00:00+08:00,2024-07-08T15:00:00+08:00,2024-07-09T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-09,2024-07-10,production_governed_vol_position_v1_2b_strict_precommit_uplift,1,600733,北汽蓝谷,汽车整车,94.91938298660295,0.0411680981262102,0.0,0,,,1.0,1,0,,,,,,,,,,,,,0.02180685358255463,0.0,0.0,0.0,-0.02180685358255463,0.0,0.5801308431311112,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,0.02083274727132789,-0.03270907849809801,0,,,,,,0.03333333333333333,-2.474409430994467,,60.0,0.6,-0.5,,,,0.17575535516133328,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03840689519435286,0.04134993206272264,0,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-10T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-09,2024-07-10,production_governed_vol_position_v1_2b_strict_precommit_uplift,2,600418,江淮汽车,汽车整车,94.08069881531772,0.061797488659825345,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.0011092623405435376,0.0,0.0,0.0,-0.0011092623405435376,0.0,0.5801308431311112,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,0.02083274727132789,-0.03270907849809801,0,,,,,,0.03333333333333333,-2.474409430994467,,60.0,0.6,-0.5,,,,0.17575535516133328,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03840689519435286,0.04134993206272264,0,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-10T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-09,2024-07-10,production_governed_vol_position_v1_2b_strict_precommit_uplift,3,601600,中国铝业,铝,93.17964988016499,0.07193017272857036,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.008684863523573227,0.0,0.0,0.0,-0.008684863523573227,0.0,0.5801308431311112,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,0.02083274727132789,-0.03270907849809801,0,,,,,,0.03333333333333333,-2.474409430994467,,60.0,0.6,-0.5,,,,0.17575535516133328,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03840689519435286,0.04134993206272264,0,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-10T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-09,2024-07-10,production_governed_vol_position_v1_2b_strict_precommit_uplift,4,600219,南山铝业,铝,92.4412967880278,0.10382518243276294,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.002457002457002311,0.0,0.0,0.0,0.002457002457002311,0.0,0.5801308431311112,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,0.02083274727132789,-0.03270907849809801,0,,,,,,0.03333333333333333,-2.474409430994467,,60.0,0.6,-0.5,,,,0.17575535516133328,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03840689519435286,0.04134993206272264,0,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-10T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-09,2024-07-10,production_governed_vol_position_v1_2b_strict_precommit_uplift,5,600362,江西铜业,铜,92.11602088346717,0.09719487820920575,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.00692746536267308,0.0,0.0,0.0,-0.00692746536267308,0.0,0.5801308431311112,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,0.02083274727132789,-0.03270907849809801,0,,,,,,0.03333333333333333,-2.474409430994467,,60.0,0.6,-0.5,,,,0.17575535516133328,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03840689519435286,0.04134993206272264,0,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-09T15:00:00+08:00,2024-07-10T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-10,2024-07-11,production_governed_vol_position_v1_2b_strict_precommit_uplift,1,601600,中国铝业,铝,95.519892283599,0.061346519493604736,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.001322751322751392,0.0,0.0,0.0,0.001322751322751392,0.0,0.5802653664513258,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,-0.003308290803047842,-0.028248530247910297,0,,,,,,0.06557377049180328,-2.0112511899434105,,61.0,0.6,-0.5,,,,0.0969901907661492,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03896276622493065,0.062121128165345985,0,2024-07-10T15:00:00+08:00,2024-07-10T15:00:00+08:00,2024-07-10T15:00:00+08:00,2024-07-11T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
2024-07-10,2024-07-11,production_governed_vol_position_v1_2b_strict_precommit_uplift,2,600418,江淮汽车,汽车整车,94.57146266193647,0.05640942653199981,0.0,0,,,1.0,0,1,,,,,,,,,,,,,0.002088772845953102,0.0,0.0,0.0,0.002088772845953102,0.0,0.5802653664513258,defensive,baseline_full_liquidity_detail_vol_position,,0.45,,defensive,baseline_full_liquidity_detail_vol_position,0.45,,,,,,,,,,production_risk_governor_backtest,,,,,,,,,,,,,reduce_position,,True,negative_recent_champion,v1.2b_gate_tuned,blocked_dynamic_score_floor,-0.003308290803047842,-0.028248530247910297,0,,,,,,0.06557377049180328,-2.0112511899434105,,61.0,0.6,-0.5,,,,0.0969901907661492,,,strict_precommit_no_intraday_guard,0,,,baseline_full_liquidity_detail_vol_position,0.45,baseline_full_liquidity_detail_vol_position,0.45,normal,precommit_normal,1.0,,0,0.03896276622493065,0.062121128165345985,0,2024-07-10T15:00:00+08:00,2024-07-10T15:00:00+08:00,2024-07-10T15:00:00+08:00,2024-07-11T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1
