strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,pattern_guard_enabled,pattern_strategy_mode
production_governed_vol_position,2023-11-30,002142,宁波银行,银行,BUY,24.7909,4700,116517.23,87.3879225,383395.3820775,rebalance_unlocked,4700.0,24.7909,4700.0,24.7909,,-40.69274735065714,0.3622750259624573,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-11-30,002594,比亚迪,汽车整车,BUY,619.5316,100,61953.16,46.464870000000005,321395.7572075,rebalance_unlocked,100.0,619.5316,100.0,619.5316,,-285.2445459058074,0.3622750259624573,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-11-30,300351,永贵电器,运输设备,BUY,23.2305,900,20907.45,15.680587500000001,300472.62662,rebalance_unlocked,900.0,23.2305,900.0,23.2305,,-39.4553356442031,0.3622750259624573,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-11-30,688041,海光信息,半导体,BUY,72.0413,500,36020.65,27.015487500000003,264424.9611325,rebalance_unlocked,500.0,72.0413,500.0,72.0413,,-111.26539497261071,0.3622750259624573,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-11-30,688271,联影医疗,医疗保健,BUY,138.8526,600,83311.56,62.48367,181050.9174625,rebalance_unlocked,600.0,138.8526,600.0,138.8526,,-149.1409761267204,0.3622750259624573,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-12-14,002142,宁波银行,银行,SELL,22.1056,4700,103896.31999999999,77.92224,284869.3152225,rebalance_unlocked,,,,,,,0.49012754453073504,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-12-14,002594,比亚迪,汽车整车,SELL,593.1031,100,59310.310000000005,44.482732500000004,344135.14249,rebalance_unlocked,,,,,,,0.49012754453073504,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-12-14,300351,永贵电器,运输设备,SELL,20.6853,900,18616.77,13.9625775,362737.9499125,rebalance_unlocked,,,,,,,0.49012754453073504,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-12-14,688041,海光信息,半导体,SELL,78.4035,500,39201.75,29.4013125,401910.2986,rebalance_unlocked,,,,,,,0.49012754453073504,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2023-12-14,688271,联影医疗,医疗保健,SELL,141.6259,600,84975.54000000001,63.73165500000001,486822.106945,rebalance_unlocked,,,,,,,0.49012754453073504,,,,,,,,,,,,,,,,,,,,,
