first_date,last_date,trading_days,initial_cash,final_equity,total_return,annualized_return,max_drawdown,daily_win_rate,best_day,worst_day,avg_gross_exposure,avg_position_count,trade_count,buy_count,sell_count,stop_loss_sell_count,turnover,total_cost,adaptive_switch_count,adaptive_attack_days,adaptive_recent_champion_days,adaptive_balanced_days,adaptive_robust_days,adaptive_defensive_days,adaptive_fallback_days,dual_attack_days,dual_neutral_days,dual_defensive_days,dual_freeze_days,adaptive_avg_target_position_ratio,adaptive_min_target_position_ratio,adaptive_max_target_position_ratio,strategy,sort_col,pool,top_n,hold_days,trade_cost_rate,slippage_rate,lot_size,min_trade_value,max_total_positions,position_ratio,risk_profile,risk_profile_description,market_gate,hard_stop_loss_pct,normal_risk_days,high_risk_days,extreme_risk_days,cap_missing_fallback_days,cap_input_coverage,cap_trigger_count
2023-11-30,2026-06-18,616,500000.0,810602.9272499997,0.6212058544999994,0.21894038768351365,-0.2640372978262414,0.49512987012987014,0.07109695921526593,-0.06749370023123302,0.5370628120531908,4.910714285714286,616,312,304,0,66.94436748032041,25356.07275,81,35,299,0,0,280,0,0,0,0,0,0.5614820846905538,0.45,0.7999999999999999,production_governed_vol_position_v1_2b_strict_precommit_uplift,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0,91.0,205.0,318.0,0.0,1.0,878.0
2023-11-30,2026-06-18,616,500000.0,606824.4950325002,0.2136489900650005,0.08257416827620778,-0.24810418157264214,0.48538961038961037,0.048963766241680196,-0.0725864176212817,0.5565500253664991,4.900974025974026,611,311,300,0,68.94703229620148,24082.794967499998,81,35,299,0,0,280,0,0,0,0,0,0.5580618892508145,0.45,0.7999999999999999,production_governed_vol_position,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0,,,,,,
