strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,gross_return,net_return,exit_reason
adaptive_market_style,000977,浪潮信息,IT设备,2023-11-30,2023-12-14,1900,35.3729376,36.2680956,1700.800200000004,102.08847231000001,1598.711727690004,0.025306295171820904,0.023787315450442038,rebalance_unlocked
adaptive_market_style,002456,欧菲光,元器件,2023-11-30,2023-12-14,7000,9.91991,9.18081,-5173.7000000000035,100.27878,-5273.978780000003,-0.07450672435536215,-0.07595084431209562,rebalance_unlocked
adaptive_market_style,300364,中文在线,出版业,2023-11-30,2023-12-14,300,28.638609999999996,32.51745,1163.652,13.7601135,1149.8918865,0.13544093096697085,0.1338393502687456,rebalance_unlocked
adaptive_market_style,601127,赛力斯,汽车整车,2023-11-30,2023-12-14,100,75.8836078,83.1745422,729.0934400000012,11.92936125,717.1640787500012,0.09608049236689051,0.09450843199761534,rebalance_unlocked
adaptive_market_style,000625,长安汽车,汽车整车,2023-11-30,2023-12-15,400,21.6857641,19.2260547,-983.8837600000005,12.273545640000002,-996.1573056400005,-0.11342507410195433,-0.11484000529637786,rebalance_unlocked
adaptive_market_style,601127,赛力斯,汽车整车,2023-11-30,2023-12-15,100,75.8836078,83.7156006,783.199280000001,11.96994063,771.229339370001,0.10321060143373956,0.10163319348266425,rebalance_unlocked
adaptive_market_style,300364,中文在线,出版业,2023-11-30,2023-12-18,100,28.638609999999996,30.73923,210.0620000000003,4.453338,205.6086620000003,0.07334923028736393,0.0717942183646484,rebalance_unlocked
adaptive_market_style,601127,赛力斯,汽车整车,2023-11-30,2023-12-19,100,75.8836078,91.0764324,1519.2824600000008,12.522003015,1506.7604569850007,0.20021220709540394,0.19856204794008236,rebalance_unlocked
adaptive_market_style,601127,赛力斯,汽车整车,2023-11-30,2023-12-25,100,75.8836078,86.7784347,1089.4826900000012,12.1996531875,1077.2830368125012,0.14357286396707158,0.1419651843190963,rebalance_unlocked
adaptive_market_style,000625,长安汽车,汽车整车,2023-11-30,2023-12-26,100,21.6857641,18.2279538,-345.7810299999999,2.9935288425000004,-348.77455884249986,-0.15945070157799968,-0.16083111355181617,rebalance_unlocked
