strategy,recommendations,unique_stocks,unique_industries,top_industry,top_industry_share,top_stock,top_stock_share,largest_winner_share_of_positive_pnl
adaptive_market_style,3095,496,78,通信设备,0.15218093699515348,300750,0.050403877221324715,0.16586469360566966
baseline_full_liquidity_detail_vol_position,3095,498,78,半导体,0.1111470113085622,601288,0.017124394184168012,0.06135806954680697
dual_system_adaptive_route,3055,478,78,通信设备,0.15220949263502456,300750,0.05171849427168576,0.05098894548601805
tiered_liquidity_then_bs_v2,3095,1170,100,元器件,0.09337641357027464,300502,0.006462035541195477,0.09475602224311534
