strategy,capital,cost_rate,slippage_bps,estimated_return_after_incremental_friction,proxy_available,p95_adv_or_turnover_impact,max_adv_or_turnover_impact,unfilled_ratio,capacity_status
adaptive_market_style,500000,0.00075,10,0.0029345926814505,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.00075,25,-0.06655610986186289,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.00075,50,-0.18237394743405186,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.00075,100,-0.41400962257842977,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.0015,10,-0.03181075859020619,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.0015,25,-0.10130146113351957,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.0015,50,-0.21711929870570854,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.0015,100,-0.44875497385008645,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.003,10,-0.1013014611335196,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.003,25,-0.17079216367683298,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.003,50,-0.2866100012490219,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.003,100,-0.5182456763933999,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.005,10,-0.19395573119127077,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.005,25,-0.26344643373458415,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.005,50,-0.3792642713067731,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,500000,0.005,100,-0.6108999464511511,True,1.119252039196244e-05,0.0002708957177728,0.004523424878836834,PASS
adaptive_market_style,1000000,0.00075,10,0.0029345926814505,True,2.238504078392488e-05,0.0005417914355456,0.004523424878836834,PASS
adaptive_market_style,1000000,0.00075,25,-0.06655610986186289,True,2.238504078392488e-05,0.0005417914355456,0.004523424878836834,PASS
adaptive_market_style,1000000,0.00075,50,-0.18237394743405186,True,2.238504078392488e-05,0.0005417914355456,0.004523424878836834,PASS
adaptive_market_style,1000000,0.00075,100,-0.41400962257842977,True,2.238504078392488e-05,0.0005417914355456,0.004523424878836834,PASS
adaptive_market_style,1000000,0.0015,10,-0.03181075859020619,True,2.238504078392488e-05,0.0005417914355456,0.004523424878836834,PASS
