strategy,window,comparable,coverage_ratio,coverage_status,window_start,window_end,trading_days,total_return,annualized_return,max_drawdown,annualized_volatility,sharpe,sortino,calmar,daily_win_rate,monthly_win_rate,var_95_daily,cvar_95_daily,worst_day,worst_month,drawdown_recovery_trading_days
adaptive_market_style,full_history,True,1.0,FULL,2023-11-30,2026-06-26,621,0.0029345926814505,0.0011917327478967,-0.2831312760665686,0.24614377000652773,0.12194748059322909,0.15604362976141614,-0.0015785359287948631,0.4589371980676328,0.40625,-0.01939829190663256,-0.03454528941790927,-0.15386109102123458,-0.07229980058156382,
adaptive_market_style,1y,True,1.0,FULL,2025-06-13,2026-06-26,252,0.2054990799127383,0.20639702425242024,-0.1802788155579207,0.3399934404378962,0.723162483602809,0.8915675293420146,1.1448767489051324,0.4900398406374502,0.6153846153846154,-0.02523049470085864,-0.04830141450282582,-0.15386109102123458,-0.06527406403270863,
adaptive_market_style,6m,True,1.0,FULL,2025-12-16,2026-06-26,126,0.2921847970504965,0.6766038082657655,-0.1802788155579207,0.4188390393691256,1.445813810898038,1.6894869333142415,3.753096591919773,0.52,0.7142857142857143,-0.02405135962725067,-0.05845064096368908,-0.15386109102123458,-0.06527406403270863,
adaptive_market_style,3m,True,1.0,FULL,2026-03-25,2026-06-26,63,0.1591907404006434,0.8228823477449829,-0.15386109102123458,0.4706717823315485,1.5141137675053724,1.5893275109695815,5.34821599329109,0.5483870967741935,0.75,-0.019818424264552503,-0.054510325335297094,-0.15386109102123458,-0.016331184764608486,3.0
ashare_auto_shadow,full_history,False,1.0,INSUFFICIENT_TRADES,2023-11-30,2026-06-26,621,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_auto_shadow,1y,False,1.0,INSUFFICIENT_TRADES,2025-06-13,2026-06-26,252,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_auto_shadow,6m,False,1.0,INSUFFICIENT_TRADES,2025-12-16,2026-06-26,126,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_auto_shadow,3m,False,1.0,INSUFFICIENT_TRADES,2026-03-25,2026-06-26,63,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_hybrid_conservative_shadow,full_history,False,1.0,INSUFFICIENT_TRADES,2023-11-30,2026-06-26,621,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_hybrid_conservative_shadow,1y,False,1.0,INSUFFICIENT_TRADES,2025-06-13,2026-06-26,252,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_hybrid_conservative_shadow,6m,False,1.0,INSUFFICIENT_TRADES,2025-12-16,2026-06-26,126,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_hybrid_conservative_shadow,3m,False,1.0,INSUFFICIENT_TRADES,2026-03-25,2026-06-26,63,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_trend_breakout_shadow,full_history,False,1.0,INSUFFICIENT_TRADES,2023-11-30,2026-06-26,621,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_trend_breakout_shadow,1y,False,1.0,INSUFFICIENT_TRADES,2025-06-13,2026-06-26,252,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_trend_breakout_shadow,6m,False,1.0,INSUFFICIENT_TRADES,2025-12-16,2026-06-26,126,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ashare_trend_breakout_shadow,3m,False,1.0,INSUFFICIENT_TRADES,2026-03-25,2026-06-26,63,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline_full_liquidity_detail_vol_position,full_history,True,1.0,FULL,2023-11-30,2026-06-26,621,0.193715583459042,0.0746238623411907,-0.2489792210225205,0.28582159638741395,0.38358764949011553,0.5664252986737396,0.2859024973032802,0.4895330112721417,0.5,-0.026444209519261037,-0.040045029946298036,-0.09141581475001337,-0.12923227582755237,171.0
baseline_full_liquidity_detail_vol_position,1y,True,1.0,FULL,2025-06-13,2026-06-26,252,0.44662278841234215,0.4487523983561146,-0.24153705548087467,0.323892613355994,1.307272127330029,1.822504576684272,1.8579029104362315,0.5139442231075697,0.6153846153846154,-0.02806873923498321,-0.046209083066853944,-0.09141581475001337,-0.12923227582755237,50.0
baseline_full_liquidity_detail_vol_position,6m,True,1.0,FULL,2025-12-16,2026-06-26,126,0.4552886992535359,1.130617551835405,-0.24153705548087467,0.3751652175023337,2.206384201150465,2.9683359400487657,4.680927941199188,0.56,0.7142857142857143,-0.032431228239747575,-0.0530227146853564,-0.09141581475001337,-0.12923227582755237,50.0
baseline_full_liquidity_detail_vol_position,3m,True,1.0,FULL,2026-03-25,2026-06-26,63,0.3557263379689024,2.445207317642102,-0.09141581475001337,0.3964391837491117,3.3235824202848807,4.603834002275694,26.748187108858474,0.5483870967741935,0.75,-0.027237689730103255,-0.04587047307565309,-0.09141581475001337,-0.057488110972948814,
dual_system_adaptive_route,full_history,True,1.0,FULL,2023-11-30,2026-06-26,621,-0.0244916662051272,-0.0100279892774512,-0.3177128225294005,0.226890428666457,0.06151708622012212,0.09276309279516635,-0.03666295661550459,0.4975845410628019,0.34375,-0.020382518297925586,-0.032828800091429924,-0.05419580649886335,-0.09314562079609323,
dual_system_adaptive_route,1y,True,1.0,FULL,2025-06-13,2026-06-26,252,0.2826892055078474,0.2839620947827768,-0.14296665843469714,0.25540118381503957,1.1065517667233065,1.6137162246073276,1.9862120153873648,0.5657370517928287,0.5384615384615384,-0.026073155174964946,-0.03735306915563989,-0.04975415627791169,-0.07310809608653901,27.0
dual_system_adaptive_route,6m,True,1.0,FULL,2025-12-16,2026-06-26,126,0.31106665742206907,0.7263607035411208,-0.1276509104150958,0.28080857844794366,2.086054570708406,3.1365441005434467,5.690211696721456,0.6,0.5714285714285714,-0.026617334128664384,-0.03791733338774867,-0.04975415627791169,-0.014404385930010588,54.0
dual_system_adaptive_route,3m,True,1.0,FULL,2026-03-25,2026-06-26,63,0.09013872934573519,0.4201860912459381,-0.07046661940357113,0.2732517310113187,1.4186378905720762,2.4183384923591396,5.962909740844525,0.5645161290322581,0.5,-0.026406256547710776,-0.031796050740907966,-0.038403391109580576,-0.021543741424124185,
tiered_liquidity_then_bs_v2,full_history,True,1.0,FULL,2023-11-30,2026-06-26,621,-0.4541775483789168,-0.2181487844472929,-0.6022438722951413,0.37397687281959063,-0.4711971085992792,-0.7321418033564644,-0.36103481313076835,0.4814814814814814,0.4375,-0.03211823927135302,-0.04845590199092613,-0.14931821660859435,-0.18209425117613132,
tiered_liquidity_then_bs_v2,1y,True,1.0,FULL,2025-06-13,2026-06-26,252,0.08480540963371497,0.08515727480718072,-0.3814925879635156,0.45160297682550743,0.40049051161198085,0.6434206143989107,0.22322130886413136,0.50199203187251,0.5384615384615384,-0.037929274267958,-0.052975162624132696,-0.14931821660859435,-0.1374311175615296,
tiered_liquidity_then_bs_v2,6m,True,1.0,FULL,2025-12-16,2026-06-26,126,0.025372845503037533,0.05181105964628219,-0.3216762955022846,0.3709226441694048,0.319228846638108,0.5467919604376377,0.1610658303726773,0.504,0.5714285714285714,-0.03730692909888307,-0.044379150542287964,-0.055245959394934374,-0.1374311175615296,
tiered_liquidity_then_bs_v2,3m,True,1.0,FULL,2026-03-25,2026-06-26,63,0.2287552666932149,1.3101146276104316,-0.11374676881069845,0.37925672303530517,2.3959387671583547,4.764885367607308,11.517818407578439,0.532258064516129,0.75,-0.02992586687298349,-0.038358748448648866,-0.044663915484617456,-0.04850540936124337,18.0
