strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,pattern_guard_enabled,pattern_strategy_mode,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
adaptive_market_style,2023-11-30,000625,长安汽车,汽车整车,BUY,21.6857641,3200,69394.44512,52.04583384000001,930553.50904616,rebalance_unlocked,3200.0,21.6641,3200.0,21.6857641,,-6.055548799999838,0.6570666495952123,0.65,0.65,0.0070666495952123,-342.7275800000061,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-11-30,000977,浪潮信息,IT设备,BUY,35.3729376,1900,67208.58144,50.40643608,863294.52117008,rebalance_unlocked,1900.0,35.3376,1900.0,35.3729376,,-27.914185599999943,0.6570666495952123,0.65,0.65,0.0070666495952123,-342.7275800000061,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-11-30,002456,欧菲光,元器件,BUY,9.91991,7000,69439.37,52.0795275,793803.0716425801,rebalance_unlocked,7000.0,9.91,7000.0,9.91991,,-5.6062999999999255,0.6570666495952123,0.65,0.65,0.0070666495952123,-342.7275800000061,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-11-30,300364,中文在线,出版业,BUY,28.638609999999996,2400,68732.66399999999,51.54949799999999,725018.8581445802,rebalance_unlocked,2400.0,28.61,2400.0,28.638609999999996,,-12.673360000000075,0.6570666495952123,0.65,0.65,0.0070666495952123,-342.7275800000061,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-11-30,601127,赛力斯,汽车整车,BUY,75.8836078,900,68295.24702,51.221435265,656672.3896893151,rebalance_unlocked,900.0,75.8078,900.0,75.8836078,,-17.047529800000017,0.6570666495952123,0.65,0.65,0.0070666495952123,-342.7275800000061,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-14,000977,浪潮信息,IT设备,SELL,36.2680956,1900,68909.38164,51.68203623000001,725530.0892930852,rebalance_unlocked,,,,,,,0.728449644941664,0.65,0.65,0.0784496449416639,198322.27765,6100,0.7259249320176108,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-14,002456,欧菲光,元器件,SELL,9.18081,7000,64265.67,48.1992525,789747.5600405851,rebalance_unlocked,,,,,,,0.728449644941664,0.65,0.65,0.0784496449416639,198322.27765,6100,0.7259249320176108,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-14,300364,中文在线,出版业,SELL,32.51745,300,9755.235,7.316426249999999,799495.4786143351,rebalance_unlocked,,,,,,,0.728449644941664,0.65,0.65,0.0784496449416639,198322.27765,6100,0.7259249320176108,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-14,601127,赛力斯,汽车整车,SELL,83.1745422,100,8317.45422,6.238090665,807806.69474367,rebalance_unlocked,,,,,,,0.728449644941664,0.65,0.65,0.0784496449416639,198322.27765,6100,0.7259249320176108,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-14,000625,长安汽车,汽车整车,BUY,19.843523699999995,300,5953.057109999999,4.464792832499999,801849.1728408375,rebalance_unlocked,300.0,19.8237,300.0,19.843523699999995,,-640.8520340059324,0.728449644941664,0.65,0.65,0.0784496449416639,198322.27765,6100,0.7259249320176108,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-14,300750,宁德时代,电气设备,BUY,172.3102381,400,68924.09524,51.69307143,732873.3845294075,rebalance_unlocked,400.0,172.1381,400.0,172.3102381,,-15.188823809656055,0.728449644941664,0.65,0.65,0.0784496449416639,198322.27765,6100,0.7259249320176108,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-15,000625,长安汽车,汽车整车,SELL,19.2260547,400,7690.42188,5.76781641,740558.0385929975,rebalance_unlocked,,,,,,,0.7523030187383689,0.685,0.685,0.0673030187383688,179304.01,5900,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-15,601127,赛力斯,汽车整车,SELL,83.7156006,100,8371.56006,6.278670045,748923.3199829524,rebalance_unlocked,,,,,,,0.7523030187383689,0.685,0.685,0.0673030187383688,179304.01,5900,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-18,300364,中文在线,出版业,SELL,30.73923,100,3073.923,2.30544225,751994.9375407024,rebalance_unlocked,,,,,,,0.7503994385654568,0.685,0.685,0.0653994385654567,182074.51597,5800,0.9896944094388208,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-18,000625,长安汽车,汽车整车,BUY,18.9592403,100,1895.9240299999997,1.4219430224999998,750097.5915676799,rebalance_unlocked,100.0,18.9403,100.0,18.9592403,,-604.6444969136431,0.7503994385654568,0.685,0.685,0.0653994385654567,182074.51597,5800,0.9896944094388208,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-19,601127,赛力斯,汽车整车,SELL,91.0764324,100,9107.64324,6.830732429999999,759198.4040752499,rebalance_unlocked,,,,,,,0.7603526866149517,0.685,0.685,0.0753526866149516,169516.89200000002,5800,0.9689430233680052,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-19,300364,中文在线,出版业,BUY,27.167139999999996,200,5433.427999999999,4.075070999999999,753760.9010042499,rebalance_unlocked,200.0,27.14,200.0,27.167139999999996,,-574.778470321445,0.7603526866149517,0.685,0.685,0.0753526866149516,169516.89200000002,5800,0.9689430233680052,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
adaptive_market_style,2023-12-20,000625,长安汽车,汽车整车,BUY,18.5276091,100,1852.76091,1.3895706825,751906.7505235674,rebalance_unlocked,100.0,18.5091,100.0,18.5276091,,-607.9449261966093,0.7577616561842683,0.685,0.685,0.0727616561842682,174657.62909,6000,0.9895033889506448,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
