trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-05-26,000791,000791,SELL,8.81,47000,0,-47000,47000,0.5131646493493044,0.0,-0.5131646493493044,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,600507,600507,SELL,4.96,16700,0,-16700,16700,0.10265523760451514,0.0,-0.10265523760451514,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,600522,600522,SELL,40.48,7600,0,-7600,7600,0.38127388616179586,0.0,-0.38127388616179586,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,000725,京东方Ａ,BUY,5.77,0,27900,27900,27900,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,002156,通富微电,BUY,75.39,0,2100,2100,2100,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,002916,深南电路,BUY,419.5,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,301526,国际复材,BUY,22.8,0,7000,7000,7000,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-26,600584,长电科技,BUY,88.19,0,1800,1800,1800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
