feature,bin,n,hit20,max_ret20,mdd20,avg
rs_liquidity_combo,"(16.95, 24.903]",117,0.21367521367521367,0.061871034188034184,-0.09110445299145299,21.021504911969547
rs_liquidity_combo,"(2.057, 16.95]",117,0.1623931623931624,0.04676008547008547,-0.09886658119658119,12.460734982685652
rs_liquidity_combo,"(24.903, 32.216]",116,0.23275862068965517,0.07381944827586207,-0.10783089655172413,28.742075923232765
rs_liquidity_combo,"(32.216, 42.008]",117,0.3247863247863248,0.0904502905982906,-0.11895526495726497,36.755170565824415
rs_liquidity_combo,"(42.008, 53.821]",117,0.4188034188034188,0.11195329914529914,-0.11709977777777777,47.27569546392577
s_rs,"(1.689, 37.102]",117,0.2222222222222222,0.06812890598290598,-0.10394768376068377,22.173076923076923
s_rs,"(37.102, 54.402]",117,0.1623931623931624,0.053722683760683766,-0.10963818803418802,46.21059829059829
s_rs,"(54.402, 69.968]",116,0.22413793103448276,0.0702965,-0.10929099137931034,62.839137931034486
s_rs,"(69.968, 82.048]",117,0.38461538461538464,0.09780397435897437,-0.09533951282051283,75.51162393162393
s_rs,"(82.048, 97.49]",117,0.358974358974359,0.0948719829059829,-0.11565307692307691,89.05316239316238
s_liquidity,"(0.069, 7.286]",117,0.15384615384615385,0.047061846153846155,-0.0870979829059829,3.9092307692307693
s_liquidity,"(14.812, 19.97]",116,0.25,0.07160370689655172,-0.09629982758620691,17.298534482758622
s_liquidity,"(19.97, 25.566]",117,0.27350427350427353,0.08172317094017094,-0.13108540170940172,23.0691452991453
s_liquidity,"(25.566, 30.0]",117,0.4188034188034188,0.11308121367521368,-0.11811675213675214,28.075641025641026
s_liquidity,"(7.286, 14.812]",117,0.2564102564102564,0.07136528205128205,-0.101158452991453,11.212307692307691
s_breakout,"(44.249, 47.27]",148,0.14864864864864866,0.05243377027027027,-0.1297168918918919,46.45554054054054
s_breakout,"(47.27, 47.94]",97,0.26804123711340205,0.07172941237113402,-0.11814088659793814,47.80752577319588
s_breakout,"(47.94, 48.838]",105,0.3142857142857143,0.09319111428571428,-0.08720207619047618,48.422380952380955
s_breakout,"(48.838, 49.19]",135,0.35555555555555557,0.09359632592592591,-0.09362565185185184,49.07266666666667
s_breakout,"(49.19, 99.69]",99,0.29292929292929293,0.07894540404040404,-0.09999987878787879,64.0279797979798
bs_score_v2,"(23.419, 40.582]",117,0.24786324786324787,0.06720803418803419,-0.09642831623931625,36.38324786324787
bs_score_v2,"(40.582, 45.55]",118,0.17796610169491525,0.06101445762711864,-0.10729799999999999,43.20177966101695
bs_score_v2,"(45.55, 49.642]",115,0.21739130434782608,0.05971242608695652,-0.10875,47.55408695652174
bs_score_v2,"(49.642, 54.962]",117,0.358974358974359,0.09205903418803418,-0.09661919658119658,52.227435897435896
bs_score_v2,"(54.962, 71.87]",117,0.3504273504273504,0.10472850427350427,-0.12478172649572648,59.730598290598294
price_change_ratio,"(-10, -5]",3,1.0,0.19896,-0.06944633333333335,-7.8133333333333335
price_change_ratio,"(-5, 0]",560,0.26964285714285713,0.07698518571428573,-0.10821463928571429,-0.08778571428571429
price_change_ratio,"(0, 5]",19,0.15789473684210525,0.05672115789473684,-0.07255,2.044736842105263
price_change_ratio,"(5, 10]",2,0.5,0.0839155,-0.08322399999999999,8.34
market_hs300_ret_20,"(-0.00568, 0.0036]",106,0.1320754716981132,0.048805528301886794,-0.14351716037735848,0.0009445337411498616
market_hs300_ret_20,"(-0.0151, -0.00568]",120,0.325,0.09347326666666667,-0.09849840833333333,-0.010927941941068497
market_hs300_ret_20,"(-0.0237, -0.0151]",123,0.3333333333333333,0.08911330081300813,-0.09584736585365854,-0.01692969423997922
market_hs300_ret_20,"(-0.0537, -0.0237]",119,0.36134453781512604,0.09253210084033613,-0.08321231092436975,-0.04175690343165931
market_hs300_ret_20,"(0.0036, 0.0223]",116,0.1810344827586207,0.05682485344827586,-0.11749410344827585,0.014569224812312397
market_bs_ratio,"(0.00412, 0.0253]",119,0.33613445378151263,0.09100233613445378,-0.07783928571428571,0.013033956909606136
market_bs_ratio,"(0.0253, 0.0491]",143,0.2517482517482518,0.07271302797202797,-0.12633242657342655,0.0471065772189264
market_bs_ratio,"(0.0491, 0.0577]",101,0.2871287128712871,0.07502145544554456,-0.12320516831683168,0.05391773597636231
market_bs_ratio,"(0.0577, 0.0782]",116,0.16379310344827586,0.05132646551724138,-0.12771430172413795,0.06773316524146661
market_bs_ratio,"(0.0782, 0.238]",105,0.3238095238095238,0.09710322857142857,-0.07396611428571429,0.17185001415589798
market_limit_up_rate,"(0.0047, 0.0091]",129,0.31007751937984496,0.08657786821705427,-0.09627389147286822,0.0075364341085271324
market_limit_up_rate,"(0.0091, 0.0128]",123,0.24390243902439024,0.06721350406504065,-0.1101340975609756,0.011703252032520326
market_limit_up_rate,"(0.0128, 0.0176]",109,0.1834862385321101,0.061530752293577975,-0.13060198165137615,0.016426605504587157
market_limit_up_rate,"(0.0176, 0.0232]",122,0.3114754098360656,0.07987641803278689,-0.10800263114754098,0.020411475409836063
market_limit_up_rate,"(0.0232, 0.0345]",101,0.297029702970297,0.08976768316831682,-0.08886803960396039,0.0314940594059406
market_avg_research_score,"(32.159, 33.341]",123,0.16260162601626016,0.051326495934959346,-0.11741964227642276,32.771778081300816
market_avg_research_score,"(33.341, 33.629]",119,0.37815126050420167,0.10284504201680672,-0.07607688235294117,33.54012502521009
market_avg_research_score,"(33.629, 34.024]",116,0.3879310344827586,0.10707056034482759,-0.07989066379310344,33.888955137931035
market_avg_research_score,"(34.024, 34.292]",126,0.2222222222222222,0.06233757936507937,-0.12266675396825397,34.16035440476191
market_avg_research_score,"(34.292, 34.74]",100,0.2,0.06127678,-0.14134342,34.682082799999996
