strategy,signal_date,entry_date,exit_date,selected,gross_ret,avg_score,avg_liquidity,bs_count,max_industry_count,max_industry_weight,cost_rate,net_ret
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,5,-0.04030412621215027,75.81199999999998,28.502,5,2,0.4,0.0,-0.04030412621215027
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,5,-0.05987675718332266,71.81800000000001,25.782,5,1,0.2,0.0,-0.05987675718332266
baseline_b_score_v2,2026-03-24,2026-03-25,2026-04-08,5,-0.023943725933737902,67.2,23.474,5,1,0.2,0.0,-0.023943725933737902
baseline_b_score_v2,2026-04-09,2026-04-10,2026-04-23,5,-0.012933366413118375,75.116,28.674,5,1,0.2,0.0,-0.012933366413118375
baseline_full_dynamic_factor,2026-02-13,2026-02-24,2026-03-09,4,0.0642369257243347,74.85249999999999,29.0775,1,1,0.25,0.0,0.0642369257243347
baseline_full_dynamic_factor,2026-03-09,2026-03-10,2026-03-23,5,-0.055983288105192174,76.662,29.322000000000003,0,1,0.2,0.0,-0.055983288105192174
baseline_full_dynamic_factor,2026-03-24,2026-03-25,2026-04-08,5,-0.11590992107532447,81.672,23.125999999999998,1,1,0.2,0.0,-0.11590992107532447
baseline_full_dynamic_factor,2026-04-09,2026-04-10,2026-04-23,5,0.15231207257235535,78.008,29.484,1,3,0.6,0.0,0.15231207257235535
baseline_full_dynamic_factor_industry_cap2,2026-02-13,2026-02-24,2026-03-09,4,0.0642369257243347,74.85249999999999,29.0775,1,1,0.25,0.0,0.0642369257243347
baseline_full_dynamic_factor_industry_cap2,2026-03-09,2026-03-10,2026-03-23,5,-0.055983288105192174,76.662,29.322000000000003,0,1,0.2,0.0,-0.055983288105192174
baseline_full_dynamic_factor_industry_cap2,2026-03-24,2026-03-25,2026-04-08,5,-0.11590992107532447,81.672,23.125999999999998,1,1,0.2,0.0,-0.11590992107532447
baseline_full_dynamic_factor_industry_cap2,2026-04-09,2026-04-10,2026-04-23,5,0.04030013670894021,79.46000000000001,29.236,1,2,0.4,0.0,0.04030013670894021
baseline_full_liq_breakout_adj,2026-02-13,2026-02-24,2026-03-09,5,-0.00964563025918339,79.97,24.869999999999997,1,2,0.4,0.0,-0.00964563025918339
baseline_full_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,5,-0.07448662354232412,81.7,26.386000000000003,0,2,0.4,0.0,-0.07448662354232412
baseline_full_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,5,-0.11590992107532447,81.672,23.125999999999998,1,1,0.2,0.0,-0.11590992107532447
baseline_full_liq_breakout_adj,2026-04-09,2026-04-10,2026-04-23,5,0.10056340856095602,82.614,26.907999999999998,0,1,0.2,0.0,0.10056340856095602
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,5,-0.04801164863416711,37.196,29.988,0,2,0.4,0.0,-0.04801164863416711
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,5,0.016597577228194615,41.827999999999996,29.988,0,3,0.6,0.0,0.016597577228194615
baseline_full_liquidity,2026-03-24,2026-03-25,2026-04-08,5,-0.027555939125928287,60.722,29.988,0,2,0.4,0.0,-0.027555939125928287
baseline_full_liquidity,2026-04-09,2026-04-10,2026-04-23,5,0.13767046914181713,47.66,29.988,0,2,0.4,0.0,0.13767046914181713
baseline_full_liquidity_detail,2026-02-13,2026-02-24,2026-03-09,5,-0.15569378492336852,63.262,29.451999999999998,0,1,0.2,0.0,-0.15569378492336852
baseline_full_liquidity_detail,2026-03-09,2026-03-10,2026-03-23,5,-0.009172191877871216,63.04,28.998,0,1,0.2,0.0,-0.009172191877871216
baseline_full_liquidity_detail,2026-03-24,2026-03-25,2026-04-08,5,0.12096879170126777,51.156,29.222,0,1,0.2,0.0,0.12096879170126777
baseline_full_liquidity_detail,2026-04-09,2026-04-10,2026-04-23,5,-0.004298821746608427,73.02000000000001,29.503999999999998,0,3,0.6,0.0,-0.004298821746608427
baseline_full_liquidity_industry_cap2,2026-02-13,2026-02-24,2026-03-09,5,-0.04801164863416711,37.196,29.988,0,2,0.4,0.0,-0.04801164863416711
baseline_full_liquidity_industry_cap2,2026-03-09,2026-03-10,2026-03-23,5,-0.04761254833505655,43.730000000000004,29.983999999999998,0,2,0.4,0.0,-0.04761254833505655
baseline_full_liquidity_industry_cap2,2026-03-24,2026-03-25,2026-04-08,5,-0.027555939125928287,60.722,29.988,0,2,0.4,0.0,-0.027555939125928287
baseline_full_liquidity_industry_cap2,2026-04-09,2026-04-10,2026-04-23,5,0.13767046914181713,47.66,29.988,0,2,0.4,0.0,0.13767046914181713
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,5,-0.00964563025918339,79.97,24.869999999999997,1,2,0.4,0.0,-0.00964563025918339
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,5,-0.07448662354232412,81.7,26.386000000000003,0,2,0.4,0.0,-0.07448662354232412
baseline_full_score,2026-03-24,2026-03-25,2026-04-08,5,-0.11590992107532447,81.672,23.125999999999998,1,1,0.2,0.0,-0.11590992107532447
baseline_full_score,2026-04-09,2026-04-10,2026-04-23,5,0.10056340856095602,82.614,26.907999999999998,0,1,0.2,0.0,0.10056340856095602
liq20_bs_score_v2_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,4,-0.005452776995846703,78.74249999999999,27.0075,3,3,0.75,0.0,-0.005452776995846703
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,5,-0.12042645479527678,79.078,27.262,0,1,0.2,0.0,-0.12042645479527678
liq20_bs_score_v2_b_bonus_0pct,2026-03-24,2026-03-25,2026-04-08,5,-0.06611537986618772,76.272,26.512,0,2,0.4,0.0,-0.06611537986618772
liq20_bs_score_v2_b_bonus_0pct,2026-04-09,2026-04-10,2026-04-23,5,0.015278942262355776,81.34,27.619999999999997,1,1,0.2,0.0,0.015278942262355776
liq20_bs_score_v2_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,4,-0.005452776995846703,78.74249999999999,27.0075,3,3,0.75,0.0,-0.005452776995846703
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,5,-0.10486981537196842,78.954,27.814,1,2,0.4,0.0,-0.10486981537196842
liq20_bs_score_v2_b_bonus_3pct,2026-03-24,2026-03-25,2026-04-08,5,-0.06611537986618772,76.272,26.512,0,2,0.4,0.0,-0.06611537986618772
liq20_bs_score_v2_b_bonus_3pct,2026-04-09,2026-04-10,2026-04-23,5,0.015278942262355776,81.34,27.619999999999997,1,1,0.2,0.0,0.015278942262355776
liq20_bs_score_v2_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,5,-0.03116340006288574,77.97,27.560000000000002,4,3,0.6,0.0,-0.03116340006288574
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,5,-0.10486981537196842,78.954,27.814,1,2,0.4,0.0,-0.10486981537196842
liq20_bs_score_v2_b_bonus_5pct,2026-03-24,2026-03-25,2026-04-08,5,-0.06611537986618772,76.272,26.512,0,2,0.4,0.0,-0.06611537986618772
liq20_bs_score_v2_b_bonus_5pct,2026-04-09,2026-04-10,2026-04-23,5,-0.0621477004731956,77.846,28.412,4,1,0.2,0.0,-0.0621477004731956
liq20_bs_score_v2_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,5,-0.03116340006288574,77.97,27.560000000000002,4,3,0.6,0.0,-0.03116340006288574
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,5,-0.1230166535284529,76.16,28.188,2,1,0.2,0.0,-0.1230166535284529
liq20_bs_score_v2_b_bonus_8pct,2026-03-24,2026-03-25,2026-04-08,5,-0.09378707181060697,73.614,26.122000000000003,1,2,0.4,0.0,-0.09378707181060697
liq20_bs_score_v2_b_bonus_8pct,2026-04-09,2026-04-10,2026-04-23,5,-0.0621477004731956,77.846,28.412,4,1,0.2,0.0,-0.0621477004731956
liq20_score_b_bonus_0pct,2026-02-13,2026-02-24,2026-03-09,5,-0.09682139160966612,79.818,26.058,2,3,0.6,0.0,-0.09682139160966612
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,5,-0.020435097289306436,81.58,28.466,0,2,0.4,0.0,-0.020435097289306436
liq20_score_b_bonus_0pct,2026-03-24,2026-03-25,2026-04-08,5,-0.09048033957378865,79.22999999999999,26.526,0,3,0.6,0.0,-0.09048033957378865
liq20_score_b_bonus_0pct,2026-04-09,2026-04-10,2026-04-23,5,0.03940919342228695,82.514,27.560000000000002,0,1,0.2,0.0,0.03940919342228695
liq20_score_b_bonus_3pct,2026-02-13,2026-02-24,2026-03-09,5,-0.09682139160966612,79.818,26.058,2,3,0.6,0.0,-0.09682139160966612
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,5,-0.020435097289306436,81.58,28.466,0,2,0.4,0.0,-0.020435097289306436
liq20_score_b_bonus_3pct,2026-03-24,2026-03-25,2026-04-08,5,-0.09048033957378865,79.22999999999999,26.526,0,3,0.6,0.0,-0.09048033957378865
liq20_score_b_bonus_3pct,2026-04-09,2026-04-10,2026-04-23,5,0.07572824680670787,82.076,28.214,1,1,0.2,0.0,0.07572824680670787
liq20_score_b_bonus_5pct,2026-02-13,2026-02-24,2026-03-09,5,-0.030193515360371136,79.26599999999999,26.95,3,2,0.4,0.0,-0.030193515360371136
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,5,-0.020435097289306436,81.58,28.466,0,2,0.4,0.0,-0.020435097289306436
liq20_score_b_bonus_5pct,2026-03-24,2026-03-25,2026-04-08,5,-0.09048033957378865,79.22999999999999,26.526,0,3,0.6,0.0,-0.09048033957378865
liq20_score_b_bonus_5pct,2026-04-09,2026-04-10,2026-04-23,5,0.07572824680670787,82.076,28.214,1,1,0.2,0.0,0.07572824680670787
liq20_score_b_bonus_8pct,2026-02-13,2026-02-24,2026-03-09,5,-0.059131535931842685,78.298,27.598000000000003,4,2,0.4,0.0,-0.059131535931842685
