strategy,strategy_display_name,candidate_count,order_count,buy_count,sell_count,adaptive_role,adaptive_underlying_strategy,adaptive_underlying_display_name,adaptive_position_scale,adaptive_position_reason,adaptive_reason,base_strategy,base_strategy_display_name,hold_days,position_ratio,total_equity_used,shadow_note
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,5,5,0,,,-,,,,tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,10,1.0,500000.0,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,5,5,5,0,,,-,,,,baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,10,1.0,500000.0,
baseline_full_liquidity_detail,流动性质量防守策略,5,4,4,0,,,-,,,,baseline_full_liquidity_detail,流动性质量防守策略,10,1.0,500000.0,
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,5,4,4,0,,,-,,,,baseline_full_liquidity_detail,流动性质量防守策略,12,1.0,500000.0,三年优化矩阵相对较稳：防守策略持有12日。
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,5,4,4,0,,,-,,,,baseline_full_liquidity_detail_market_gate,流动性质量防守策略（市场门禁）,10,0.5,250000.0,三年优化矩阵回撤控制相对较好：市场门禁防守策略50%仓位。
baseline_full_score,基础综合评分策略,5,5,5,0,,,-,,,,baseline_full_score,基础综合评分策略,10,1.0,500000.0,
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,5,5,5,0,attack,tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1.0,attack_full_position,attack_default_with_enough_history,adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,10,1.0,500000.0,
