strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,pattern_guard_enabled,pattern_strategy_mode
production_governed_vol_position,2026-01-06,002465,海格通信,通信设备,BUY,18.32,5200,95264.0,71.44800000000001,404664.552,rebalance_unlocked,5200.0,18.32,5200.0,18.32,,-35.530253122232345,0.3280655486326497,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-06,300058,蓝色光标,广告包装,BUY,13.6,3500,47600.0,35.7,357028.852,rebalance_unlocked,3500.0,13.6,3500.0,13.6,,-8.587926663811697,0.3280655486326497,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-06,300136,信维通信,元器件,BUY,63.5,800,50800.0,38.1,306190.75200000004,rebalance_unlocked,800.0,63.5,800.0,63.5,,-68.80583872007657,0.3280655486326497,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-06,600118,中国卫星,航空,BUY,96.89,600,58134.0,43.600500000000004,248013.15150000004,rebalance_unlocked,600.0,96.89,600.0,96.89,,-137.8183355788977,0.3280655486326497,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-06,600362,江西铜业,铜,BUY,56.0,1500,84000.0,63.0,163950.15150000004,rebalance_unlocked,1500.0,56.0,1500.0,56.0,,-33.29764591498224,0.3280655486326497,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-20,002465,海格通信,通信设备,SELL,18.6,5200,96720.00000000001,72.54,260597.61150000006,rebalance_unlocked,,,,,,,0.3208609528544437,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-20,300058,蓝色光标,广告包装,SELL,17.6,3500,61600.00000000001,46.20000000000001,322151.41150000005,rebalance_unlocked,,,,,,,0.3208609528544437,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-20,300136,信维通信,元器件,SELL,81.0,800,64800.0,48.6,386902.81150000007,rebalance_unlocked,,,,,,,0.3208609528544437,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-20,600118,中国卫星,航空,SELL,105.99,600,63594.0,47.6955,450449.11600000004,rebalance_unlocked,,,,,,,0.3208609528544437,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-20,600362,江西铜业,铜,SELL,61.64,1500,92460.0,69.345,542839.7710000001,rebalance_unlocked,,,,,,,0.3208609528544437,,,,,,,,,,,,,,,,,,,,,
