strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,market_style_state,selected_strategy,target_position_ratio,adaptive_target_position_ratio,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,governed_nav_drawdown_20d,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio,route_reason
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-06,2026-01-05,163950.15150000004,347879.0,511829.15150000004,1.0236583030000002,5,0.679677972582224,0,0.0,5,5,500000.0,5,0.7,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,,,,,0.04785385353727063,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-07,2026-01-06,163950.15150000004,347856.0,511806.15150000004,1.0236123030000002,5,0.6796635776660843,5,346663.0,5,0,510613.15150000004,5,0.7,2,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,,,,,0.06442287106912177,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-08,2026-01-07,163950.15150000004,363027.0,526977.1515,1.053954303,5,0.6888856546563196,5,345070.0,5,0,509020.15150000004,5,0.7,3,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.08606151078737774,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-09,2026-01-08,163950.15150000004,372630.0,536580.1515,1.073160303,5,0.6944535666448333,5,371358.0,5,0,535308.1515,5,0.7,2,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.09062203157663332,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-12,2026-01-09,163950.15150000004,407084.0,571034.1515,1.142068303,5,0.7128890608918335,5,387780.0,5,0,551730.1515,5,0.7,2,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.07602736972179591,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-13,2026-01-12,163950.15150000004,416822.0,580772.1515,1.1615443030000001,5,0.7177031455854852,5,423096.0,5,0,587046.1515,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.1764824832966136,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-14,2026-01-13,163950.15150000004,435289.0,599239.1515,1.1984783030000001,5,0.726402804139876,5,426436.0,5,0,590386.1515,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.1688697875630665,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-15,2026-01-14,163950.15150000004,407525.0,571475.1515,1.1429503030000001,5,0.7131106206986149,5,412945.0,5,0,576895.1515,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.1359111635848426,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-16,2026-01-15,163950.15150000004,389952.0,553902.1515,1.107804303,5,0.7040088198682506,5,391197.0,5,0,555147.1515,5,0.7,5,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-0.04633208616376594,,,,0.19242620554252624,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-19,2026-01-16,163950.15150000004,376349.0,540299.1515,1.0805983030000001,5,0.6965567111389401,5,374620.0,5,0,538570.1515,5,0.7,5,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-0.07565760662752696,,,,0.0873996445156151,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-20,2026-01-19,174087.41400000005,368994.0,543081.4140000001,1.0861628280000002,5,0.6794450896086087,0,0.0,5,10,543124.1515,5,0.7,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-0.09835805930313946,,,,0.09533858605314434,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
production_governed_vol_position_v1_2b_execution_safe_uplift,2026-01-21,2026-01-20,174087.41400000005,377142.0,551229.4140000001,1.1024588280000003,5,0.6841833734220866,5,366128.0,5,0,540215.4140000001,5,0.7,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,0.061059950197072776,0,,,,,,,,,,,,-0.09835805930313946,,,,0.08145823002435794,,,not_recovery,0,,,baseline_full_liquidity_detail_vol_position,0.7,baseline_full_liquidity_detail_vol_position,0.7,production_risk_governor_backtest
