start_date,trough_date,duration_days,drawdown_pct,t3_avg_position
2023-12-13,2024-01-22,27,-8.5,0.55
2024-07-31,2024-09-09,28,-13.45,0.55
2024-11-01,2025-06-10,145,-42.39,0.57
2026-01-16,2026-02-06,15,-13.25,0.57
