strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket
adaptive_style_switch,2025-01-03,2025-01-02,15086.607514999982,490074.01,505160.617515,1.01032123503,5,0.9701350283614458,0,0.0,5,5,500000.0,5,1.0,0,fallback,baseline_full_score,fallback_insufficient_completed_history,0.8927091848794827,index_neutral
adaptive_style_switch,2025-01-06,2025-01-03,15086.607514999982,481718.06999999995,496804.67751499993,0.9936093550299998,5,0.9696327184549415,5,491280.52,5,0,506367.127515,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.818212703044766,index_neutral
adaptive_style_switch,2025-01-07,2025-01-06,15086.607514999982,496925.17,512011.77751499997,1.0240235550299999,5,0.9705346474875609,5,470249.30000000005,5,0,485335.907515,5,1.0,5,fallback,baseline_full_score,hold_min_state_3_days,0.7006020678853947,index_weak
adaptive_style_switch,2025-01-08,2025-01-07,15086.607514999982,514663.58,529750.187515,1.05950037503,5,0.9715212795189944,5,496614.72,5,0,511701.32751499995,5,1.0,5,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed,0.726185579603213,index_weak
adaptive_style_switch,2025-01-09,2025-01-08,15086.607514999982,506101.72,521188.32751499995,1.04237665503,5,0.9710534432209329,5,518192.88999999996,5,0,533279.4975149999,5,1.0,4,defensive,baseline_full_liquidity_detail,hold_min_state_3_days,0.8666592597313025,index_weak
adaptive_style_switch,2025-01-10,2025-01-09,15086.607514999982,486166.38,501252.987515,1.00250597503,5,0.9699022092819976,5,498056.11,5,0,513142.71751499997,5,1.0,4,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed,0.7967251820268352,index_weak
adaptive_style_switch,2025-01-13,2025-01-10,15086.607514999982,467760.23,482846.83751499996,0.9656936750299999,5,0.9687548797199458,5,472368.30000000005,5,0,487454.907515,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.8420326215124452,index_weak
adaptive_style_switch,2025-01-14,2025-01-13,15086.607514999982,480177.66,495264.26751499996,0.9905285350299999,5,0.9695382677399736,5,462486.41000000003,5,0,477573.017515,5,1.0,5,fallback,baseline_full_score,hold_min_state_3_days,0.7367274512671362,index_weak
adaptive_style_switch,2025-01-15,2025-01-14,15086.607514999982,449402.73,464489.33751499996,0.92897867503,5,0.9675200132779953,5,476041.66000000003,5,0,491128.267515,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,1.0485484775445586,index_neutral
adaptive_style_switch,2025-01-16,2025-01-15,15086.607514999982,457591.52,472678.127515,0.94535625503,5,0.9680827044096276,5,451091.12,5,0,466177.727515,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.9371554725068212,index_neutral
adaptive_style_switch,2025-01-17,2025-01-16,3580.1072399999684,465724.56,469304.66724,0.93860933448,5,0.9923714646584387,0,0.0,5,10,470385.737515,5,1.0,0,fallback,baseline_full_score,fallback_insufficient_completed_history,1.0032824254838681,index_neutral
adaptive_style_switch,2025-01-20,2025-01-17,3580.1072399999684,456879.72,460459.82723999996,0.9209196544799999,5,0.9922249303235438,5,452308.49,5,0,455888.59724,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.9039695713661687,index_neutral
adaptive_style_switch,2025-01-21,2025-01-20,3580.1072399999684,453996.64,457576.74724,0.9151534944799999,5,0.9921759414970398,5,456123.32,5,0,459703.42724,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.9515716211025039,index_neutral
adaptive_style_switch,2025-01-22,2025-01-21,3580.1072399999684,453570.0,457150.10724,0.91430021448,5,0.9921686396146453,5,444896.93000000005,5,0,448477.03724000003,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.9819720551717177,index_neutral
adaptive_style_switch,2025-01-23,2025-01-22,3580.1072399999684,452712.73000000004,456292.83724,0.91258567448,5,0.9921539262775739,5,455749.95999999996,5,0,459330.06723999995,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,0.931399644370007,index_weak
adaptive_style_switch,2025-01-24,2025-01-23,3580.1072399999684,456502.69,460082.79724,0.92016559448,5,0.9922185587866429,5,445933.82,5,0,449513.92724,5,1.0,5,fallback,baseline_full_score,fallback_insufficient_completed_history,1.1074302744265159,index_weak
