rank,signal_date,strategy,symbol,name,industry,industry_key,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20
1,2026-05-12,baseline_full_dynamic_factor_industry_cap2,002281,光迅科技,通信设备,通信设备,dynamic_factor_score,99.54149937902582,0.2,1.0,0.2,76.1,99.54149937902582,99.734801169644,92.56529297632906,29.91,95.46,99.4,87.48544819557625,73.185875048506,98.99107489328676,93.61660845944897,71.07,0,,可买,1.2094511072095342,high_liquidity,index_strong,0.04617771127845062,0.0
2,2026-05-12,baseline_full_dynamic_factor_industry_cap2,300395,菲利华,玻璃,玻璃,dynamic_factor_score,99.20790903772392,0.2,1.0,0.2,77.33,99.20790903772392,98.87972375862608,93.26033372138144,29.58,99.39,97.09,94.66433837795887,83.62436942180831,96.77920062087699,78.26930539386883,72.54,0,,可买,1.2094511072095342,high_liquidity,index_strong,0.049608348763287353,0.0
3,2026-05-12,baseline_full_dynamic_factor_industry_cap2,600522,中天科技,通信设备,通信设备,dynamic_factor_score,98.9940650824847,0.2,1.0,0.2,68.51,98.9940650824847,99.67959909435018,94.28606131160264,29.88,46.69,94.63,93.71362048894063,85.58401241753978,99.10748932867676,79.99611951882034,56.55,0,,过滤,1.2094511072095342,high_liquidity,index_strong,0.049992131656794656,0.0
4,2026-05-12,baseline_full_dynamic_factor_industry_cap2,000066,中国长城,IT设备,IT设备,dynamic_factor_score,98.82705492622193,0.2,1.0,0.2,74.44,98.82705492622193,98.97693148659046,88.93912301125339,29.67,96.7,98.78,98.4478075281335,98.46720993403181,98.66123399301513,1.2029491656965465,58.48,1,,过滤,1.2094511072095342,high_liquidity,index_strong,0.040493149947025686,0.0
5,2026-05-12,baseline_full_dynamic_factor_industry_cap2,301217,铜冠铜箔,元器件,元器件,dynamic_factor_score,98.5370181251405,0.2,1.0,0.2,75.1,98.5370181251405,98.10728610145792,91.11750097012029,29.3,96.53,99.88,87.73767947225456,83.37213814513,93.46138921226232,79.78269305393869,71.1,0,,可买,1.2094511072095342,high_liquidity,index_strong,0.068576486471401,0.0
