strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
liq20_bs_model_rank_score_b_bonus_0pct,all,0.0,29,2026-01-05,2026-02-12,5.0,0.3793103448275862,1.964860910448131,1.964860910448131,1.5713161749425897,-0.24995895055861483,0.4827586206896552,0.04164877165473459,-0.0004433645262786223,0.21330791332806198,-0.10062013481341933,59.636482758620694,27.964758620689658,0.29655172413793107,1.0
liq_top_20_then_model_rank,all,0.0,29,2026-01-05,2026-02-12,5.0,0.3793103448275862,1.964860910448131,1.964860910448131,1.5713161749425897,-0.24995895055861483,0.4827586206896552,0.04164877165473459,-0.0004433645262786223,0.21330791332806198,-0.10062013481341933,59.636482758620694,27.964758620689658,0.29655172413793107,1.0
liq20_bs_model_rank_score_b_bonus_3pct,all,0.0,29,2026-01-05,2026-02-12,5.0,1.6896551724137931,1.6961056102848415,1.6961056102848415,1.3675301219521736,-0.26014309075427255,0.5517241379310345,0.03770261655457357,0.013133080347311931,0.18604778019974416,-0.09874668373607724,60.40641379310344,28.303586206896547,0.40689655172413797,1.0
liq20_bs_model_rank_score_b_bonus_5pct,all,0.0,29,2026-01-05,2026-02-12,5.0,2.9310344827586206,0.6425233561587782,0.6425233561587782,0.5391186787954734,-0.1590305642379931,0.6206896551724138,0.018808557296352103,0.008294730221892154,0.1462099796918655,-0.05991763083292745,60.9175172413793,28.3871724137931,0.5103448275862069,1.0
liq20_bs_model_rank_score_b_bonus_8pct,all,0.0,29,2026-01-05,2026-02-12,5.0,4.172413793103448,0.6311086597412365,0.6311086597412365,0.5298199051205863,-0.13949176040052402,0.6206896551724138,0.018583314840866012,0.008879072611920247,0.16268285406072797,-0.08510493578431069,60.75889655172415,28.158620689655173,0.5586206896551725,1.0
tiered_liquidity_then_bs_v2,all,0.0,64,2026-01-05,2026-04-23,4.96875,1.078125,0.5553067976910813,0.5553067976910813,0.1899468881732138,-0.7270791776582133,0.546875,0.011305066503959555,0.0081859190425,0.22708912367490133,-0.17313675049563243,77.0195078125,28.09559375,0.32734375000000004,1.0
baseline_b_consensus,all,0.0,29,2026-01-05,2026-02-12,4.931034482758621,4.931034482758621,0.5306772440829468,0.5306772440829468,0.4476297362093131,-0.2649563124491787,0.5862068965517241,0.016847787307828987,0.013534641686900129,0.2128290339474635,-0.08928375241731552,66.94005172413793,27.729224137931034,0.5189655172413793,1.0
baseline_full_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,0.4894189154438313,0.4894189154438313,0.16983710060435375,-0.7481495448029079,0.5,0.00980385019951125,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.586124999999996,29.38315625,0.41875,1.0
liq_top_20_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,0.4894189154438313,0.4894189154438313,0.16983710060435375,-0.7481495448029079,0.5,0.00980385019951125,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.586124999999996,29.38315625,0.41875,1.0
liq_top_30_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,0.4894189154438313,0.4894189154438313,0.16983710060435375,-0.7481495448029079,0.5,0.00980385019951125,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.586124999999996,29.38315625,0.41875,1.0
liq_top_10_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.234375,0.43701209495273896,0.43701209495273896,0.15345336870587412,-0.7570111763152085,0.5,0.009252353157766112,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.616125000000004,29.408875000000002,0.41250000000000003,1.0
tiered_liquidity_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.25,0.3794461485015741,0.3794461485015741,0.13503367238956687,-0.7667451804071715,0.5,0.008656567493030048,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.580062500000004,29.39996875,0.415625,1.0
baseline_full_score,all,0.0,64,2026-01-05,2026-04-23,4.953125,0.3125,0.23627854494425438,0.23627854494425438,0.08710327939448725,-0.6497298707865576,0.484375,0.008532870721991187,-0.007088715922269728,0.2359511756783606,-0.25784047554607226,80.6874921875,23.5298515625,0.26875000000000004,1.0
liq_top_10_then_score_industry_penalty_10pt,all,0.0,64,2026-01-05,2026-04-23,4.96875,0.46875,0.1821080505497501,0.1821080505497501,0.06809224705117134,-0.7546142737528434,0.46875,0.008707848730899843,-0.006500413088365164,0.2864063292722795,-0.21837366244781728,78.0997265625,28.535109374999998,0.20156249999999998,1.0
liq_top_10_then_score_industry_penalty_5pt,all,0.0,64,2026-01-05,2026-04-23,4.96875,0.46875,0.041012598544618584,0.041012598544618584,0.015952244837334817,-0.7820497124050767,0.4375,0.00678815391725391,-0.009185520928639912,0.2864063292722795,-0.21837366244781728,78.19103906250001,28.533796875,0.2109375,1.0
liq20_bs_score_v2_b_bonus_5pct,all,0.0,64,2026-01-05,2026-04-23,4.984375,1.96875,-0.09186178451044946,-0.09186178451044946,-0.03723048369612436,-0.7862048633204541,0.46875,0.0021605153332916226,-0.0041395393282491755,0.24894082864244474,-0.1612840732655775,77.1078828125,27.4603671875,0.32890625,1.0
baseline_b_score_v2,all,0.0,64,2026-01-05,2026-04-23,4.96875,4.96875,-0.13581318814848908,-0.13581318814848908,-0.05585378586512524,-0.7147364306849318,0.453125,4.44571394653823e-05,-0.004311567041475695,0.2537172292827632,-0.1483155643871351,71.614953125,25.0682890625,0.35546875,1.0
liq20_bs_score_v2_b_bonus_3pct,all,0.0,64,2026-01-05,2026-04-23,4.953125,1.25,-0.14342876577362085,-0.14342876577362085,-0.05913866275150881,-0.8118084909437193,0.484375,0.0016263388181751263,-0.003915976445792812,0.24894082864244474,-0.20105672109786887,77.7188671875,27.483242187499997,0.31015625,1.0
liq_top_20_then_consensus,all,0.0,29,2026-01-05,2026-02-12,4.931034482758621,0.3448275862068966,-0.17723019040920618,-0.17723019040920618,-0.1559273945298928,-0.3859310286839651,0.5517241379310345,-0.0027613063162161304,0.009060837457791692,0.1994304413544609,-0.2034926082234949,76.37498275862069,28.322413793103454,0.32931034482758625,1.0
baseline_full_liquidity_industry_penalty_0p10pt,all,0.0,64,2026-01-05,2026-04-23,5.0,0.078125,-0.19454439554722447,-0.19454439554722447,-0.0816591926312642,-0.8104118895851258,0.34375,-0.0009685264616085417,-0.021490672989666483,0.20184154292707496,-0.0992493664157373,46.97328125,29.98021875,0.19999999999999998,1.0
baseline_full_liquidity_industry_penalty_0p25pt,all,0.0,64,2026-01-05,2026-04-23,5.0,0.078125,-0.19454439554722447,-0.19454439554722447,-0.0816591926312642,-0.8104118895851258,0.34375,-0.0009685264616085417,-0.021490672989666483,0.20184154292707496,-0.0992493664157373,46.97328125,29.98021875,0.19999999999999998,1.0
baseline_full_liquidity_industry_penalty_0p50pt,all,0.0,64,2026-01-05,2026-04-23,5.0,0.078125,-0.19454439554722447,-0.19454439554722447,-0.0816591926312642,-0.8104118895851258,0.34375,-0.0009685264616085417,-0.021490672989666483,0.20184154292707496,-0.0992493664157373,46.97328125,29.98021875,0.19999999999999998,1.0
baseline_full_liquidity_industry_penalty_1pt,all,0.0,64,2026-01-05,2026-04-23,5.0,0.078125,-0.19454439554722447,-0.19454439554722447,-0.0816591926312642,-0.8104118895851258,0.34375,-0.0009685264616085417,-0.021490672989666483,0.20184154292707496,-0.0992493664157373,46.97328125,29.98021875,0.19999999999999998,1.0
baseline_full_liquidity_industry_penalty_2pt,all,0.0,64,2026-01-05,2026-04-23,5.0,0.078125,-0.19454439554722447,-0.19454439554722447,-0.0816591926312642,-0.8104118895851258,0.34375,-0.0009685264616085417,-0.021490672989666483,0.20184154292707496,-0.0992493664157373,46.97328125,29.98021875,0.19999999999999998,1.0
liq_top_10_then_score_industry_cap2,all,0.0,64,2026-01-05,2026-04-23,4.96875,0.515625,-0.2583672366544769,-0.2583672366544769,-0.11103045601082073,-0.8567677071837525,0.40625,0.002833586940357258,-0.014267168394517393,0.25755882965795635,-0.2527658869303643,78.40367968749999,28.604257812500002,0.33671875,1.0
