strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,avg_gross_exposure,pit_status,risk_note,market_gate,position_mode,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
tiered_liquidity_then_bs_v2,all,0.0,64,2026-01-05,2026-04-23,4.96875,1.078125,0.99375,trusted,uses_signal_date_or_prior_data,0,equal,0.5553067976910813,0.5553067976910813,0.1899468881732138,-0.7270791776582133,0.546875,0.011305066503959555,0.0081859190425,0.22708912367490133,-0.17313675049563243,77.0195078125,28.09559375,0.32734375000000004,1.0
baseline_full_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.4894189154438313,0.4894189154438313,0.16983710060435375,-0.7481495448029079,0.5,0.00980385019951125,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.586124999999996,29.38315625,0.41875,1.0
liq_top_20_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.4894189154438313,0.4894189154438313,0.16983710060435375,-0.7481495448029079,0.5,0.00980385019951125,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.586124999999996,29.38315625,0.41875,1.0
liq_top_30_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.4894189154438313,0.4894189154438313,0.16983710060435375,-0.7481495448029079,0.5,0.00980385019951125,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.586124999999996,29.38315625,0.41875,1.0
baseline_full_liquidity_detail_market_gate,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,0.95,trusted,uses_signal_date_or_prior_data,1,equal,0.4429256376677251,0.4429256376677251,0.1553200364970062,-0.738060902826359,0.5,0.00897142004284048,-0.0018812494415558906,0.271588107865079,-0.15699691546151415,60.586124999999996,29.38315625,0.41875,1.0
liq_top_10_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.234375,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.43701209495273896,0.43701209495273896,0.15345336870587412,-0.7570111763152085,0.5,0.009252353157766112,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.616125000000004,29.408875000000002,0.41250000000000003,1.0
tiered_liquidity_then_liquidity_detail,all,0.0,64,2026-01-05,2026-04-23,5.0,0.25,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.3794461485015741,0.3794461485015741,0.13503367238956687,-0.7667451804071715,0.5,0.008656567493030048,-0.0018812494415558875,0.271588107865079,-0.15699691546151412,60.580062500000004,29.39996875,0.415625,1.0
tiered_liquidity_then_bs_v2_market_gate,all,0.0,64,2026-01-05,2026-04-23,4.796875,1.0,0.945,trusted,uses_signal_date_or_prior_data,1,equal,0.3518348041745343,0.3518348041745343,0.12603315155030526,-0.7341548626787058,0.546875,0.008666514581715003,0.008185919042500007,0.22080893547731653,-0.1534983624176212,77.20966927083333,28.14851822916667,0.3341145833333333,1.0
baseline_full_score_market_gate,all,0.0,64,2026-01-05,2026-04-23,4.953125,0.3125,0.9406249999999999,trusted,uses_signal_date_or_prior_data,1,equal,0.33577630485490806,0.33577630485490806,0.12074718903543191,-0.6135189114246915,0.484375,0.009209138679672053,-0.005159589870433049,0.2359511756783606,-0.21938429436403437,80.6874921875,23.5298515625,0.26875000000000004,1.0
baseline_full_score_hist_mdd_position,all,0.0,64,2026-01-05,2026-04-23,4.953125,0.3125,0.9905938319883925,trusted,uses_signal_date_or_prior_data,0,hist_mdd_20,0.2785506226311121,0.2785506226311121,0.10159050562257099,-0.6498128066605615,0.484375,0.008734724813623378,-0.007088715922269729,0.2359511756783606,-0.21938429436403437,80.6874921875,23.5298515625,0.26875000000000004,1.0
baseline_full_score,all,0.0,64,2026-01-05,2026-04-23,4.953125,0.3125,0.9906250000000001,trusted,uses_signal_date_or_prior_data,0,equal,0.23627854494425438,0.23627854494425438,0.08710327939448725,-0.6497298707865576,0.484375,0.008532870721991187,-0.007088715922269728,0.2359511756783606,-0.25784047554607226,80.6874921875,23.5298515625,0.26875000000000004,1.0
liq_top_10_then_score_industry_penalty_10pt,all,0.0,64,2026-01-05,2026-04-23,4.96875,0.46875,0.99375,trusted,uses_signal_date_or_prior_data,0,equal,0.1821080505497501,0.1821080505497501,0.06809224705117134,-0.7546142737528434,0.46875,0.008707848730899843,-0.006500413088365164,0.2864063292722795,-0.21837366244781728,78.0997265625,28.535109374999998,0.20156249999999998,1.0
baseline_full_liquidity_detail_vol_position,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,0.21631636304039123,trusted,uses_signal_date_or_prior_data,0,vol_20,0.09948591773549009,0.09948591773549009,0.03805038310344111,-0.21954073733069823,0.484375,0.0016090916965418765,-0.00018259265659515507,0.05089095066248475,-0.03537166647401917,60.586124999999996,29.38315625,0.41875,1.0
baseline_full_liquidity_detail_hist_mdd_position,all,0.0,64,2026-01-05,2026-04-23,5.0,0.265625,0.8141934285898154,trusted,uses_signal_date_or_prior_data,0,hist_mdd_20,0.056314540211180875,0.056314540211180875,0.02180634536880932,-0.7577191838274017,0.515625,0.0036650862490946517,0.0016229404449462099,0.22349331394501082,-0.15699691546151415,60.586124999999996,29.38315625,0.41875,1.0
liq_top_10_then_score_industry_penalty_5pt,all,0.0,64,2026-01-05,2026-04-23,4.96875,0.46875,0.99375,trusted,uses_signal_date_or_prior_data,0,equal,0.041012598544618584,0.041012598544618584,0.015952244837334817,-0.7820497124050767,0.4375,0.00678815391725391,-0.009185520928639912,0.2864063292722795,-0.21837366244781728,78.19103906250001,28.533796875,0.2109375,1.0
liq20_bs_score_v2_b_bonus_5pct_market_gate,all,0.0,64,2026-01-05,2026-04-23,4.9375,1.96875,0.9468749999999999,trusted,uses_signal_date_or_prior_data,1,equal,-0.031164316303375905,-0.031164316303375905,-0.01238884372456095,-0.7679523773325156,0.46875,0.00288897437963238,-0.004139539328249176,0.24894082864244477,-0.1612840732655775,77.155328125,27.4643984375,0.3307291666666667,1.0
liq20_bs_score_v2_b_bonus_3pct_market_gate,all,0.0,64,2026-01-05,2026-04-23,4.90625,1.25,0.9418749999999999,trusted,uses_signal_date_or_prior_data,1,equal,-0.07520778448134591,-0.07520778448134591,-0.03031675822732094,-0.7776041456940583,0.484375,0.002372819045469092,-0.0032526868975132047,0.24894082864244477,-0.16662594084600524,77.7663125,27.4872734375,0.3119791666666667,1.0
liq20_bs_score_v2_b_bonus_5pct,all,0.0,64,2026-01-05,2026-04-23,4.984375,1.96875,0.996875,trusted,uses_signal_date_or_prior_data,0,equal,-0.09186178451044946,-0.09186178451044946,-0.03723048369612436,-0.7862048633204541,0.46875,0.0021605153332916226,-0.0041395393282491755,0.24894082864244474,-0.1612840732655775,77.1078828125,27.4603671875,0.32890625,1.0
