strategy,trade_date,order_id,symbol,side,signal_date,execution_date,planned_shares,planned_price,planned_notional,planned_fee,filled_shares,filled_price,gross_amount,cost,order_status,reject_reason,remaining_shares,reason,cost_rate,lot_size,cash_after,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:002309:BUY,002309,BUY,2025-01-27,2025-02-05,18800,2.65,49820.0,37.365,18800,2.42242,45541.496,34.156122,FILLED,,0,strict_t1_execution,0.00075,100,454424.347878,-89.17008000000004,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:002951:BUY,002951,BUY,2025-01-27,2025-02-05,7300,6.83,49859.0,37.39425,7300,6.086079999999999,44428.38399999999,33.321287999999996,FILLED,,0,strict_t1_execution,0.00075,100,409962.64259,-111.43232000000017,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:600671:BUY,600671,BUY,2025-01-27,2025-02-05,4700,10.47,49209.0,36.90675,4700,10.009999999999998,47046.99999999999,35.28525,FILLED,,0,strict_t1_execution,0.00075,100,362880.35734,-59.06000000000022,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920263:BUY,920263,BUY,2025-01-27,2025-02-05,5800,8.514000000000001,49381.200000000004,37.035900000000005,5800,7.817809999999999,45343.297999999995,34.007473499999996,FILLED,,0,strict_t1_execution,0.00075,100,317503.0518665,-93.13404000000011,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920608:BUY,920608,BUY,2025-01-27,2025-02-05,3400,14.487000000000002,49255.8,36.94185,3400,13.293279999999998,45197.151999999995,33.897864,FILLED,,0,strict_t1_execution,0.00075,100,272272.0020025,-96.0569600000001,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920679:BUY,920679,BUY,2025-01-27,2025-02-05,2800,17.787000000000003,49803.600000000006,37.352700000000006,2800,16.40639,45937.89199999999,34.453419,FILLED,,0,strict_t1_execution,0.00075,100,226299.6565835,-81.24216000000017,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920685:BUY,920685,BUY,2025-01-27,2025-02-05,4300,11.451,49239.3,36.929475000000004,4300,10.510499999999999,45195.149999999994,33.896362499999995,FILLED,,0,strict_t1_execution,0.00075,100,181070.610221,-96.09700000000012,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920810:BUY,920810,BUY,2025-01-27,2025-02-05,5500,9.042000000000002,49731.00000000001,37.29825,5500,8.3083,45695.649999999994,34.27173749999999,FILLED,,0,strict_t1_execution,0.00075,100,135340.6884835,-86.0870000000001,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920834:BUY,920834,BUY,2025-01-27,2025-02-05,5900,8.448,49843.200000000004,37.382400000000004,5900,7.757749999999999,45770.72499999999,34.32804374999999,FILLED,,0,strict_t1_execution,0.00075,100,89535.63543975001,-84.58550000000022,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27:920942:BUY,920942,BUY,2025-01-27,2025-02-05,3300,14.872,49077.6,36.8082,3300,13.663649999999999,45090.045,33.81753375,FILLED,,0,strict_t1_execution,0.00075,100,44411.77290600001,-98.19910000000014,0.08896521884733981,0.0,0.0,0.08896521884733981,39972.908000000054,0,0.08071752395956795,0,0,0,,0,0
