strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,corporate_action_status,strict_ledger_frozen,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
vls_mom_contrarian_v1_frozen,2026-01-14,2026-01-05,186500.74680175015,991967.0,1178467.7468017503,2.3569354936035007,9,0.8417430198595629,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1178467.7468017503,0.0,509,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-15,2026-01-05,186500.74680175015,950671.0,1137171.7468017503,2.2743434936035007,9,0.8359959721772229,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1137171.7468017503,0.0,511,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-16,2026-01-05,186500.74680175015,937136.0,1123636.7468017503,2.2472734936035006,9,0.834020427569146,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1123636.7468017503,0.0,513,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-19,2026-01-05,186500.74680175015,944863.0,1131363.7468017503,2.2627274936035007,9,0.8351540365961267,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1131363.7468017503,0.0,515,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-20,2026-01-05,186500.74680175015,960542.0,1147042.7468017503,2.2940854936035007,9,0.8374073265170263,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1147042.7468017503,0.0,517,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-21,2026-01-05,186500.74680175015,990470.0,1176970.7468017503,2.3539414936035006,9,0.841541731339934,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1176970.7468017503,0.0,519,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-22,2026-01-05,186500.74680175015,1016482.0,1202982.7468017503,2.4059654936035004,9,0.8449680618466215,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1202982.7468017503,0.0,521,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-23,2026-01-05,186500.74680175015,1031095.0,1217595.7468017503,2.4351914936035004,9,0.8468286807902948,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1217595.7468017503,0.0,523,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-26,2026-01-05,186500.74680175015,805994.0,992494.7468017502,1.9849894936035004,9,0.8120889330621278,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,992494.7468017502,0.0,525,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-27,2026-01-05,186500.74680175015,793136.0,979636.7468017502,1.9592734936035003,9,0.8096225489594742,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,979636.7468017502,0.0,527,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-28,2026-01-05,186500.74680175015,793492.0,979992.7468017502,1.9599854936035004,9,0.8096917069943593,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,979992.7468017502,0.0,529,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-29,2026-01-05,186500.74680175015,781479.0,967979.7468017502,1.9359594936035003,9,0.8073299080709516,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,967979.7468017502,0.0,531,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-01-30,2026-01-05,186500.74680175015,770971.0,957471.7468017502,1.9149434936035004,9,0.8052154046062248,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,957471.7468017502,0.0,533,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-02,2026-01-30,19709.246926750144,1128160.0,1147869.24692675,2.2957384938535,10,0.9828297108058965,NO_ACTION_CONFIRMED,,1147869.24692675,0.0,535,9.0,5.0,0.0,770971.0,10.0,1.0,957471.7468017502,10.0,1.0,8.0,0.017183957086035966,0.0,0.0,0.017183957086035966,18166.50000000003,0.0,0.09828602035350845,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-02-03,2026-01-30,19709.246926750144,1150026.0,1169735.24692675,2.3394704938535003,10,0.9831506770625813,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1169735.24692675,0.0,537,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-04,2026-01-30,19709.246926750144,1142749.0,1162458.24692675,2.3249164938535003,10,0.9830452001361284,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1162458.24692675,0.0,539,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-05,2026-01-30,19709.246926750144,1147571.0,1167280.24692675,2.3345604938535,10,0.9831152399103462,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1167280.24692675,0.0,541,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-06,2026-01-30,19709.246926750144,1162305.0,1182014.24692675,2.3640284938535,10,0.9833257111934189,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1182014.24692675,0.0,543,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-09,2026-01-30,19709.246926750144,1188140.0,1207849.24692675,2.4156984938535,10,0.9836823618701603,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1207849.24692675,0.0,545,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-10,2026-01-30,19709.246926750144,1203475.0,1223184.24692675,2.4463684938535,10,0.9838869352869206,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1223184.24692675,0.0,547,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-11,2026-01-30,19709.246926750144,1208444.0,1228153.24692675,2.4563064938535,10,0.9839521273293302,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1228153.24692675,0.0,549,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-12,2026-01-30,19709.246926750144,1225494.0,1245203.24692675,2.4904064938535,10,0.9841718635287903,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1245203.24692675,0.0,551,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-13,2026-01-30,19709.246926750144,1190855.0,1210564.24692675,2.4211284938535003,10,0.9837189583479061,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1210564.24692675,0.0,553,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-02-24,2026-02-13,48756.55717150023,1187133.0,1235889.5571715003,2.4717791143430006,10,0.9605494221643185,NO_ACTION_CONFIRMED,,1235889.5571715003,0.0,557,9.0,8.0,0.0,914395.0,10.0,2.0,1210564.24692675,10.0,1.0,6.0,0.03981730998984887,0.0,0.0,0.03981730998984887,39902.79300000006,0.0,0.13509655172413815,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-02-25,2026-02-24,48756.55717150023,1203823.0,1252579.5571715003,2.5051591143430008,10,0.961075081504923,NO_ACTION_CONFIRMED,,1252579.5571715003,0.0,557,10.0,8.0,0.0,1187133.0,10.0,0.0,1235889.5571715003,10.0,1.0,6.0,0.0391679161350615,0.0,0.0,0.0391679161350615,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-02-26,2026-02-25,48756.55717150023,1193137.0,1241893.5571715003,2.4837871143430004,10,0.9607401480666775,NO_ACTION_CONFIRMED,,1241893.5571715003,0.0,557,10.0,8.0,0.0,1203823.0,10.0,0.0,1252579.5571715003,10.0,1.0,6.0,0.03852456526941488,0.0,0.0,0.03852456526941488,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-02-27,2026-02-25,48756.55717150023,1181335.0,1230091.5571715003,2.4601831143430006,10,0.9603634730380459,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1230091.5571715003,0.0,559,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-02,2026-02-27,48756.55717150023,1149005.0,1197761.5571715003,2.3955231143430007,10,0.9592936032388296,NO_ACTION_CONFIRMED,,1197761.5571715003,0.0,559,10.0,8.0,0.0,1181335.0,10.0,0.0,1230091.5571715003,10.0,1.0,6.0,0.04019499981532719,0.0,0.0,0.04019499981532719,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-03,2026-03-02,48756.55717150023,1177359.0,1226115.5571715003,2.4522311143430007,10,0.9602349412448727,NO_ACTION_CONFIRMED,,1226115.5571715003,0.0,559,10.0,8.0,0.0,1149005.0,10.0,0.0,1197761.5571715003,10.0,1.0,6.0,0.0406119331801991,0.0,0.0,0.0406119331801991,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-04,2026-03-03,48756.55717150023,1130282.0,1179038.5571715003,2.3580771143430006,10,0.9586471902255116,NO_ACTION_CONFIRMED,,1179038.5571715003,0.0,559,10.0,8.0,0.0,1177359.0,10.0,0.0,1226115.5571715003,10.0,1.0,6.0,0.04061186552462764,0.0,0.0,0.04061186552462764,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-05,2026-03-03,48756.55717150023,1135966.0,1184722.5571715003,2.3694451143430006,10,0.9588455905761553,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1184722.5571715003,0.0,561,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-06,2026-03-03,48756.55717150023,1151757.0,1200513.5571715003,2.4010271143430004,10,0.9593869166405964,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1200513.5571715003,0.0,563,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-09,2026-03-06,48756.55717150023,1132302.0,1181058.5571715003,2.3621171143430004,10,0.9587179171807817,NO_ACTION_CONFIRMED,,1181058.5571715003,0.0,563,10.0,8.0,0.0,1151757.0,10.0,0.0,1200513.5571715003,10.0,1.0,7.0,0.040616398946364624,0.0,0.0,0.040616398946364624,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-10,2026-03-06,48756.55717150023,1142290.0,1191046.5571715003,2.3820931143430006,10,0.959064104691854,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1191046.5571715003,0.0,565,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-11,2026-03-06,48756.55717150023,1131208.0,1179964.5571715003,2.3599291143430006,10,0.9586796426425087,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1179964.5571715003,0.0,567,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-12,2026-03-11,48756.55717150023,1108593.0,1157349.5571715003,2.3146991143430005,10,0.9578722289481333,NO_ACTION_CONFIRMED,,1157349.5571715003,0.0,567,10.0,9.0,0.0,1131208.0,10.0,0.0,1179964.5571715003,10.0,1.0,7.0,0.04138222213079735,0.0,0.0,0.04138222213079735,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-13,2026-03-12,48756.55717150023,1105925.0,1154681.5571715003,2.3093631143430007,10,0.9577748887832469,NO_ACTION_CONFIRMED,,1154681.5571715003,0.0,567,10.0,9.0,0.0,1108593.0,10.0,0.0,1157349.5571715003,10.0,1.0,7.0,0.04217769844546372,0.0,0.0,0.04217769844546372,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-16,2026-03-12,48756.55717150023,1087640.0,1136396.5571715003,2.2727931143430005,10,0.957095472646577,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1136396.5571715003,0.0,569,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-17,2026-03-12,48756.55717150023,1064370.0,1113126.5571715003,2.2262531143430007,10,0.9561985500593997,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1113126.5571715003,0.0,571,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-18,2026-03-17,48756.55717150023,1066546.0,1115302.5571715003,2.2306051143430006,10,0.9562840084441742,NO_ACTION_CONFIRMED,,1115302.5571715003,0.0,571,10.0,9.0,0.0,1064370.0,10.0,0.0,1113126.5571715003,10.0,1.0,7.0,0.04343280084162062,0.0,0.0,0.04343280084162062,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-19,2026-03-17,48756.55717150023,1041460.0,1090216.5571715003,2.1804331143430007,10,0.955278098786175,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1090216.5571715003,0.0,573,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-20,2026-03-19,48756.55717150023,1022367.0,1071123.5571715003,2.1422471143430006,10,0.9544809216032453,NO_ACTION_CONFIRMED,,1071123.5571715003,0.0,573,10.0,9.0,0.0,1041460.0,10.0,0.0,1090216.5571715003,10.0,1.0,8.0,0.044990718946678936,0.0,0.0,0.044990718946678936,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-23,2026-03-20,48756.55717150023,965191.0,1013947.5571715003,2.0278951143430004,10,0.9519141233423244,NO_ACTION_CONFIRMED,,1013947.5571715003,0.0,573,10.0,9.0,0.0,1022367.0,10.0,0.0,1071123.5571715003,10.0,1.0,9.0,0.046388226794534165,0.0,0.0,0.046388226794534165,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-24,2026-03-23,16679.57519950025,1020369.0,1037048.5751995002,2.0740971503990004,10,0.9839163028633529,NO_ACTION_CONFIRMED,,1037048.5751995002,0.0,577,9.0,9.0,0.0,757708.0,10.0,2.0,1013947.5571715003,10.0,1.0,7.0,0.016331156904427897,0.0,0.0,0.016331156904427897,16852.121000000043,0.0,0.0658620689655174,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-25,2026-03-24,16679.57519950025,1029811.0,1046490.5751995002,2.0929811503990003,10,0.9840614186168658,NO_ACTION_CONFIRMED,,1046490.5751995002,0.0,577,10.0,9.0,0.0,1020369.0,10.0,0.0,1037048.5751995002,10.0,1.0,6.0,0.01604247130879269,0.0,0.0,0.01604247130879269,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-26,2026-03-25,16679.57519950025,1026852.0,1043531.5751995002,2.0870631503990005,10,0.9840162237579525,NO_ACTION_CONFIRMED,,1043531.5751995002,0.0,577,10.0,9.0,0.0,1029811.0,10.0,0.0,1046490.5751995002,10.0,1.0,7.0,0.01584139773345888,0.0,0.0,0.01584139773345888,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-27,2026-03-25,16679.57519950025,1021599.0,1038278.5751995002,2.0765571503990006,10,0.9839353564660667,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1038278.5751995002,0.0,579,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-03-30,2026-03-27,16679.57519950025,1015016.0,1031695.5751995002,2.0633911503990006,10,0.9838328518601286,NO_ACTION_CONFIRMED,,1031695.5751995002,0.0,579,10.0,9.0,0.0,1021599.0,10.0,0.0,1038278.5751995002,10.0,1.0,6.0,0.016269858270127554,0.0,0.0,0.016269858270127554,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2026-03-31,2026-03-27,16679.57519950025,1027851.0,1044530.5751995002,2.0890611503990004,10,0.9840315108092317,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1044530.5751995002,0.0,581,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2026-04-01,2026-03-27,16679.57519950025,1031983.0,1048662.5751995002,2.0973251503990005,10,0.9840944307597446,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,1048662.5751995002,0.0,583,,,,,,,,,,,,,,,,,,,
