strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2025-02-05,000692,,供气供热,13400,2025-02-05,1,3.4,45560.0,0.09107259859308145
vls_mom_contrarian_v1_frozen,2025-02-05,000716,,食品,6800,2025-02-05,1,6.73,45764.0,0.09148038634797584
vls_mom_contrarian_v1_frozen,2025-02-05,002040,,港口,6800,2025-02-05,1,6.5,44200.0,0.08835401356045215
vls_mom_contrarian_v1_frozen,2025-02-05,002342,,机械基件,14600,2025-02-05,1,3.13,45698.0,0.09134845501551
vls_mom_contrarian_v1_frozen,2025-02-05,002355,,汽车配件,6900,2025-02-05,1,6.7,46230.0,0.09241190151356794
vls_mom_contrarian_v1_frozen,2025-02-05,003015,,元器件,2900,2025-02-05,1,15.15,43935.0,0.087824289271006
vls_mom_contrarian_v1_frozen,2025-02-05,003021,,元器件,400,2025-02-05,1,100.98,40392.0,0.08074197546909012
vls_mom_contrarian_v1_frozen,2025-02-05,600151,,汽车配件,6900,2025-02-05,1,6.85,47265.0,0.09448082468178215
vls_mom_contrarian_v1_frozen,2025-02-05,600885,,电气设备,1300,2025-02-05,1,34.11,44343.0,0.08863986478079479
vls_mom_contrarian_v1_frozen,2025-02-05,603111,,运输设备,6700,2025-02-05,1,6.68,44756.0,0.08946543508849766
vls_mom_contrarian_v1_frozen,2025-02-06,000692,,供气供热,13400,2025-02-05,2,3.41,45694.0,0.08855816979210439
vls_mom_contrarian_v1_frozen,2025-02-06,000716,,食品,6800,2025-02-05,2,6.89,46852.0,0.09080245483213716
vls_mom_contrarian_v1_frozen,2025-02-06,002040,,港口,6800,2025-02-05,2,6.55,44540.0,0.08632163703200266
vls_mom_contrarian_v1_frozen,2025-02-06,002342,,机械基件,14600,2025-02-05,2,3.17,46282.0,0.08969775494196558
vls_mom_contrarian_v1_frozen,2025-02-06,002355,,汽车配件,6900,2025-02-05,2,7.12,49128.0,0.09521350211289238
vls_mom_contrarian_v1_frozen,2025-02-06,003015,,元器件,2900,2025-02-05,2,16.67,48343.00000000001,0.09369211717642804
