strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,000636,风华高科,BUY,63.5,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,000700,模塑科技,BUY,17.8,0,4400,4400,4400,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,002056,横店东磁,BUY,29.42,0,2700,2700,2700,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,301377,鼎泰高科,BUY,408.52,0,100,100,100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,600487,亨通光电,BUY,97.87,0,800,800,800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-04,000636,风华高科,BUY,63.5,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-04,300285,国瓷材料,BUY,64.0,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-04,300408,三环集团,BUY,139.03,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-04,600487,亨通光电,BUY,97.87,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-04,688146,中船特气,BUY,219.19,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,002463,沪电股份,BUY,140.82,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.8
