strategy,risk_decision,days,avg_target_position_ratio,avg_daily_return,total_return,max_drawdown
production_governed_vol_position,normal,247,0.7093117408906884,-0.0008621183731978617,-0.22766214998366996,-0.40645415306807664
production_governed_vol_position,reduce_position,366,0.45560109289617495,0.0013124291604082333,0.5713913199964669,-0.14357127508631662
production_governed_vol_position,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
production_governed_vol_position_v1_1_recovery,hard_reduce,38,0.44999999999999996,-0.0008399611399231931,-0.03526279790343456,-0.06377611003173045
production_governed_vol_position_v1_1_recovery,normal,247,0.7093117408906884,0.00018810109659847608,-0.013818431353676663,-0.34689990133644655
production_governed_vol_position_v1_1_recovery,recovery_reduce,144,0.6,0.0033441851578727053,0.5919696812255986,-0.07615829379948347
production_governed_vol_position_v1_1_recovery,reduce_position,184,0.46114130434782613,-0.00018249689993112418,-0.05204545063944521,-0.1552597970069387
production_governed_vol_position_v1_1_recovery,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
production_governed_vol_position_v1_1_recovery_pattern_veto,hard_reduce,38,0.44999999999999996,-0.0008399611399231931,-0.03526279790343456,-0.06377611003173045
production_governed_vol_position_v1_1_recovery_pattern_veto,normal,247,0.7093117408906884,0.00018810109659847608,-0.013818431353676663,-0.34689990133644655
production_governed_vol_position_v1_1_recovery_pattern_veto,recovery_reduce,144,0.6,0.0033441851578727053,0.5919696812255986,-0.07615829379948347
production_governed_vol_position_v1_1_recovery_pattern_veto,reduce_position,184,0.46114130434782613,-0.00018249689993112418,-0.05204545063944521,-0.1552597970069387
production_governed_vol_position_v1_1_recovery_pattern_veto,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
