trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-05-12,000791,000791,SELL,9.76,47000,0,-47000,47000,0.5168157668286613,0.0,-0.5168157668286613,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
2026-05-12,600507,600507,SELL,5.48,16700,0,-16700,16700,0.10310627772299391,0.0,-0.10310627772299391,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
2026-05-12,600522,中天科技,SELL,44.08,7600,4000,-3600,3600,0.3774359443968786,0.2,-0.1774359443968786,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
2026-05-12,000066,中国长城,BUY,25.36,0,6900,6900,6900,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
2026-05-12,002281,光迅科技,BUY,201.5,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
2026-05-12,300395,菲利华,BUY,148.16,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
2026-05-12,301217,铜冠铜箔,BUY,94.51,0,1800,1800,1800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2
