asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_bs_ratio,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_regime,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,model_rank_score
2026-05-08,20260508,002903,002903.SZ,宇环数控,76.0,76.0,0.0,100.0,94.53,94.6,98.55,37.83,22.87,7.75,48.6638,64.32,40.0,58.36,观察,55.17,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,46.34,29.85,55.24,0,TRADE,1,-1.5,27.3362,28.8362,16.232910300169014,47.47460900312924,94.5545,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.965953067293812,85.12471471056683
2026-05-08,20260508,600206,600206.SH,有研新材,77.0,77.0,0.0,100.0,93.46,68.91,96.2,87.62,28.62,7.45,54.8544,64.72,40.0,61.18,观察,58.36,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,30.4,21.36,42.32,0,TRADE,1,2.5,22.1456,19.6456,12.128665760090843,52.47136361864441,84.86749999999999,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.9284362619605521,83.34453833723865
2026-05-08,20260508,688531,688531.SH,日联科技,52.19,52.19,0.0,100.0,43.85,29.12,99.58,5.82,25.01,7.5,53.4885,58.83,40.0,46.93,剔除,44.66,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,127.47,72.88,74.9,0,,1,-22.81,-1.2985000000000042,21.5115,12.81097728837786,49.90486749807077,38.694500000000005,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.988485935601379,83.27301549209653
2026-05-08,20260508,002943,002943.SZ,宇晶股份,66.09,66.09,0.0,100.0,95.43,29.12,98.38,31.14,26.9,8.55,44.5287,64.22,40.0,54.62,剔除,54.59,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,74.5,51.26,45.34,0,WATCH,1,-19.409999999999997,21.561300000000003,40.9713,20.49506111798645,51.443386358209345,72.2215,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.9525233310301804,83.06263317211263
2026-05-08,20260508,300769,300769.SZ,德方纳米,51.63,51.63,0.0,100.0,43.85,29.12,99.38,3.18,28.6,6.35,46.1333,53.43,40.0,45.57,剔除,45.11,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,78.96,45.9,72.03,0,,1,-11.869999999999996,5.496700000000004,17.3667,8.87611851899992,53.3129252620788,38.694500000000005,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.9880065254674354,82.83145678272047
2026-05-08,20260508,000066,000066.SZ,中国长城,62.16,62.16,0.0,100.0,43.85,93.63,98.0,3.34,29.49,7.15,48.0469,57.68,40.0,50.71,剔除,48.09,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,23.09,15.39,50.03,0,WATCH,1,-9.340000000000003,14.113099999999996,23.4531,11.80722300980774,53.75890623887357,61.273,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.9527071167210556,81.90249817047389
2026-05-08,20260508,600176,600176.SH,中国巨石,53.65,53.65,0.0,100.0,43.85,29.12,94.8,29.58,29.63,7.2,57.5156,58.44,40.0,48.73,剔除,46.74,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,38.0,25.71,47.8,0,,1,-18.35,-3.8656000000000006,14.4844,9.673530954103574,52.99928301401822,38.694500000000005,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.946692387710495,80.88746713973465
2026-05-08,20260508,300671,300671.SZ,富满微,75.94,75.94,0.0,100.0,99.2,93.96,92.88,29.64,25.87,8.9,45.9294,73.04,45.79,63.8,观察,59.17,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,53.8,40.7,32.19,0,TRADE,1,-13.060000000000002,30.010599999999997,43.0706,22.08421871201243,49.018421027201605,97.366,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.8788227266392913,80.65759086475039
2026-05-08,20260508,000782,000782.SZ,恒申新材,64.51,64.51,0.0,100.0,99.2,29.12,97.28,28.0,17.16,8.4,45.0965,55.7,40.0,43.82,剔除,25.32,回避,相对强弱靠前；流动性偏弱；买点后涨幅偏高,8.23,5.47,50.46,1,WATCH,1,-19.489999999999995,19.41350000000001,38.9035,19.451762535821786,40.85737142793207,74.672,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.954047265651705,79.92930859561935
2026-05-08,20260508,300503,300503.SZ,昊志机电,73.34,73.34,0.0,100.0,87.9,86.89,89.2,37.29,27.75,7.7,54.8215,70.27,46.92,62.49,观察,57.57,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,68.49,52.03,31.64,0,WATCH,1,-3.6599999999999966,18.518500000000003,22.1785,11.889885789330918,49.75238687741524,87.54650000000001,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.8668880831131777,79.42916581792244
2026-05-08,20260508,688017,688017.SH,绿的谐波,74.86,74.86,0.0,100.0,99.2,95.83,93.98,19.78,27.88,7.85,53.6235,72.42,51.8,64.37,观察,60.24,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,262.99,203.45,29.27,0,WATCH,1,-3.640000000000001,21.2365,24.8765,13.435517509571412,51.18752191696723,98.0205,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.8586668559343399,79.4176799154038
2026-05-08,20260508,603002,603002.SH,宏昌电子,52.39,52.39,0.0,100.0,43.85,29.12,94.58,9.53,27.44,7.1,50.8391,56.25,40.0,46.07,剔除,44.55,回避,强势流动性较好；相对强弱靠前；买点后涨幅偏高,15.32,10.67,43.58,0,,1,-18.61,1.5508999999999986,20.1609,11.219026098700962,50.943843592724726,38.694500000000005,1,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.9366141471453576,79.38399030017503
