trade_date,ts_code,target_weight,forward_ret_d1,forward_ret_d2,forward_ret_d3,forward_ret_d4,forward_ret_d5,forward_ret_1w,forward_max_ret,forward_max_dd,symbol,industry,score,opt_score,claude_score,bs_score,bs_consensus_score,bs_gate_score,bs_model_prob,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_regime,market_limit_up_rate,is_bs_candidate,pool_type,area,market,list_date
20260521,688017,0.2,0.020895522388059806,0.04179104477611939,0.01035820895522388,-0.04179104477611939,-0.05632835820895521,-0.05632835820895521,0.04179104477611939,-0.05632835820895521,688017,机械基件,72.5,7.4,51.2693,63.64,48.05,72.0,,100.0,98.3,63.41,98.88,32.0,28.99,2.0,2.0,2.0,2.0,2.0,2.0,2.0,23.1,0.61,13.63,7.0,5.93,1.0,-1.3937,-0.026757,0.005393,neutral,0.008521,1,,江苏,科创板,20200828
20260522,300136,0.2,-0.027622950819672143,-0.09565573770491809,-0.0821311475409836,-0.06819672131147536,-0.19139344262295077,-0.19139344262295077,-0.027622950819672143,-0.19139344262295077,300136,元器件,75.02,7.35,52.6122,73.53,75.44,100.0,,100.0,96.96,74.31,98.16,52.15,29.89,2.0,2.0,2.0,2.0,2.0,2.0,2.0,23.29,2.4,10.94,10.0,5.98,0.0,1.2962,-0.002983,0.01617,neutral,0.027697,0,,深圳,创业板,20101105
20260522,300209,0.2,-0.05160256410256403,-0.16314102564102562,-0.18173076923076914,-0.09391025641025641,-0.11346153846153839,-0.11346153846153839,-0.05160256410256403,-0.18173076923076914,300209,互联网,80.8,7.15,47.2396,72.84,77.08,100.0,,100.0,99.36,87.29,99.94,80.41,28.79,4.0,4.0,4.0,4.0,4.0,4.0,4.0,24.12,0.14,8.56,8.5,5.92,0.0,1.2962,-0.002983,0.01617,neutral,0.027697,0,,湖南,创业板,20110426
20260522,300408,0.2,-0.04669421487603309,-0.033636363636363575,0.016446280991735396,0.09181818181818202,0.06429752066115713,0.06429752066115713,0.09181818181818202,-0.04669421487603309,300408,元器件,76.07,6.3,60.2295,72.74,74.99,100.0,,100.0,99.7,97.25,99.24,12.42,29.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.94,3.44,16.87,10.0,5.97,0.0,1.2962,-0.002983,0.01617,neutral,0.027697,0,,广东,创业板,20141203
20260522,600584,0.2,0.08337837837837836,0.19175675675675663,0.1643243243243242,0.1451351351351351,0.10878378378378373,0.10878378378378373,0.19175675675675663,0.08337837837837836,600584,半导体,75.97,7.2,53.9953,64.24,50.18,72.0,,100.0,98.3,74.2,98.84,58.1,29.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.53,7.96,8.02,8.5,5.99,0.0,1.2962,-0.002983,0.01617,neutral,0.027697,1,,江苏,主板,20030603
20260522,603986,0.2,0.07841284600260412,0.09902962421799977,0.073883645966347,0.00876308102560519,-0.02463261600462152,-0.02463261600462152,0.09902962421799977,-0.02463261600462152,603986,半导体,72.9,7.15,55.4846,73.32,74.72,100.0,,100.0,97.15,69.45,98.06,38.2,29.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.87,2.35,15.77,8.5,6.0,0.0,1.2962,-0.002983,0.01617,neutral,0.027697,0,,北京,主板,20160818
20260525,301526,0.2,0.09562710235463734,0.03700144161460828,0.19077366650648742,0.12205670350792897,0.026429601153291626,0.026429601153291626,0.19077366650648742,0.026429601153291626,301526,玻璃,75.18,7.35,52.0558,73.46,75.17,100.0,,100.0,98.12,75.22,98.12,47.09,29.35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,23.15,3.2,7.32,10.0,5.88,2.5,1.579,0.018221,0.025412,neutral,0.024404,0,,重庆,创业板,20231226
20260525,600183,0.2,0.10797091295463535,0.13900420109914569,0.17254508208347707,0.2155953878172423,0.17245911729637298,0.17245911729637298,0.2155953878172423,0.10797091295463535,600183,元器件,74.41,7.0,57.2855,73.64,75.19,100.0,,100.0,99.31,74.97,97.95,37.1,29.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.53,4.23,13.58,8.5,5.95,2.5,1.579,0.018221,0.025412,neutral,0.024404,0,,广东,主板,19981028
20260525,600584,0.2,0.06253012048192774,0.038072289156626526,0.02096385542168666,-0.011445783132530196,-0.08855421686746978,-0.08855421686746978,0.06253012048192774,-0.08855421686746978,600584,半导体,71.6,7.2,55.3222,56.03,34.23,27.0,,100.0,99.31,29.2,99.28,69.1,29.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,7.32,8.03,8.5,5.98,2.5,1.579,0.018221,0.025412,neutral,0.024404,1,,江苏,主板,20030603
20260525,603629,0.2,0.07099903987063527,0.08181312850573574,0.11188033756127158,0.2164839051998586,0.09485067461721175,0.09485067461721175,0.2164839051998586,0.07099903987063527,603629,元器件,79.18,6.7,54.3421,72.88,76.99,100.0,,100.0,97.42,79.23,99.61,79.74,29.63,2.0,2.0,2.0,2.0,2.0,2.0,2.0,23.83,2.79,10.81,8.5,5.92,2.5,1.579,0.018221,0.025412,neutral,0.024404,0,,江苏,主板,20181224
20260525,688981,0.2,-0.010283287998407609,-0.029921050885689637,0.0197041066808199,-0.07178398460823987,-0.12134279838121143,-0.12134279838121143,0.0197041066808199,-0.12134279838121143,688981,半导体,75.21,8.1,53.6648,75.96,74.77,100.0,,100.0,99.31,94.11,96.63,5.27,29.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.67,2.13,9.87,8.0,6.0,4.0,1.579,0.018221,0.025412,neutral,0.024404,0,,上海,科创板,20200716
20260526,000725,0.2,-0.013806301688196299,-0.020692365525254663,-0.11897683001845394,-0.07586631125692023,-0.05689973344269017,-0.05689973344269017,-0.013806301688196299,-0.11897683001845394,000725,元器件,76.53,9.05,62.8776,81.07,76.51,100.0,,100.0,99.64,95.37,94.96,18.27,29.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.76,15.31,7.31,6.5,6.0,4.0,0.5334,0.019569,0.033747,neutral,0.010846,0,,北京,主板,20010112
20260526,002156,0.2,-0.01987190104704928,-0.051372361672158084,-0.09654510635443625,-0.1596500618045279,-0.1261127210555637,-0.1261127210555637,-0.01987190104704928,-0.1596500618045279,002156,半导体,79.99,7.25,55.6278,74.9,77.15,100.0,,100.0,99.64,93.41,98.39,55.37,29.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.23,6.46,7.95,8.5,5.99,2.5,0.5334,0.019569,0.033747,neutral,0.010846,0,,江苏,主板,20070816
20260526,002916,0.2,-0.034377706679436515,-0.028940719267268156,-0.0029725913794363956,-0.07909283858969363,-0.033532168498867976,-0.033532168498867976,-0.0029725913794363956,-0.07909283858969363,002916,元器件,79.56,8.9,56.1493,79.4,77.35,100.0,,100.0,98.02,94.09,95.52,56.26,29.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.63,3.65,13.89,6.5,5.97,2.5,0.5334,0.019569,0.033747,neutral,0.010846,0,,深圳,主板,20171213
20260526,301526,0.2,-0.02352941176470602,0.12126696832579187,0.0565610859728507,-0.033484162895927705,0.04886877828054281,0.04886877828054281,0.12126696832579187,-0.033484162895927705,301526,玻璃,75.58,8.35,50.7144,76.19,75.77,100.0,,100.0,98.93,78.94,97.85,44.54,29.37,4.0,4.0,4.0,4.0,4.0,4.0,4.0,23.57,2.9,7.32,8.5,5.92,2.5,0.5334,0.019569,0.033747,neutral,0.010846,0,,重庆,创业板,20231226
20260526,600584,0.2,-0.0039306358381503426,-0.020346820809248656,-0.051445086705202314,-0.12543352601156066,-0.12890173410404626,-0.12890173410404626,-0.0039306358381503426,-0.12890173410404626,600584,半导体,78.11,7.25,53.5447,56.8,40.31,27.0,,100.0,99.64,78.03,99.77,67.05,29.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.95,6.58,8.03,6.5,5.99,2.5,0.5334,0.019569,0.033747,neutral,0.010846,1,,江苏,主板,20030603
20260527,000636,0.2,0.09058295964125551,0.1890134529147982,0.23430493273542585,0.3432735426008968,0.35739910313901335,0.35739910313901335,0.35739910313901335,0.09058295964125551,000636,元器件,79.74,8.4,55.8447,78.51,77.72,100.0,,100.0,98.53,96.98,99.71,51.23,29.17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,24.51,4.83,9.55,8.5,5.96,2.5,-0.8019,0.011848,0.029103,neutral,0.011236,0,,广东,主板,19961129
20260527,002185,0.2,0.0665001065786277,-0.04020244982129495,-0.08536204511993806,-0.09032414774276376,-0.04913522597147657,-0.04913522597147657,0.0665001065786277,-0.09032414774276376,002185,半导体,73.71,7.45,52.9463,64.43,49.05,72.0,,100.0,99.85,99.28,98.66,9.36,29.59,2.0,2.0,2.0,2.0,2.0,2.0,2.0,24.29,8.22,6.95,6.5,5.99,1.0,-0.8019,0.011848,0.029103,neutral,0.011236,1,,甘肃,主板,20071120
20260527,300274,0.2,0.03936792607578332,-0.02679206080157459,-0.04860845316857121,-0.05571655093225436,-0.06610530920225255,-0.06610530920225255,0.03936792607578332,-0.06610530920225255,300274,电气设备,77.12,7.45,62.006,76.14,77.0,100.0,,100.0,98.33,72.47,95.37,73.98,29.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.77,8.17,13.57,8.5,5.99,4.0,-0.8019,0.011848,0.029103,neutral,0.011236,0,,安徽,创业板,20111102
20260527,600183,0.2,0.021615985942868177,0.05912488961691165,0.02154108647667652,0.06251409046207712,0.06266463838912228,0.06266463838912228,0.06266463838912228,0.02154108647667652,600183,元器件,77.24,7.15,55.369,74.24,75.96,100.0,,100.0,98.99,91.88,99.4,32.71,29.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,3.56,13.57,6.5,5.97,1.77,-0.8019,0.011848,0.029103,neutral,0.011236,0,,广东,主板,19981028
