trade_date,ts_code,strategy,target_weight,exec_date,forward_ret_d1,forward_ret_d2,forward_ret_d3,forward_ret_d4,forward_ret_d5,forward_ret_1w,forward_max_ret
20260519,000988,production_governed_vol_position,0.2,20260520,0.03162653924374359,-0.02809161190543874,-0.013256765298849116,0.08541112988478883,0.0751844823685337,0.0751844823685337,0.08541112988478883
20260519,300302,production_governed_vol_position,0.2,20260520,-0.00417391304347825,-0.06156521739130438,-0.0721739130434782,-0.12104347826086959,-0.20695652173913037,-0.20695652173913037,-0.00417391304347825
20260519,300408,production_governed_vol_position,0.2,20260520,-0.0035306334371755232,0.022533748701973,0.1941848390446521,0.19781931464174463,0.21422637590861893,0.21422637590861893,0.21422637590861893
20260519,601991,production_governed_vol_position,0.2,20260520,-0.002645502645502562,-0.06746031746031744,-0.0886243386243386,-0.021164021164021052,-0.052910052910052796,-0.052910052910052796,-0.002645502645502562
20260519,688012,production_governed_vol_position,0.2,20260520,0.032273685301320576,0.0016841255810755573,-0.011368447683469673,0.021684122757493318,-0.02418948721065528,-0.02418948721065528,0.032273685301320576
20260520,000988,production_governed_vol_position,0.2,20260521,-0.06127657761302141,-0.046948253927673544,0.04835071188132689,0.038473244340558654,-0.025181546477724415,-0.025181546477724415,0.04835071188132689
20260520,002281,production_governed_vol_position,0.2,20260521,-0.05583315229198349,-0.06204649141864005,-0.026808603084944704,-0.10180317184444931,-0.1192700412774278,-0.1192700412774278,-0.026808603084944704
20260520,300274,production_governed_vol_position,0.2,20260521,-0.011476389719067615,-0.016676628810520122,-0.0003586371787208664,0.06987447698744775,0.10035863717872084,0.10035863717872084,0.10035863717872084
20260520,600584,production_governed_vol_position,0.2,20260521,-0.0005980861244018199,0.08971291866028719,0.19871411483253598,0.31863038277511957,0.28827751196172247,0.28827751196172247,0.31863038277511957
20260520,603986,production_governed_vol_position,0.2,20260521,-0.02948171287876722,0.053300890509733634,0.15859967809981534,0.18074944448321295,0.1537337033263244,0.1537337033263244,0.18074944448321295
20260521,002371,production_governed_vol_position,0.2,20260522,0.009004117460748473,0.053029274693452866,0.01088940168619823,-0.01245795816177242,-0.006078156342850249,-0.006078156342850249,0.053029274693452866
20260521,002407,production_governed_vol_position,0.2,20260522,0.04095563139931735,-0.06313993174061439,-0.11555338859093134,-0.12749878108239887,-0.1438322769380791,-0.1438322769380791,0.04095563139931735
20260521,300323,production_governed_vol_position,0.2,20260522,0.027472527472527375,-0.02857142857142858,-0.06263736263736264,-0.07032967032967019,-0.06318681318681307,-0.06318681318681307,0.027472527472527375
20260521,300408,production_governed_vol_position,0.2,20260522,0.09534241356319662,0.09867606438708454,0.11372511667777885,0.17144489951423947,0.258310315268121,0.258310315268121,0.258310315268121
20260521,688017,production_governed_vol_position,0.2,20260522,0.020895522388059806,0.04179104477611939,0.01035820895522388,-0.04179104477611939,-0.05632835820895521,-0.05632835820895521,0.04179104477611939
20260522,300136,production_governed_vol_position,0.2,20260525,-0.027622950819672143,-0.09565573770491809,-0.0821311475409836,-0.06819672131147536,-0.19139344262295077,-0.19139344262295077,-0.027622950819672143
20260522,300209,production_governed_vol_position,0.2,20260525,-0.05160256410256403,-0.16314102564102562,-0.18173076923076914,-0.09391025641025641,-0.11346153846153839,-0.11346153846153839,-0.05160256410256403
20260522,300408,production_governed_vol_position,0.2,20260525,-0.04669421487603309,-0.033636363636363575,0.016446280991735396,0.09181818181818202,0.06429752066115713,0.06429752066115713,0.09181818181818202
20260522,600584,production_governed_vol_position,0.2,20260525,0.08337837837837836,0.19175675675675663,0.1643243243243242,0.1451351351351351,0.10878378378378373,0.10878378378378373,0.19175675675675663
20260522,603986,production_governed_vol_position,0.2,20260525,0.07841284600260412,0.09902962421799977,0.073883645966347,0.00876308102560519,-0.02463261600462152,-0.02463261600462152,0.09902962421799977
20260525,301526,production_governed_vol_position,0.2,20260526,0.09562710235463734,0.03700144161460828,0.19077366650648742,0.12205670350792897,0.026429601153291626,0.026429601153291626,0.19077366650648742
20260525,600183,production_governed_vol_position,0.2,20260526,0.10797091295463535,0.13900420109914569,0.17254508208347707,0.2155953878172423,0.17245911729637298,0.17245911729637298,0.2155953878172423
20260525,600584,production_governed_vol_position,0.2,20260526,0.06253012048192774,0.038072289156626526,0.02096385542168666,-0.011445783132530196,-0.08855421686746978,-0.08855421686746978,0.06253012048192774
20260525,603629,production_governed_vol_position,0.2,20260526,0.07099903987063527,0.08181312850573574,0.11188033756127158,0.2164839051998586,0.09485067461721175,0.09485067461721175,0.2164839051998586
20260525,688981,production_governed_vol_position,0.2,20260526,-0.010283287998407609,-0.029921050885689637,0.0197041066808199,-0.07178398460823987,-0.12134279838121143,-0.12134279838121143,0.0197041066808199
20260526,000725,production_governed_vol_position,0.2,20260527,-0.013806301688196299,-0.020692365525254663,-0.11897683001845394,-0.07586631125692023,-0.05689973344269017,-0.05689973344269017,-0.013806301688196299
20260526,002156,production_governed_vol_position,0.2,20260527,-0.01987190104704928,-0.051372361672158084,-0.09654510635443625,-0.1596500618045279,-0.1261127210555637,-0.1261127210555637,-0.01987190104704928
20260526,002916,production_governed_vol_position,0.2,20260527,-0.034377706679436515,-0.028940719267268156,-0.0029725913794363956,-0.07909283858969363,-0.033532168498867976,-0.033532168498867976,-0.0029725913794363956
20260526,301526,production_governed_vol_position,0.2,20260527,-0.02352941176470602,0.12126696832579187,0.0565610859728507,-0.033484162895927705,0.04886877828054281,0.04886877828054281,0.12126696832579187
20260526,600584,production_governed_vol_position,0.2,20260527,-0.0039306358381503426,-0.020346820809248656,-0.051445086705202314,-0.12543352601156066,-0.12890173410404626,-0.12890173410404626,-0.0039306358381503426
20260527,000636,production_governed_vol_position,0.2,20260528,0.09058295964125551,0.1890134529147982,0.23430493273542585,0.3432735426008968,0.35739910313901335,0.35739910313901335,0.35739910313901335
20260527,002185,production_governed_vol_position,0.2,20260528,0.0665001065786277,-0.04020244982129495,-0.08536204511993806,-0.09032414774276376,-0.04913522597147657,-0.04913522597147657,0.0665001065786277
20260527,300274,production_governed_vol_position,0.2,20260528,0.03936792607578332,-0.02679206080157459,-0.04860845316857121,-0.05571655093225436,-0.06610530920225255,-0.06610530920225255,0.03936792607578332
20260527,600183,production_governed_vol_position,0.2,20260528,0.021615985942868177,0.05912488961691165,0.02154108647667652,0.06251409046207712,0.06266463838912228,0.06266463838912228,0.06266463838912228
20260527,603601,production_governed_vol_position,0.2,20260528,0.1258355726840652,0.013393070604098778,-0.08804234524572274,-0.17942698122770606,-0.19091222063900393,-0.19091222063900393,0.1258355726840652
20260528,002185,production_governed_vol_position,0.2,20260529,-0.0821090457430822,-0.12529688677769402,-0.13004233451376945,-0.09065179980942362,-0.08590635207334829,-0.08590635207334829,-0.0821090457430822
20260528,300308,production_governed_vol_position,0.2,20260529,-0.02423529411764702,-0.050420168067226934,0.0015210084033612237,0.0714285714285714,0.07563025210084029,0.07563025210084029,0.07563025210084029
20260528,301217,production_governed_vol_position,0.2,20260529,0.02517985611510798,-0.05674460431654682,-0.06807553956834533,-0.03417266187050361,-0.013039568345323715,-0.013039568345323715,0.02517985611510798
20260528,301511,production_governed_vol_position,0.2,20260529,0.050422276110042574,0.07475541433230193,0.06212894054686835,0.04130780165565673,0.022744376620118745,0.022744376620118745,0.07475541433230193
20260528,600396,production_governed_vol_position,0.2,20260529,0.0443169968717414,-0.035453597497393075,0.011470281543274119,0.11261730969760175,0.1454640250260688,0.1454640250260688,0.1454640250260688
20260529,000636,production_governed_vol_position,0.2,20260601,0.12392813393221735,0.2231523070641077,0.236014699877501,0.29644752960391996,0.2178440179665171,0.2178440179665171,0.29644752960391996
20260529,300394,production_governed_vol_position,0.2,20260601,-0.06714513069301797,-0.005981446581021288,0.08184880286538676,0.04502440272002661,-0.005981446581021288,-0.005981446581021288,0.08184880286538676
20260529,301511,production_governed_vol_position,0.2,20260601,0.03653225806451621,0.024354838709677473,0.004274193548387206,-0.013629032258064444,-0.03629032258064513,-0.03629032258064513,0.03653225806451621
20260529,600183,production_governed_vol_position,0.2,20260601,-0.03548571420489355,0.003200001131492103,0.0033421448281616417,0.02375143381266165,-0.028614021167388648,-0.028614021167388648,0.02375143381266165
20260529,603256,production_governed_vol_position,0.2,20260601,0.0,0.09266798527553433,0.08480797758364922,0.07183671226855681,0.0776078237459481,0.0776078237459481,0.09266798527553433
20260601,000636,production_governed_vol_position,0.2,20260602,0.12023186237845929,0.13201196709050111,0.18735976065819004,0.1153702318623786,0.038332086761406314,0.038332086761406314,0.18735976065819004
20260601,300433,production_governed_vol_position,0.2,20260602,-0.010796545105566269,0.0650191938579654,0.04702495201535517,0.09428982725527835,0.02303262955854124,0.02303262955854124,0.09428982725527835
20260601,600027,production_governed_vol_position,0.2,20260602,-0.029462738301559765,-0.03119584055459268,-0.057192374350086506,-0.0987868284228769,-0.10918544194107449,-0.10918544194107449,-0.029462738301559765
20260601,600795,production_governed_vol_position,0.2,20260602,0.017208413001912115,0.0,-0.013384321223709472,-0.030592734225621476,-0.04397705544933084,-0.04397705544933084,0.017208413001912115
20260601,600863,production_governed_vol_position,0.2,20260602,-0.01468624833110821,-0.013351134846461998,-0.08144192256341798,-0.16822429906542058,-0.19092122830440594,-0.19092122830440594,-0.013351134846461998
20260602,000636,production_governed_vol_position,0.2,20260603,0.0245388390590624,0.0746319174141139,0.009477068877982608,-0.060247080724318836,0.033677441191402924,0.033677441191402924,0.0746319174141139
