center,half_width,strength,spearman_r,q5_ret,q1_ret,q_spread,monotonic,mean_score,std_score
60,20,0.3,-0.025527788865904923,-0.0203629165055477,-0.016791357124416574,-0.003571559381131125,0,52.3947257513795,8.649910734441335
60,20,0.25,-0.03233476108933811,-0.021604677456873275,-0.01807788196812376,-0.003526795488749516,0,50.09312459997489,8.277661676393016
50,20,0.25,-0.03468286316314884,-0.023261279402019944,-0.02105287344247255,-0.002208405959547393,0,41.514644239320454,8.815965822196597
50,20,0.3,-0.03507656953464282,-0.022976089649486494,-0.0202866009037778,-0.002689488745708693,0,42.29789164903184,8.774948039437614
60,25,0.2,-0.03507887047345861,-0.023224489724914935,-0.020695315799220834,-0.0025291739256941004,0,44.07198167729224,8.065111330458636
55,25,0.3,-0.03515841593116764,-0.02313501246298369,-0.02031946630250826,-0.00281554616047543,0,43.33096574117341,8.453242442572456
55,25,0.25,-0.03520365114310462,-0.02331797166066321,-0.021265539801897368,-0.0020524318587658436,0,42.3755393161051,8.699691071943063
60,30,0.3,-0.03525924415981324,-0.023159311556002635,-0.0205131005193605,-0.0026462110366421362,0,44.34171394756429,7.989299386632674
55,20,0.3,-0.03544943512258577,-0.023158961043493277,-0.01888017988322709,-0.004278781160266188,0,46.47442004773537,8.671849543103269
55,20,0.2,-0.03552698100329287,-0.022986672214960886,-0.020273010373627748,-0.0027136618413331377,0,43.56982234744049,8.426114071462681
60,20,0.2,-0.0355527796167343,-0.023223222015357103,-0.019136313932092475,-0.004086908083264628,0,47.696021407839325,7.972863925837708
55,20,0.15,-0.03563760530810627,-0.02342776445189487,-0.020844676015841612,-0.0025830884360532567,0,42.07696855827125,8.81996278456628
60,25,0.3,-0.03568725408709303,-0.023203595487355573,-0.019060138371293136,-0.004143457116062437,0,47.30192971310714,7.931519248779642
60,30,0.25,-0.03572429783313268,-0.023450318297557025,-0.021060899803764986,-0.0023894184937920393,0,43.21782948809748,8.379797195927935
45,20,0.3,-0.03583814372543054,-0.023437049957441065,-0.02103241014364892,-0.002404639813792145,0,39.43543256332379,8.762653276487132
50,20,0.2,-0.035869376978745385,-0.023509493531792325,-0.02092936841823844,-0.002580125113553884,0,40.73139682960906,9.127359821181548
50,25,0.3,-0.03611560992813273,-0.023577199895012103,-0.020950444727426482,-0.0026267551675856204,0,40.60607724405523,9.200774108292169
60,20,0.15,-0.03618220767546234,-0.022958755417068582,-0.019306980093729335,-0.003651775323339247,0,45.18462729216438,7.830439552641676
55,20,0.25,-0.03622848611086451,-0.022996650824291472,-0.019203482518133107,-0.0037931683061583656,0,45.05530225621027,8.52798980228671
60,25,0.25,-0.03642337775149038,-0.022989955623480964,-0.019166433216906975,-0.003823522406573989,0,45.69037529892443,7.793995086340875
55,30,0.3,-0.036434936337377745,-0.023686040941655852,-0.02106103471212157,-0.002625006229534283,0,41.579350628548156,9.06286054109328
60,20,0.1,-0.03649486236146047,-0.023720426198543754,-0.021045384019504555,-0.002675042179039199,0,42.655887258364075,8.644099136893384
60,35,0.3,-0.03665213179035274,-0.023784390855008778,-0.021027148529923052,-0.0027572423250857257,0,42.55267337943346,8.697202795093006
55,25,0.2,-0.036708886253244775,-0.023779962125598252,-0.021026811595063033,-0.0027531505305352193,0,41.420112891036766,9.151230975329973
45,20,0.25,-0.03677238517012223,-0.023762234256721918,-0.020903434194760494,-0.0028588000619614237,0,39.129261667897076,9.099481418092012
60,25,0.15,-0.03679199275774915,-0.02379878489715725,-0.021023485513087473,-0.002775299384069778,0,42.453588055660056,8.749455209369984
