trade_date,ts_code,strategy,target_weight,stock_name,industry,rank_no,rank_score,bs_score_v2,is_bs_candidate,exec_date,forward_ret_d1,forward_ret_d2,forward_ret_d3,forward_ret_d4,forward_ret_d5,forward_ret_1w,observation_status,forward_max_ret
20260618,300285,production_governed_vol_position,0.06442856309726548,国瓷材料,陶瓷,1,96.01847585805702,59.79,0,20260622,0.0634408602150538,-0.023870967741935423,-0.013763440860215082,0.058064516129032295,0.10548387096774192,0.10548387096774192,complete,0.10548387096774192
20260618,301217,production_governed_vol_position,0.08411891970711953,铜冠铜箔,元器件,2,94.68189257320147,59.64,0,20260622,0.004858092559447691,-0.12140117616977764,-0.04530810534390184,-0.06279723855791353,-0.12912298644847864,-0.12912298644847864,complete,0.004858092559447691
20260618,600392,production_governed_vol_position,0.13184893873761488,盛和资源,小金属,3,94.52395578824898,61.17,1,20260622,0.05186089078706524,-0.05338621110433195,-0.03599755948749239,-0.017693715680292765,-0.08114704087858449,-0.08114704087858449,complete,0.05186089078706524
20260618,300857,production_governed_vol_position,0.11663366120819221,协创数据,IT设备,4,94.19567190226876,61.72,0,20260622,0.11824503194380709,0.0818537997246831,0.20076947513324628,0.20708764251173628,0.17352017224947947,0.17352017224947947,complete,0.20708764251173628
20260618,600378,production_governed_vol_position,0.1029699172498079,昊华科技,化工原料,5,93.93892573201474,69.91,0,20260622,0.04805970149253724,-0.009850746268656674,0.002238805970149249,0.020895522388059806,-0.07014925373134329,-0.07014925373134329,complete,0.04805970149253724
20260622,300285,production_governed_vol_position,0.07103651076050752,国瓷材料,陶瓷,1,95.91744186046512,58.97,0,20260623,-0.049424083769633476,-0.03958115183246069,0.030366492146596924,0.0765445026178011,,,observing,0.0765445026178011
20260622,301217,production_governed_vol_position,0.08848113707945726,铜冠铜箔,元器件,2,95.7318992248062,60.57,0,20260623,-0.08945890084265196,-0.010599395834437475,-0.02872436271132539,-0.09746144469765217,,,observing,-0.010599395834437475
20260622,600392,production_governed_vol_position,0.13074210105089407,盛和资源,小金属,3,95.63011627906977,58.33,1,20260623,-0.09242468558057904,-0.07575314419420875,-0.05820415326118733,-0.11904065516232809,,,observing,-0.05820415326118733
20260622,300857,production_governed_vol_position,0.10616857108855518,协创数据,IT设备,4,95.49573643410852,64.69,0,20260623,-0.042187500000000044,0.06309374999999995,0.06868750000000001,0.038968749999999996,,,observing,0.06868750000000001
20260622,600378,production_governed_vol_position,0.103571680020586,昊华科技,化工原料,5,93.43081395348837,67.89,0,20260623,-0.03223924142961332,-0.020423048869438243,-0.002188183807439681,-0.0911743253099927,,,observing,-0.002188183807439681
