signal_date,execution_date,symbol,action,risk_state_on_signal,risk_state_on_execution,trigger_count,trigger_components,baseline_buy_eligible,epc_buy_blocked,label
2023-11-29,2023-11-30,300351,BUY,False,False,0,,True,False,E1
2023-11-29,2023-11-30,688271,BUY,False,False,0,,True,False,E1
2023-11-29,2023-11-30,002594,BUY,False,False,0,,True,False,E1
2023-11-29,2023-11-30,002142,BUY,False,False,0,,True,False,E1
2023-11-29,2023-11-30,688041,BUY,False,False,0,,True,False,E1
2023-12-13,2023-12-14,300351,NATURAL_SELL,True,True,2,,,,E1
2023-12-13,2023-12-14,688041,NATURAL_SELL,True,True,2,,,,E1
2023-12-13,2023-12-14,688271,NATURAL_SELL,True,True,2,,,,E1
2023-12-13,2023-12-14,002594,NATURAL_SELL,True,True,2,,,,E1
2023-12-13,2023-12-14,002142,NATURAL_SELL,True,True,2,,,,E1
2023-12-13,2023-12-14,601398,BUY,True,True,2,CSI300_ret20=-0.0659≤-0.06; acct_dd=-0.1196≤-0.08,True,False,E1
2023-12-13,2023-12-14,000568,BUY,True,True,2,CSI300_ret20=-0.0659≤-0.06; acct_dd=-0.1196≤-0.08,True,False,E1
2023-12-13,2023-12-14,600938,BUY,True,True,2,CSI300_ret20=-0.0659≤-0.06; acct_dd=-0.1196≤-0.08,True,False,E1
2023-12-13,2023-12-14,002558,BUY,True,True,2,CSI300_ret20=-0.0659≤-0.06; acct_dd=-0.1196≤-0.08,True,False,E1
2023-12-19,2023-12-20,600795,BUY,True,True,2,CSI300_ret20=-0.0690≤-0.06; turnover=0.805≤0.85,True,False,E1
2023-12-27,2023-12-28,002558,NATURAL_SELL,True,True,1,,,,E1
2023-12-27,2023-12-28,000568,NATURAL_SELL,True,True,1,,,,E1
2023-12-27,2023-12-28,601398,NATURAL_SELL,True,True,1,,,,E1
2023-12-28,2023-12-29,600938,NATURAL_SELL,True,True,0,,,,E1
2023-12-28,2023-12-29,600030,BUY,True,True,0,,True,False,E1
2023-12-28,2023-12-29,002855,BUY,True,True,0,,True,False,E1
2023-12-28,2023-12-29,600941,BUY,True,True,0,,True,False,E1
2024-01-02,2024-01-03,002241,BUY,True,True,0,,True,False,E1
2024-01-03,2024-01-04,600795,NATURAL_SELL,True,True,0,,,,E1
2024-01-04,2024-01-05,601857,BUY,True,True,0,,True,False,E1
2024-01-12,2024-01-15,600030,NATURAL_SELL,True,True,0,,,,E1
2024-01-12,2024-01-15,002855,NATURAL_SELL,True,True,0,,,,E1
2024-01-12,2024-01-15,600941,NATURAL_SELL,True,True,0,,,,E1
2024-01-12,2024-01-15,000158,BUY,True,True,0,,True,False,E1
2024-01-12,2024-01-15,002415,BUY,True,True,0,,True,False,E1
2024-01-12,2024-01-15,000338,BUY,True,True,0,,True,False,E1
2024-01-16,2024-01-17,002241,NATURAL_SELL,True,True,0,,,,E1
2024-01-17,2024-01-18,600309,BUY,True,True,0,,True,False,E1
2024-01-18,2024-01-19,601857,NATURAL_SELL,True,True,0,,,,E1
2024-01-23,2024-01-24,300502,BUY,True,True,0,,True,False,E1
2024-01-26,2024-01-29,000158,NATURAL_SELL,True,True,1,,,,E1
2024-01-26,2024-01-29,000338,NATURAL_SELL,True,True,1,,,,E1
2024-01-26,2024-01-29,002415,NATURAL_SELL,True,True,1,,,,E1
2024-01-26,2024-01-29,600030,BUY,True,True,1,acct_dd=-0.1062≤-0.08,True,False,E1
2024-01-26,2024-01-29,600048,BUY,True,True,1,acct_dd=-0.1062≤-0.08,True,False,E1
2024-01-26,2024-01-29,000002,BUY,True,True,1,acct_dd=-0.1062≤-0.08,True,False,E1
2024-01-31,2024-02-01,600309,NATURAL_SELL,True,True,1,,,,E1
2024-01-31,2024-02-01,601600,BUY,True,True,1,acct_dd=-0.1222≤-0.08,True,False,E1
2024-02-06,2024-02-07,300502,NATURAL_SELL,True,True,1,,,,E1
2024-02-06,2024-02-07,601006,BUY,True,True,1,acct_dd=-0.1121≤-0.08,True,False,E1
2024-02-19,2024-02-20,600030,NATURAL_SELL,True,True,0,,,,E1
2024-02-19,2024-02-20,600048,NATURAL_SELL,True,True,0,,,,E1
2024-02-19,2024-02-20,000002,NATURAL_SELL,True,True,0,,,,E1
2024-02-21,2024-02-22,688525,BUY,True,True,0,,True,False,E1
2024-02-21,2024-02-22,600839,BUY,True,True,0,,True,False,E1
2024-02-21,2024-02-22,002463,BUY,True,True,0,,True,False,E1
2024-02-22,2024-02-23,601600,NATURAL_SELL,True,True,0,,,,E1
2024-02-28,2024-02-29,601006,SELL,False,False,0,,,,E1
2024-02-28,2024-02-29,600733,BUY,False,False,0,,True,False,E1
2024-02-28,2024-02-29,000938,BUY,False,False,0,,True,False,E1
2024-03-06,2024-03-07,688525,SELL,False,False,0,,,,E1
2024-03-06,2024-03-07,600839,SELL,False,False,0,,,,E1
2024-03-06,2024-03-07,002463,SELL,False,False,0,,,,E1
2024-03-06,2024-03-07,002281,BUY,False,False,0,,True,False,E1
2024-03-06,2024-03-07,002456,BUY,False,False,0,,True,False,E1
2024-03-06,2024-03-07,601127,BUY,False,False,0,,True,False,E1
2024-03-13,2024-03-14,600733,SELL,False,False,0,,,,E1
2024-03-13,2024-03-14,000938,SELL,False,False,0,,,,E1
2024-03-13,2024-03-14,300757,BUY,False,False,0,,True,False,E1
2024-03-13,2024-03-14,601138,BUY,False,False,0,,True,False,E1
2024-03-20,2024-03-21,002281,SELL,False,False,0,,,,E1
2024-03-20,2024-03-21,002456,SELL,False,False,0,,,,E1
2024-03-20,2024-03-21,601127,SELL,False,False,0,,,,E1
2024-03-20,2024-03-21,300548,BUY,False,False,0,,True,False,E1
2024-03-20,2024-03-21,688008,BUY,False,False,0,,True,False,E1
2024-03-20,2024-03-21,300496,BUY,False,False,0,,True,False,E1
2024-03-27,2024-03-28,300757,SELL,False,False,0,,,,E1
2024-03-27,2024-03-28,601138,SELL,False,False,0,,,,E1
2024-03-27,2024-03-28,300975,BUY,False,False,0,,True,False,E1
2024-03-27,2024-03-28,002929,BUY,False,False,0,,True,False,E1
2024-04-03,2024-04-08,300548,SELL,False,False,1,,,,E1
2024-04-03,2024-04-08,688008,SELL,False,False,1,,,,E1
2024-04-03,2024-04-08,300496,SELL,False,False,1,,,,E1
2024-04-03,2024-04-08,601166,BUY,False,False,1,acct_dd=-0.0822≤-0.08,True,False,E1
2024-04-03,2024-04-08,600988,BUY,False,False,1,acct_dd=-0.0822≤-0.08,True,False,E1
2024-04-03,2024-04-08,601857,BUY,False,False,1,acct_dd=-0.0822≤-0.08,True,False,E1
2024-04-12,2024-04-15,300975,NATURAL_SELL,True,True,1,,,,E1
2024-04-12,2024-04-15,002929,NATURAL_SELL,True,True,1,,,,E1
2024-04-12,2024-04-15,601899,BUY,True,True,1,acct_dd=-0.1214≤-0.08,True,False,E1
2024-04-12,2024-04-15,300073,BUY,True,True,1,acct_dd=-0.1214≤-0.08,True,False,E1
2024-04-19,2024-04-22,601166,NATURAL_SELL,True,True,1,,,,E1
2024-04-19,2024-04-22,600988,NATURAL_SELL,True,True,1,,,,E1
2024-04-22,2024-04-23,601857,NATURAL_SELL,True,True,1,,,,E1
2024-04-22,2024-04-23,002415,BUY,True,True,1,acct_dd=-0.1231≤-0.08,True,False,E1
2024-04-22,2024-04-23,000001,BUY,True,True,1,acct_dd=-0.1231≤-0.08,True,False,E1
2024-04-22,2024-04-23,601919,BUY,True,True,1,acct_dd=-0.1231≤-0.08,True,False,E1
2024-04-26,2024-04-29,601899,NATURAL_SELL,True,True,1,,,,E1
2024-04-26,2024-04-29,300073,NATURAL_SELL,True,True,1,,,,E1
2024-04-26,2024-04-29,002129,BUY,True,True,1,acct_dd=-0.1289≤-0.08,True,False,E1
2024-04-26,2024-04-29,300015,BUY,True,True,1,acct_dd=-0.1289≤-0.08,True,False,E1
2024-05-09,2024-05-10,002415,NATURAL_SELL,True,True,1,,,,E1
2024-05-09,2024-05-10,000001,NATURAL_SELL,True,True,1,,,,E1
2024-05-10,2024-05-13,601919,NATURAL_SELL,True,True,1,,,,E1
2024-05-10,2024-05-13,000002,BUY,True,True,1,acct_dd=-0.1121≤-0.08,True,False,E1
2024-05-10,2024-05-13,601020,BUY,True,True,1,acct_dd=-0.1121≤-0.08,True,False,E1
2024-05-10,2024-05-13,300107,BUY,True,True,1,acct_dd=-0.1121≤-0.08,True,False,E1
2024-05-15,2024-05-16,002129,NATURAL_SELL,True,True,2,,,,E1
2024-05-15,2024-05-16,300015,NATURAL_SELL,True,True,2,,,,E1
2024-05-24,2024-05-27,000002,NATURAL_SELL,True,True,1,,,,E1
2024-05-24,2024-05-27,300107,NATURAL_SELL,True,True,1,,,,E1
2024-05-30,2024-05-31,601020,NATURAL_SELL,True,True,1,,,,E1
2024-05-30,2024-05-31,300782,BUY,True,True,1,turnover=0.841≤0.85,True,False,E1
2024-05-30,2024-05-31,601288,BUY,True,True,1,turnover=0.841≤0.85,True,False,E1
2024-05-30,2024-05-31,002155,BUY,True,True,1,turnover=0.841≤0.85,True,False,E1
2024-05-30,2024-05-31,300641,BUY,True,True,1,turnover=0.841≤0.85,True,False,E1
2024-05-30,2024-05-31,600733,BUY,True,True,1,turnover=0.841≤0.85,True,False,E1
2024-06-14,2024-06-17,300782,SELL,False,False,0,,,,E1
2024-06-14,2024-06-17,601288,SELL,False,False,0,,,,E1
2024-06-14,2024-06-17,002155,SELL,False,False,0,,,,E1
2024-06-14,2024-06-17,300641,SELL,False,False,0,,,,E1
2024-06-14,2024-06-17,600733,SELL,False,False,0,,,,E1
2024-06-14,2024-06-17,600809,BUY,False,False,0,,True,False,E1
2024-06-14,2024-06-17,000858,BUY,False,False,0,,True,False,E1
2024-06-14,2024-06-17,300017,BUY,False,False,0,,True,False,E1
2024-06-14,2024-06-17,600028,BUY,False,False,0,,True,False,E1
2024-06-17,2024-06-18,000021,BUY,False,False,0,,True,False,E1
2024-06-28,2024-07-01,600809,NATURAL_SELL,True,True,1,,,,E1
2024-06-28,2024-07-01,000858,NATURAL_SELL,True,True,1,,,,E1
2024-06-28,2024-07-01,300017,NATURAL_SELL,True,True,1,,,,E1
2024-06-28,2024-07-01,600028,NATURAL_SELL,True,True,1,,,,E1
2024-06-28,2024-07-01,300458,BUY,True,True,1,acct_dd=-0.0891≤-0.08,True,False,E1
2024-06-28,2024-07-01,600050,BUY,True,True,1,acct_dd=-0.0891≤-0.08,True,False,E1
2024-06-28,2024-07-01,000725,BUY,True,True,1,acct_dd=-0.0891≤-0.08,True,False,E1
2024-06-28,2024-07-01,600733,BUY,True,True,1,acct_dd=-0.0891≤-0.08,True,False,E1
2024-07-01,2024-07-02,000021,NATURAL_SELL,True,True,0,,,,E1
2024-07-12,2024-07-15,300458,NATURAL_SELL,True,True,0,,,,E1
2024-07-12,2024-07-15,600050,NATURAL_SELL,True,True,0,,,,E1
2024-07-12,2024-07-15,000725,NATURAL_SELL,True,True,0,,,,E1
2024-07-17,2024-07-18,600733,NATURAL_SELL,True,True,0,,,,E1
2024-07-17,2024-07-18,601600,BUY,True,True,0,,True,False,E1
2024-07-17,2024-07-18,600418,BUY,True,True,0,,True,False,E1
2024-07-17,2024-07-18,300274,BUY,True,True,0,,True,False,E1
2024-07-17,2024-07-18,601899,BUY,True,True,0,,True,False,E1
2024-07-17,2024-07-18,002463,BUY,True,True,0,,True,False,E1
2024-07-31,2024-08-01,601600,NATURAL_SELL,True,True,0,,,,E1
2024-07-31,2024-08-01,600418,NATURAL_SELL,True,True,0,,,,E1
2024-07-31,2024-08-01,300274,NATURAL_SELL,True,True,0,,,,E1
2024-07-31,2024-08-01,601899,NATURAL_SELL,True,True,0,,,,E1
2024-07-31,2024-08-01,002463,NATURAL_SELL,True,True,0,,,,E1
2024-07-31,2024-08-01,601985,BUY,True,True,0,,True,False,E1
2024-07-31,2024-08-01,600171,BUY,True,True,0,,True,False,E1
2024-07-31,2024-08-01,002415,BUY,True,True,0,,True,False,E1
2024-07-31,2024-08-01,300762,BUY,True,True,0,,True,False,E1
2024-07-31,2024-08-01,300760,BUY,True,True,0,,True,False,E1
