first_date,last_date,trading_days,initial_cash,final_equity,total_return,annualized_return,max_drawdown,daily_win_rate,best_day,worst_day,avg_gross_exposure,avg_position_count,trade_count,buy_count,sell_count,stop_loss_sell_count,turnover,total_cost,strategy,sort_col,pool,top_n,hold_days,trade_cost_rate,slippage_rate,lot_size,min_trade_value,max_total_positions,position_ratio,hard_stop_loss_pct
2026-01-06,2026-05-29,94,500000.0,1054298.5688925001,1.1085971377850004,6.549499770786046,-0.20397252911108033,0.648936170212766,0.09865043544049668,-0.0593404353270921,0.9603938890161507,5.0,95,50,45,0,18.094646923631768,10529.8011075,baseline_full_dynamic_factor_industry_cap2_market_gate,dynamic_factor_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,1054298.5688925001,1.1085971377850004,6.549499770786046,-0.20397252911108033,0.648936170212766,0.09865043544049668,-0.0593404353270921,0.9603938890161507,5.0,95,50,45,0,18.094646923631768,10529.8011075,baseline_full_dynamic_factor_industry_cap2,dynamic_factor_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,1013617.8319100002,1.0272356638200004,5.785962935733753,-0.18812321185408898,0.574468085106383,0.10251333566527498,-0.06752229948784783,0.9796719645138056,4.98936170212766,99,50,49,0,18.433197745568396,9582.04809,baseline_full_liquidity_detail_hist_mdd_position,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,987787.4537275,0.9755749074550002,5.327526952563955,-0.20397252911108033,0.6276595744680851,0.09865043544049668,-0.0593404353270921,0.9722372068970232,5.0,97,50,47,0,18.675892904598218,10765.136272500002,baseline_full_dynamic_factor,dynamic_factor_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,941200.4462275002,0.8824008924550004,4.551127833849347,-0.1490319578434367,0.5957446808510638,0.09865043544049668,-0.06209306779958368,0.9640181299368035,5.0,97,50,47,0,18.44987857884921,10168.1437725,liq_top_30_then_dynamic_factor,dynamic_factor_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926722.5073125003,0.8534450146250006,4.322780529928676,-0.21210658667457016,0.5957446808510638,0.25074537332060864,-0.17946177906177763,0.9706583779367068,5.0,95,50,45,0,18.68043221640997,9961.5826875,tiered_liquidity_then_bs_v2,bs_score_v2,liquidity_tiered,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926722.5073125003,0.8534450146250006,4.322780529928676,-0.21210658667457016,0.5957446808510638,0.25074537332060864,-0.17946177906177763,0.9706583779367068,5.0,95,50,45,0,18.68043221640997,9961.5826875,tiered_liquidity_then_bs_v2_market_gate,bs_score_v2,liquidity_tiered,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926214.6164375,0.852429232875,4.314879688143551,-0.1638232143002989,0.574468085106383,0.10251333566527498,-0.06752229948784783,0.9673880125776807,5.0,99,49,50,0,17.95628067040763,9133.1135625,baseline_full_liquidity_detail,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926214.6164375,0.852429232875,4.314879688143551,-0.1638232143002989,0.574468085106383,0.10251333566527498,-0.06752229948784783,0.9673880125776807,5.0,99,49,50,0,17.95628067040763,9133.1135625,baseline_full_liquidity_detail_market_gate,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926214.6164375,0.852429232875,4.314879688143551,-0.1638232143002989,0.574468085106383,0.10251333566527498,-0.06752229948784783,0.9673880125776807,5.0,99,49,50,0,17.95628067040763,9133.1135625,tiered_liquidity_then_liquidity_detail,liquidity_detail_score,liquidity_tiered,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926214.6164375,0.852429232875,4.314879688143551,-0.1638232143002989,0.574468085106383,0.10251333566527498,-0.06752229948784783,0.9673880125776807,5.0,99,49,50,0,17.95628067040763,9133.1135625,liq_top_10_then_liquidity_detail,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
2026-01-06,2026-05-29,94,500000.0,926214.6164375,0.852429232875,4.314879688143551,-0.1638232143002989,0.574468085106383,0.10251333566527498,-0.06752229948784783,0.9673880125776807,5.0,99,49,50,0,17.95628067040763,9133.1135625,liq_top_20_then_liquidity_detail,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0
