signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2023-11-29,2023-12-13,attack,tiered_liquidity_then_bs_v2,-0.05784780122696973,5
2023-11-29,2023-12-13,balanced,baseline_full_dynamic_factor_industry_cap2,-0.11552142002523691,5
2023-11-29,2023-12-13,defensive,baseline_full_liquidity_detail,-0.036596185677096355,5
2023-11-29,2023-12-13,fallback,baseline_full_score,-0.07086573243579852,5
2023-12-01,2023-12-15,attack,tiered_liquidity_then_bs_v2,-0.032403414203708666,5
2023-12-01,2023-12-15,balanced,baseline_full_dynamic_factor_industry_cap2,-0.002265613426319032,5
2023-12-01,2023-12-15,defensive,baseline_full_liquidity_detail,-0.05671060628771232,5
2023-12-01,2023-12-15,fallback,baseline_full_score,0.025718704414039804,5
2023-12-05,2023-12-19,attack,tiered_liquidity_then_bs_v2,-0.004648555091699568,5
2023-12-05,2023-12-19,balanced,baseline_full_dynamic_factor_industry_cap2,-0.13470872265184414,5
2023-12-05,2023-12-19,defensive,baseline_full_liquidity_detail,-0.01808821985651328,5
2023-12-05,2023-12-19,fallback,baseline_full_score,0.0022748614439661156,5
2023-12-06,2023-12-20,attack,tiered_liquidity_then_bs_v2,-0.10426890080001613,5
2023-12-06,2023-12-20,balanced,baseline_full_dynamic_factor_industry_cap2,-0.09669200257689202,5
2023-12-06,2023-12-20,defensive,baseline_full_liquidity_detail,-0.027674993369977387,5
2023-12-06,2023-12-20,fallback,baseline_full_score,-0.06881911977758133,5
2023-12-07,2023-12-21,attack,tiered_liquidity_then_bs_v2,-0.037707452818126465,5
2023-12-07,2023-12-21,balanced,baseline_full_dynamic_factor_industry_cap2,-0.0816108839269787,5
2023-12-07,2023-12-21,defensive,baseline_full_liquidity_detail,-0.01343201956030857,5
2023-12-07,2023-12-21,fallback,baseline_full_score,-0.045249136090070335,5
2023-12-08,2023-12-22,attack,tiered_liquidity_then_bs_v2,-0.055989095645449245,5
2023-12-08,2023-12-22,balanced,baseline_full_dynamic_factor_industry_cap2,-0.05598909564544925,5
2023-12-08,2023-12-22,defensive,baseline_full_liquidity_detail,-0.03279078297045059,5
2023-12-08,2023-12-22,fallback,baseline_full_score,-0.051607719580382974,5
2023-12-11,2023-12-25,attack,tiered_liquidity_then_bs_v2,-0.19969148638758202,5
