rank,signal_date,strategy,symbol,name,industry,industry_key,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,latest_close,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20,chenyiyun_rank,chenyiyun_score,ashare_hit,ashare_source_score,dual_route_score,strategy_source,market_style_state,selected_strategy,target_position_ratio,route_reason,risk_veto_reason
1,2026-06-03,dual_system_adaptive_route,300308,中际旭创,通信设备,通信设备,dual_system_route_score,30.0,0.2,0.7,0.13999999999999999,1275.0,74.19,,,95.91287512100676,30.0,99.54,98.3,92.39109390125847,86.98935140367861,99.80638915779284,94.15295256534367,69.76,0,,可买,0.9971677890869077,normal_liquidity,index_neutral,0.038153841176763126,0.0,1,30.0,0,0.0,30.0,Chenyiyun2087,dual_neutral,dual_system_adaptive_route,0.7,dual_neutral_intersection_union,
2,2026-06-03,dual_system_adaptive_route,300502,新易盛,通信设备,通信设备,dual_system_route_score,29.99,0.2,0.7,0.13999999999999999,782.25,76.55,,,91.8501710229106,29.99,99.3,98.35,89.33204259438529,75.08228460793805,99.7676669893514,77.69603097773475,71.17,0,,可买,0.9971677890869077,normal_liquidity,index_neutral,0.04625004271172465,0.0,2,29.99,0,0.0,29.99,Chenyiyun2087,dual_neutral,dual_system_adaptive_route,0.7,dual_neutral_intersection_union,
3,2026-06-03,dual_system_adaptive_route,603986,兆易创新,半导体,半导体,dual_system_route_score,29.99,0.2,0.7,0.13999999999999999,492.23,58.83,,,92.95665698612456,29.99,49.04,97.73,83.77541142303969,78.95450145208132,99.74830590513068,94.09486931268151,65.03,0,,可买,0.9971677890869077,normal_liquidity,index_neutral,0.049694177282416034,-0.0632346579768357,3,29.99,0,0.0,29.99,Chenyiyun2087,dual_neutral,dual_system_adaptive_route,0.7,dual_neutral_intersection_union,
4,2026-06-03,dual_system_adaptive_route,688008,澜起科技,半导体,半导体,dual_system_route_score,29.98,0.2,0.7,0.13999999999999999,253.9,65.27,,,84.11466924814457,29.98,49.04,95.28,80.29041626331075,49.52565343659245,99.59341723136495,57.1539206195547,65.56,0,,可买,0.9971677890869077,normal_liquidity,index_neutral,0.059067571510080505,-0.10623767952689378,4,29.98,0,0.0,29.98,Chenyiyun2087,dual_neutral,dual_system_adaptive_route,0.7,dual_neutral_intersection_union,
5,2026-06-03,dual_system_adaptive_route,688256,寒武纪-U,半导体,半导体,dual_system_route_score,29.98,0.2,0.7,0.13999999999999999,1378.1,39.92,,,87.18243304291707,29.98,49.04,4.72,79.92255566311714,55.35333978702808,99.3998063891578,80.11616650532429,46.38,0,,可买,0.9971677890869077,normal_liquidity,index_neutral,0.183438535975052,-0.2622591006423983,5,29.98,0,0.0,29.98,Chenyiyun2087,dual_neutral,dual_system_adaptive_route,0.7,dual_neutral_intersection_union,
