strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-03,002897,意华股份,BUY,91.2,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-03,300620,光库科技,BUY,337.06,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-03,600183,生益科技,BUY,141.09,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-03,600584,长电科技,BUY,80.13,0,600,600,600,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-03,603986,兆易创新,BUY,492.23,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-03,688008,澜起科技,BUY,253.9,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-03,300620,光库科技,BUY,337.06,0,100,100,100,0.0,0.19059383917499145,0.19059383917499145,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-03,600183,生益科技,BUY,141.09,0,600,600,600,0.0,0.2479147678871221,0.2479147678871221,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-03,600584,长电科技,BUY,80.13,0,800,800,800,0.0,0.20446782267809993,0.20446782267809993,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-03,300620,光库科技,BUY,337.06,0,300,300,300,0.0,0.2935747425344056,0.2935747425344056,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-03,600183,生益科技,BUY,141.09,0,700,700,700,0.0,0.2935747425344056,0.2935747425344056,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-03,600584,长电科技,BUY,80.13,0,300,300,300,0.0,0.08030507612937106,0.08030507612937106,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-03,300433,蓝思科技,BUY,44.39,0,2200,2200,2200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-03,600162,香江控股,BUY,3.35,0,29800,29800,29800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-03,603011,合锻智能,BUY,30.91,0,3200,3200,3200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-03,603319,美湖股份,BUY,42.6,0,2300,2300,2300,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-03,603678,火炬电子,BUY,63.93,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,300502,新易盛,BUY,782.25,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,603986,兆易创新,BUY,492.23,0,200,200,200,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,688008,澜起科技,BUY,253.9,0,300,300,300,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-03,300502,新易盛,BUY,782.25,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-03,603986,兆易创新,BUY,492.23,0,200,200,200,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-03,688008,澜起科技,BUY,253.9,0,300,300,300,0.0,0.2,0.2,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-03,300502,新易盛,BUY,782.25,0,100,100,100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-03,603986,兆易创新,BUY,492.23,0,200,200,200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-03,688008,澜起科技,BUY,253.9,0,300,300,300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
