signal_date,trade_date,risk_state,opp_structure,total_position,budgets,health_scores
2025-11-20,2025-11-21,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.1, ""attack"": 51.1, ""balanced"": 51.1, ""defensive"": 51.1}"
2025-11-21,2025-11-24,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11473340650850541, ""attack"": 0.0, ""balanced"": 0.08174755213731008, ""defensive"": 0.35351904135418455}","{""core"": 52.13461538461539, ""attack"": 52.13461538461539, ""balanced"": 52.13461538461539, ""defensive"": 51.926923076923075}"
2025-11-24,2025-11-25,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-11-25,2025-11-26,NEUTRAL,NARROW_MOMENTUM,0.55,"{""core"": 0.3061722174925242, ""attack"": 0.08333136625401567, ""balanced"": 0.05349880541782005, ""defensive"": 0.1069976108356401}","{""core"": 51.926923076923075, ""attack"": 51.71923076923077, ""balanced"": 51.926923076923075, ""defensive"": 51.926923076923075}"
2025-11-26,2025-11-27,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-11-27,2025-11-28,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-11-28,2025-12-01,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-12-01,2025-12-02,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-12-02,2025-12-03,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
2025-12-03,2025-12-04,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 51.5, ""attack"": 51.5, ""balanced"": 51.5, ""defensive"": 51.5}"
