signal_date,execution_date,market_risk_regime,opportunity_structure,target_total_exposure,core_budget,attack_budget,balanced_budget,defensive_budget,health_scores
2025-09-02,2025-09-03,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-03,2025-09-04,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-04,2025-09-05,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-05,2025-09-08,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-08,2025-09-09,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-09,2025-09-10,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-10,2025-09-11,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-11,2025-09-12,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-12,2025-09-15,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-15,2025-09-16,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-16,2025-09-17,NEUTRAL,NARROW_MOMENTUM,0.55,0.3025,0.0825,0.055,0.11,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-17,2025-09-18,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-18,2025-09-19,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-19,2025-09-22,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-22,2025-09-23,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-23,2025-09-24,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-24,2025-09-25,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-25,2025-09-26,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-26,2025-09-29,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-29,2025-09-30,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-09-30,2025-10-09,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-10-09,2025-10-10,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 49.9}"
2025-10-10,2025-10-13,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 50.7, ""attack"": 50.7, ""balanced"": 50.7, ""defensive"": 50.7}"
2025-10-13,2025-10-14,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 50.7, ""attack"": 50.7, ""balanced"": 50.7, ""defensive"": 50.7}"
2025-10-14,2025-10-15,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 50.7, ""attack"": 50.7, ""balanced"": 50.7, ""defensive"": 50.7}"
2025-10-15,2025-10-16,NEUTRAL,NO_EDGE,0.55,0.11,0.0,0.0825,0.3575,"{""core"": 50.7, ""attack"": 50.7, ""balanced"": 50.7, ""defensive"": 50.7}"
