signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2025-06-11,2025-06-12,adaptive_style_switch,4,300494,盛天网络,互联网,79.95,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-11,2025-06-12,adaptive_style_switch,5,300067,安诺其,染料涂料,78.99,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-12,2025-06-13,adaptive_style_switch,1,002826,易明医药,化学制药,80.88,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-12,2025-06-13,adaptive_style_switch,2,002940,昂利康,化学制药,80.73,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-12,2025-06-13,adaptive_style_switch,3,300901,中胤时尚,服饰,78.26,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-12,2025-06-13,adaptive_style_switch,4,300533,冰川网络,互联网,78.11,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-12,2025-06-13,adaptive_style_switch,5,600141,兴发集团,农药化肥,78.03,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-13,2025-06-16,adaptive_style_switch,1,600281,华阳新材,小金属,79.77,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-13,2025-06-16,adaptive_style_switch,2,603091,众鑫股份,家居用品,79.44,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-13,2025-06-16,adaptive_style_switch,3,601857,中国石油,石油开采,79.18,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-13,2025-06-16,adaptive_style_switch,4,002878,元隆雅图,广告包装,79.13,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-13,2025-06-16,adaptive_style_switch,5,600489,中金黄金,黄金,78.9,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-16,2025-06-17,adaptive_style_switch,1,603091,众鑫股份,家居用品,81.6,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-16,2025-06-17,adaptive_style_switch,2,002785,万里石,其他建材,81.57,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-16,2025-06-17,adaptive_style_switch,3,600281,华阳新材,小金属,80.11,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-16,2025-06-17,adaptive_style_switch,4,600980,北矿科技,专用机械,79.62,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-16,2025-06-17,adaptive_style_switch,5,300180,华峰超纤,化纤,79.01,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-17,2025-06-18,adaptive_style_switch,1,002785,万里石,其他建材,81.05,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-17,2025-06-18,adaptive_style_switch,2,000617,中油资本,多元金融,80.96,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-17,2025-06-18,adaptive_style_switch,3,300130,新国都,IT设备,80.9,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-17,2025-06-18,adaptive_style_switch,4,300101,振芯科技,通信设备,80.68,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-17,2025-06-18,adaptive_style_switch,5,300698,万马科技,通信设备,80.01,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-18,2025-06-19,adaptive_style_switch,1,002015,协鑫能科,新型电力,80.45,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-18,2025-06-19,adaptive_style_switch,2,002952,亚世光电,元器件,79.94,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-18,2025-06-19,adaptive_style_switch,3,300875,捷强装备,专用机械,79.04,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-18,2025-06-19,adaptive_style_switch,4,300578,会畅科技,通信设备,78.91,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-18,2025-06-19,adaptive_style_switch,5,002104,恒宝股份,通信设备,78.85,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-19,2025-06-20,adaptive_style_switch,1,002207,准油股份,石油开采,82.95,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-19,2025-06-20,adaptive_style_switch,2,300537,广信材料,染料涂料,81.63,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-19,2025-06-20,adaptive_style_switch,3,603236,移远通信,通信设备,81.39,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-19,2025-06-20,adaptive_style_switch,4,002141,贤丰控股,农业综合,80.08,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-19,2025-06-20,adaptive_style_switch,5,600722,金牛化工,化工原料,80.02,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-20,2025-06-23,adaptive_style_switch,1,002490,山东墨龙,化工机械,84.38,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-20,2025-06-23,adaptive_style_switch,2,688347,华虹公司,半导体,80.82,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-20,2025-06-23,adaptive_style_switch,3,002141,贤丰控股,农业综合,80.2,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-20,2025-06-23,adaptive_style_switch,4,002807,江阴银行,银行,79.92,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-20,2025-06-23,adaptive_style_switch,5,002741,光华科技,化工原料,79.39,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-23,2025-06-24,adaptive_style_switch,1,002839,张家港行,银行,80.1,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-23,2025-06-24,adaptive_style_switch,2,003040,楚天龙,通信设备,79.74,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-23,2025-06-24,adaptive_style_switch,3,301487,盟固利,化工原料,79.66,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-23,2025-06-24,adaptive_style_switch,4,688361,中科飞测,半导体,79.38,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-23,2025-06-24,adaptive_style_switch,5,002490,山东墨龙,化工机械,79.37,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-24,2025-06-25,adaptive_style_switch,1,002866,传艺科技,IT设备,81.86,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-24,2025-06-25,adaptive_style_switch,2,301487,盟固利,化工原料,81.63,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-24,2025-06-25,adaptive_style_switch,3,300130,新国都,IT设备,80.9,0.2,0.0,1,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-24,2025-06-25,adaptive_style_switch,4,603722,阿科力,化工原料,80.11,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-24,2025-06-25,adaptive_style_switch,5,002882,金龙羽,电气设备,79.92,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-25,2025-06-26,adaptive_style_switch,1,603928,兴业股份,化工原料,82.9,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-25,2025-06-26,adaptive_style_switch,2,600110,诺德股份,电气设备,82.17,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-25,2025-06-26,adaptive_style_switch,3,300130,新国都,IT设备,80.56,0.2,0.0,1,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-25,2025-06-26,adaptive_style_switch,4,002436,兴森科技,元器件,78.87,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-25,2025-06-26,adaptive_style_switch,5,603226,菲林格尔,家居用品,78.62,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-26,2025-06-27,adaptive_style_switch,1,600110,诺德股份,电气设备,82.06,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-26,2025-06-27,adaptive_style_switch,2,002846,英联股份,广告包装,80.2,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-26,2025-06-27,adaptive_style_switch,3,688484,南芯科技,半导体,79.91,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-26,2025-06-27,adaptive_style_switch,4,002163,海南发展,装修装饰,79.37,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-26,2025-06-27,adaptive_style_switch,5,300386,飞天诚信,IT设备,79.18,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-27,2025-06-30,adaptive_style_switch,1,301308,江波龙,半导体,80.55,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-27,2025-06-30,adaptive_style_switch,2,002987,京北方,软件服务,80.18,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-27,2025-06-30,adaptive_style_switch,3,601606,长城军工,专用机械,79.29,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-27,2025-06-30,adaptive_style_switch,4,300101,振芯科技,通信设备,79.24,0.2,0.0,1,0,fallback,baseline_full_score,fallback_insufficient_completed_history
