strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,max_per_industry,industry_penalty_step,pit_status,risk_note,market_gate,position_mode,symbol,name,industry,industry_key,is_bs_candidate,sort_col,rank_score,score,dynamic_factor_score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,vol_20,hist_mdd_20,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,market_amount_ratio_20,market_exposure_scale,position_weight,effective_weight,entry_open,exit_close,gross_ret
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002347,泰尔股份,机械基件,机械基件,1,score,83.02,83.02,97.46019467543348,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,0.05185835175101003,0.0,62.6,41.79,34.0891,0.307319,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,12.41,10.72,-0.1361804995970991
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002969,嘉美包装,广告包装,广告包装,0,score,81.86,81.86,94.9767936569329,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,0.04663454196698833,0.0,74.7,64.4,54.1941,0.341985,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,13.7,17.2,0.25547445255474455
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002931,锋龙股份,机械基件,机械基件,0,score,78.98,78.98,81.96673757493716,78.98,40.01831270382939,99.27,18.01,0.07747433662599264,0.01936858415649816,99.835621736608,10.112359550561797,0.06152751409757579,0.0,61.96,29.24,34.1405,0.310841,0.001011,,过滤,1.3137043587215775,1.0,0.2,0.2,38.36,67.97,0.7718978102189782
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300487,蓝晓科技,化工原料,化工原料,0,score,78.82,78.82,86.82878875781603,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,0.03118158539167936,0.0,71.61,58.53,50.89,0.299791,0.00534,,可买,1.3137043587215775,1.0,0.2,0.2,64.67,73.5,0.1365393536415649
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,score,78.51,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,bs_score_v2,71.9,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,600682,南京新百,生物制药,生物制药,1,bs_score_v2,68.21,68.16,89.7618126732418,68.16,73.64003583919465,90.39,23.36,80.22467557621538,76.11853573503777,75.3819377296461,37.233630375823324,0.03308253033019183,0.0,68.21,55.07,44.7164,0.294398,0.069576,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,8.95,8.64,-0.034636871508379796
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,688548,广钢气体,化工原料,化工原料,1,bs_score_v2,67.35,74.03,87.49919422419906,74.03,64.3953068706221,95.61,18.15,89.92833623862096,73.34882820065853,61.36143879327016,20.030995738086013,0.027668306097087682,0.0,67.35,47.81,43.6031,0.279427,0.03423,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,15.28,21.5,0.4070680628272252
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,600862,中航高科,航空,航空,1,bs_score_v2,66.44,69.28,94.36118094501386,69.28,87.22284846909479,94.93,26.59,95.58396281231842,97.38524113887274,86.69502997485979,50.40681906237893,0.022369430826385126,0.0,66.44,58.92,46.8955,0.292183,-0.044909,WATCH,可买,1.3137043587215775,1.0,0.2,0.2,24.7,26.24,0.06234817813765181
baseline_b_consensus,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,model_risk,consensus_uses_latest_model_backfilled_to_history,0,equal,600862,中航高科,航空,航空,1,bs_consensus_score,58.92,69.28,94.36118094501386,69.28,87.22284846909479,94.93,26.59,95.58396281231842,97.38524113887274,86.69502997485979,50.40681906237893,0.022369430826385126,0.0,66.44,58.92,46.8955,0.292183,-0.044909,WATCH,可买,1.3137043587215775,1.0,0.2,0.2,24.7,26.24,0.06234817813765181
baseline_b_consensus,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,model_risk,consensus_uses_latest_model_backfilled_to_history,0,equal,300118,东方日升,电气设备,电气设备,1,bs_consensus_score,58.41,55.98,81.32372848578612,55.97999999999999,73.23760905417284,45.1,28.85,31.91942668990897,87.93337207050165,87.27518855153743,21.057729562185198,0.065400162395408,-0.08481012658227849,61.1,58.41,53.7536,0.391309,0.086338,WATCH,可买,1.3137043587215775,1.0,0.2,0.2,14.46,17.98,0.2434301521438451
baseline_b_consensus,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,model_risk,consensus_uses_latest_model_backfilled_to_history,0,equal,601179,中国西电,电气设备,电气设备,1,bs_consensus_score,56.45,55.96,77.14497518210533,55.959999999999994,61.72855577168685,45.1,29.03,24.28820453224869,13.15126864226225,95.68748791336299,18.384347152266564,0.03589230690083428,-0.02577319587628868,61.72,56.45,47.2241,0.339167,-0.071119,WATCH,可买,1.3137043587215775,1.0,0.2,0.2,9.46,14.36,0.5179704016913318
baseline_b_consensus,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,model_risk,consensus_uses_latest_model_backfilled_to_history,0,equal,603063,禾望电气,电气设备,电气设备,1,bs_consensus_score,56.1,60.62,76.71791400760652,60.61999999999999,59.364686180695486,45.1,27.19,28.62676738330428,16.521402285492933,93.32817636820732,9.085625726462611,0.03183040414179941,-0.06225014277555685,62.52,56.1,51.093,0.34105,0.018813,WATCH,可买,1.3137043587215775,1.0,0.2,0.2,33.01,33.92,0.02756740381702527
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,000547,航天发展,通信设备,通信设备,0,s_liquidity,29.99,58.18,85.65880229484948,58.17999999999999,87.74846550247408,45.1,29.99,67.61572729033509,73.755568467945,99.26513246954167,82.85548237117396,0.05507951310113601,0.0,59.37,53.65,42.4967,0.328582,-0.141214,,可买,1.3137043587215775,1.0,0.2,0.2,32.65,28.9,-0.11485451761102605
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300502,新易盛,通信设备,通信设备,0,s_liquidity,29.99,51.93,76.52613936698253,51.92999999999999,71.42969950114994,45.1,29.99,25.857059848925047,11.001355800890956,99.43918004254496,97.05540488182875,0.038621432945434186,-0.0785330136720016,61.77,49.72,37.9154,0.374548,-0.442786,,可买,1.3137043587215775,1.0,0.2,0.2,410.0,403.18,-0.01663414634146343
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,601138,工业富联,通信设备,通信设备,0,s_liquidity,29.98,56.44,75.55759685425127,56.44,72.91605709893348,45.1,29.98,23.45535541351927,36.60662405578152,99.61322761554825,78.18674932196824,0.036950197069102145,-0.06353857045896061,52.01,37.81,37.3575,0.28372,-0.153364,,可买,1.3137043587215775,1.0,0.2,0.2,64.0195,60.9,-0.04872734088832298
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002347,泰尔股份,机械基件,机械基件,1,score_liq_breakout_adj,83.02,83.02,97.46019467543348,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,0.05185835175101003,0.0,62.6,41.79,34.0891,0.307319,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,12.41,10.72,-0.1361804995970991
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002969,嘉美包装,广告包装,广告包装,0,score_liq_breakout_adj,81.86,81.86,94.9767936569329,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,0.04663454196698833,0.0,74.7,64.4,54.1941,0.341985,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,13.7,17.2,0.25547445255474455
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002931,锋龙股份,机械基件,机械基件,0,score_liq_breakout_adj,78.98,78.98,81.96673757493716,78.98,40.01831270382939,99.27,18.01,0.07747433662599264,0.01936858415649816,99.835621736608,10.112359550561797,0.06152751409757579,0.0,61.96,29.24,34.1405,0.310841,0.001011,,过滤,1.3137043587215775,1.0,0.2,0.2,38.36,67.97,0.7718978102189782
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300487,蓝晓科技,化工原料,化工原料,0,score_liq_breakout_adj,78.82,78.82,86.82878875781603,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,0.03118158539167936,0.0,71.61,58.53,50.89,0.299791,0.00534,,可买,1.3137043587215775,1.0,0.2,0.2,64.67,73.5,0.1365393536415649
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,1,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,score_liq_breakout_adj,78.51,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
