ts,symbol,side,qty,price
2020-03-06,600315.SH,BUY,3600,27.42474
2020-04-03,000848.SZ,BUY,13000,6.9138
2020-04-03,000877.SZ,BUY,6900,11.63322
2020-04-03,002572.SZ,BUY,4100,17.64522
2020-04-03,002818.SZ,BUY,5600,11.583120000000001
2020-04-03,002925.SZ,BUY,1200,46.7433
2020-04-03,600125.SH,BUY,11300,4.74948
2020-04-03,600315.SH,SELL,3600,24.57076
2020-04-03,600717.SH,BUY,10600,5.38074
2020-04-03,601811.SH,BUY,4700,10.94184
2020-04-03,603025.SH,BUY,5900,7.79556
2020-04-03,603225.SH,BUY,4000,10.31058
2020-05-07,000543.SZ,BUY,9500,3.9178200000000003
2020-05-07,000877.SZ,SELL,6900,12.275400000000001
2020-05-07,002358.SZ,BUY,7500,5.611199999999999
2020-05-07,002572.SZ,SELL,4100,19.411099999999998
2020-05-07,002925.SZ,SELL,1200,51.7962
2020-05-07,600717.SH,SELL,10600,5.39918
2020-05-07,601326.SH,BUY,21200,2.7254400000000003
2020-05-07,601678.SH,BUY,11300,4.59918
2020-05-07,601811.SH,SELL,4700,10.778400000000001
2020-05-07,603025.SH,SELL,5900,7.7844
2020-05-07,603225.SH,SELL,4000,10.16962
2020-05-07,603486.SH,BUY,3000,19.669259999999998
2020-05-07,603650.SH,BUY,3500,15.56106
2020-05-07,603877.SH,BUY,3400,14.168280000000001
2020-06-04,000848.SZ,SELL,13000,7.3852
2020-06-04,600757.SH,BUY,10000,5.400779999999999
2020-06-04,601019.SH,BUY,7300,6.573119999999999
2020-06-04,601326.SH,SELL,21200,2.68462
2020-06-04,601678.SH,SELL,11300,4.40118
2020-06-04,601869.SH,BUY,1700,30.2604
2020-06-04,603025.SH,BUY,6600,7.38474
2020-06-04,603877.SH,SELL,3400,15.53886
2020-07-06,000848.SZ,BUY,6500,7.575119999999999
2020-07-06,002358.SZ,SELL,7500,5.41914
2020-07-06,002815.SZ,BUY,2300,20.8917
2020-07-06,600138.SH,BUY,3900,11.04204
2020-07-06,600757.SH,SELL,10000,5.52892
2020-07-06,601019.SH,SELL,7300,6.70656
2020-08-03,000543.SZ,SELL,9500,4.1916
2020-08-03,601678.SH,BUY,10100,5.35068
2020-08-03,603256.SH,BUY,3400,13.9779
2020-08-03,603486.SH,SELL,3000,32.46494
