ts,symbol,side,qty,price
2020-03-02,600315.SH,BUY,3800,26.3025
2020-03-16,002056.SZ,BUY,7300,12.28452
2020-03-16,600315.SH,SELL,3800,25.90808
2020-03-16,600862.SH,BUY,7400,12.29454
2020-03-16,603025.SH,BUY,9300,8.78754
2020-03-23,000877.SZ,BUY,6300,11.553059999999999
2020-03-23,000975.SZ,BUY,5400,12.1743
2020-03-23,000999.SZ,BUY,2100,27.625140000000002
2020-03-23,002056.SZ,SELL,7300,10.64866
2020-03-23,002233.SZ,BUY,4800,12.65526
2020-03-23,002507.SZ,BUY,2000,27.42474
2020-03-23,600062.SH,BUY,4000,12.34464
2020-03-23,600862.SH,SELL,7400,12.7245
2020-03-30,000848.SZ,BUY,7900,6.88374
2020-03-30,000975.SZ,SELL,5400,14.26142
2020-03-30,000999.SZ,SELL,2100,27.7943
2020-03-30,002507.SZ,SELL,2000,29.81026
2020-03-30,002572.SZ,BUY,3800,17.90574
2020-03-30,002925.SZ,BUY,1400,44.06796
2020-03-30,600062.SH,SELL,4000,12.6247
2020-03-30,600125.SH,BUY,12600,4.79958
2020-03-30,600717.SH,BUY,9900,5.4609000000000005
2020-03-30,601326.SH,BUY,18400,2.6653200000000004
2020-03-30,601880.SH,BUY,25600,1.72344
2020-04-13,002233.SZ,SELL,4800,13.343259999999999
2020-04-13,002572.SZ,SELL,3800,18.63266
2020-04-13,002818.SZ,BUY,4400,11.95386
2020-04-13,300296.SZ,BUY,8000,5.9619
2020-04-13,600138.SH,BUY,4300,9.84966
2020-04-13,600563.SH,BUY,800,46.80342
2020-04-13,600717.SH,SELL,9900,5.41914
2020-04-13,601326.SH,SELL,18400,2.67464
2020-04-13,601811.SH,BUY,4200,10.7715
2020-04-13,601880.SH,SELL,25600,1.7165599999999999
2020-04-20,300296.SZ,SELL,8000,6.06784
2020-04-20,600329.SH,BUY,3600,13.65726
2020-04-20,600563.SH,SELL,800,49.5008
2020-04-20,601326.SH,BUY,18000,2.71542
2020-04-27,000543.SZ,BUY,11400,3.87774
2020-04-27,000877.SZ,SELL,6300,11.686580000000001
2020-04-27,601678.SH,BUY,10600,4.41882
2020-04-27,601811.SH,SELL,4200,11.2275
2020-05-11,002358.SZ,BUY,8300,5.65128
2020-05-11,002925.SZ,SELL,1400,51.586619999999996
2020-05-11,600138.SH,SELL,4300,10.03988
2020-05-11,600329.SH,SELL,3600,13.98198
2020-05-11,601678.SH,SELL,10600,4.5908
2020-05-11,603486.SH,BUY,2900,21.31254
2020-05-11,603650.SH,BUY,3600,15.76146
2020-05-11,603877.SH,BUY,3600,14.28852
2020-05-18,000848.SZ,SELL,7900,6.94608
2020-05-18,002818.SZ,SELL,4400,11.39716
2020-05-18,600138.SH,BUY,5800,9.8697
2020-05-18,601678.SH,BUY,11400,4.509
2020-05-25,600125.SH,SELL,12600,5.45906
2020-05-25,601019.SH,BUY,8300,6.39276
2020-05-25,601326.SH,SELL,18000,2.62474
2020-05-25,603556.SH,BUY,3700,13.9779
2020-06-01,002818.SZ,BUY,3900,12.074100000000001
2020-06-01,600138.SH,SELL,5800,10.29936
