ts,symbol,side,qty,price
2020-03-06,600315.SH,BUY,3600,27.42474
2020-03-09,600315.SH,SELL,3600,26.55678
2020-04-03,000848.SZ,BUY,14400,6.9138
2020-04-03,000877.SZ,BUY,7700,11.63322
2020-04-03,002572.SZ,BUY,4500,17.64522
2020-04-03,002818.SZ,BUY,6200,11.583120000000001
2020-04-03,002925.SZ,BUY,1400,46.7433
2020-04-03,600125.SH,BUY,12400,4.74948
2020-04-03,600717.SH,BUY,9800,5.38074
2020-04-03,601811.SH,BUY,4300,10.94184
2020-04-03,603025.SH,BUY,5500,7.79556
2020-04-03,603225.SH,BUY,3700,10.31058
2020-04-13,000848.SZ,SELL,14400,6.8862000000000005
2020-04-13,000877.SZ,SELL,7700,11.686580000000001
2020-04-13,002572.SZ,SELL,4500,18.63266
2020-04-13,002818.SZ,SELL,6200,11.906139999999999
2020-04-13,002925.SZ,SELL,1400,44.94992
2020-04-13,600125.SH,SELL,12400,4.78042
2020-04-13,600717.SH,SELL,9800,5.41914
2020-04-13,601811.SH,SELL,4300,10.7285
2020-04-13,603025.SH,SELL,5500,7.67462
2020-04-13,603225.SH,SELL,3700,10.359240000000002
2020-05-07,000543.SZ,BUY,25400,3.9178200000000003
2020-05-07,000848.SZ,BUY,14200,6.29256
2020-05-07,002358.SZ,BUY,14400,5.611199999999999
2020-05-07,002818.SZ,BUY,6400,11.35266
2020-05-07,600125.SH,BUY,12000,5.450880000000001
2020-05-07,601326.SH,BUY,21600,2.7254400000000003
2020-05-07,601678.SH,BUY,11500,4.59918
2020-05-07,603486.SH,BUY,2400,19.669259999999998
2020-05-07,603650.SH,BUY,2700,15.56106
2020-05-07,603877.SH,BUY,2700,14.168280000000001
2020-05-11,000543.SZ,SELL,25400,3.8922
2020-05-11,000848.SZ,SELL,14200,6.2474799999999995
2020-05-11,002358.SZ,SELL,14400,5.6287199999999995
2020-05-11,002818.SZ,SELL,6400,11.3772
2020-05-11,600125.SH,SELL,12000,5.34928
2020-05-11,601326.SH,SELL,21600,2.72454
2020-05-11,601678.SH,SELL,11500,4.5908
2020-05-11,603486.SH,SELL,2400,21.22746
2020-05-11,603650.SH,SELL,2700,15.698540000000001
2020-05-11,603877.SH,SELL,2700,14.23148
2020-06-04,000543.SZ,BUY,25200,3.94788
2020-06-04,002358.SZ,BUY,16600,5.39076
2020-06-04,002818.SZ,BUY,6600,12.2244
2020-06-04,600125.SH,BUY,13100,5.54106
2020-06-04,600757.SH,BUY,12100,5.400779999999999
2020-06-04,601019.SH,BUY,8900,6.573119999999999
2020-06-04,601869.SH,BUY,1700,30.2604
2020-06-04,603025.SH,BUY,6400,7.38474
2020-06-04,603486.SH,BUY,1400,29.41872
2020-06-04,603650.SH,BUY,1800,20.7915
2020-06-08,000543.SZ,SELL,25200,3.97204
2020-06-08,002358.SZ,SELL,16600,5.36924
2020-06-08,002818.SZ,SELL,6600,12.095759999999999
2020-06-08,600125.SH,SELL,13100,5.469040000000001
2020-06-08,600757.SH,SELL,12100,5.30936
2020-06-08,601019.SH,SELL,8900,6.56684
2020-06-08,601869.SH,SELL,1700,30.439
2020-06-08,603025.SH,SELL,6400,7.335299999999999
2020-06-08,603486.SH,SELL,1400,28.70248
2020-06-08,603650.SH,SELL,1800,19.7105
2020-07-06,000543.SZ,BUY,22100,4.46892
2020-07-06,000848.SZ,BUY,11700,7.575119999999999
2020-07-06,002815.SZ,BUY,3800,20.8917
2020-07-06,002818.SZ,BUY,5400,13.23642
2020-07-06,600125.SH,BUY,10700,6.04206
2020-07-06,600138.SH,BUY,5200,11.04204
2020-07-06,601869.SH,BUY,1600,32.855579999999996
2020-07-06,603025.SH,BUY,5900,7.9158
2020-07-06,603486.SH,BUY,1300,31.7634
2020-07-06,603650.SH,BUY,1400,27.31452
2020-07-13,000543.SZ,SELL,22100,4.40118
2020-07-13,000848.SZ,SELL,11700,8.37322
2020-07-13,002815.SZ,SELL,3800,23.61268
2020-07-13,002818.SZ,SELL,5400,14.55084
2020-07-13,600125.SH,SELL,10700,6.2874
2020-07-13,600138.SH,SELL,5200,11.477
2020-07-13,601869.SH,SELL,1600,34.600660000000005
2020-07-13,603025.SH,SELL,5900,8.483
2020-07-13,603486.SH,SELL,1300,32.943979999999996
2020-07-13,603650.SH,SELL,1400,37.5248
2020-08-03,000848.SZ,BUY,12200,8.49696
2020-08-03,002815.SZ,BUY,4600,20.18028
2020-08-03,002818.SZ,BUY,5400,15.50094
2020-08-03,600125.SH,BUY,12600,5.98194
2020-08-03,600138.SH,BUY,6100,11.00196
2020-08-03,601678.SH,BUY,11400,5.35068
2020-08-03,601869.SH,BUY,1700,32.03394
2020-08-03,603025.SH,BUY,6000,8.2665
2020-08-03,603256.SH,BUY,3200,13.9779
2020-08-03,603650.SH,BUY,1100,35.50086
2020-08-10,000848.SZ,SELL,12200,8.2834
2020-08-10,002815.SZ,SELL,4600,19.5608
2020-08-10,002818.SZ,SELL,5400,15.658619999999999
2020-08-10,600125.SH,SELL,12600,5.8582600000000005
2020-08-10,600138.SH,SELL,6100,11.59676
2020-08-10,601678.SH,SELL,11400,5.64868
2020-08-10,601869.SH,SELL,1700,30.81824
2020-08-10,603025.SH,SELL,6000,8.4331
2020-08-10,603256.SH,SELL,3200,12.88418
2020-08-10,603650.SH,SELL,1100,35.15954
2020-08-31,000543.SZ,BUY,24100,4.26852
2020-08-31,002815.SZ,BUY,4800,19.15824
2020-08-31,002818.SZ,BUY,5100,16.17228
2020-08-31,300459.SZ,BUY,19400,3.87774
2020-08-31,600125.SH,BUY,11800,5.70138
2020-08-31,600138.SH,BUY,4900,12.38472
2020-08-31,600757.SH,BUY,9200,5.94186
2020-08-31,603256.SH,BUY,3900,12.63522
2020-08-31,603486.SH,BUY,1100,38.64714
