strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,turnover_proxy
baseline_full_liquidity,all,0.0,34,2026-02-13,2026-04-22,5.0,0.029411764705882353,1.5453829851145278,1.5453829851145278,0.9986404732015184,-0.26752279482082675,0.5294117647058824,0.030529072720365372,0.00885384571503901,0.20015173492313557,-0.06642728136997396,48.18582352941175,29.988000000000003,1.0
baseline_full_score,all,0.0,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.3003459162709363,0.3003459162709363,0.2148922777131559,-0.5901765976847734,0.4411764705882353,0.011426019568885941,-0.010921997735326905,0.21531793179926986,-0.1322448186483337,80.98435294117647,23.687705882352944,1.0
liq_top_10_then_score,all,0.0,34,2026-02-13,2026-04-22,4.970588235294118,0.7352941176470589,-0.07309051120504129,-0.07309051120504129,-0.05470177338861337,-0.7386308947647341,0.38235294117647056,0.0034671960417241004,-0.014972965950370598,0.25755882965795635,-0.17062041808808684,78.58614705882353,28.623911764705884,1.0
liq_top_30_then_score,all,0.0,34,2026-02-13,2026-04-22,5.0,0.47058823529411764,-0.280136205239931,-0.280136205239931,-0.21621435614985263,-0.6684906433099287,0.4411764705882353,-0.007182252805642417,-0.018391210021854076,0.1191999297616193,-0.15209188180590777,80.60076470588236,26.127235294117646,1.0
liq20_bs_score_v2_b_bonus_3pct,all,0.0,34,2026-02-13,2026-04-22,4.970588235294118,1.3823529411764706,-0.30434965713731976,-0.30434965713731976,-0.2358406695496521,-0.7376195502038797,0.4411764705882353,-0.00683855343682203,-0.005938437794027354,0.24894082864244474,-0.1151371167788349,77.97142647058823,27.167455882352947,1.0
baseline_b_score_v2,all,0.0,34,2026-02-13,2026-04-22,5.0,5.0,-0.4556552179993103,-0.4556552179993103,-0.36285823961887465,-0.6955229055921638,0.4411764705882353,-0.015407718241900736,-0.015798412182258314,0.1235593034614125,-0.1483155643871351,71.27441176470586,24.960941176470588,1.0
liq20_bs_score_v2_b_bonus_5pct,all,0.0,34,2026-02-13,2026-04-22,5.0,2.0294117647058822,-0.48418940783762177,-0.48418940783762177,-0.3877841871119214,-0.7679523773325155,0.4117647058823529,-0.015377644436255744,-0.02289487885239703,0.24894082864244474,-0.1612840732655775,77.36358823529412,27.20229411764706,1.0
liq20_bs_score_v2_b_bonus_0pct,all,0.0,34,2026-02-13,2026-04-22,4.970588235294118,0.6764705882352942,-0.5167591713388493,-0.5167591713388493,-0.4166764544244307,-0.7744715766383623,0.38235294117647056,-0.017597555604355674,-0.02193123646924927,0.24354553632560835,-0.12632601550751632,78.47560294117648,27.13269117647059,1.0
liq_top_20_then_bs_v2,all,0.0,34,2026-02-13,2026-04-22,4.970588235294118,0.6764705882352942,-0.5167591713388493,-0.5167591713388493,-0.4166764544244307,-0.7744715766383623,0.38235294117647056,-0.017597555604355674,-0.02193123646924927,0.24354553632560835,-0.12632601550751632,78.47560294117648,27.13269117647059,1.0
liq20_bs_score_v2_b_bonus_8pct,all,0.0,34,2026-02-13,2026-04-22,5.0,2.7941176470588234,-0.5436637605591008,-0.5436637605591008,-0.44092505653072334,-0.8022084402916384,0.38235294117647056,-0.018776494675566305,-0.04921557469468693,0.24894082864244474,-0.1683827699791328,75.94205882352941,27.168117647058825,1.0
liq20_score_b_bonus_5pct,all,0.0,34,2026-02-13,2026-04-22,5.0,1.6764705882352942,-0.568952631352488,-0.568952631352488,-0.46405709232171743,-0.755185884925831,0.38235294117647056,-0.0211876958202796,-0.022876535057140823,0.14488132123157232,-0.2032650101760524,79.54317647058824,27.240882352941174,1.0
liq20_score_b_bonus_8pct,all,0.0,34,2026-02-13,2026-04-22,5.0,2.264705882352941,-0.6154318888995514,-0.6154318888995514,-0.5075161963374758,-0.7596059547890425,0.38235294117647056,-0.02436363904382219,-0.02437746093144312,0.18856218638605884,-0.2032650101760524,78.96247058823529,27.290176470588236,1.0
liq20_score_b_bonus_3pct,all,0.0,34,2026-02-13,2026-04-22,5.0,1.1176470588235294,-0.6950249475087888,-0.6950249475087888,-0.5852858582708673,-0.7864440213893252,0.35294117647058826,-0.03106384795183703,-0.03242909858745798,0.12874160947638558,-0.2032650101760524,79.88023529411764,27.23794117647059,1.0
liq20_score_b_bonus_0pct,all,0.0,34,2026-02-13,2026-04-22,5.0,0.5,-0.6977632740246063,-0.6977632740246063,-0.5880489648600338,-0.7740352829605758,0.4117647058823529,-0.03149795991817181,-0.038513779757051315,0.17456449082994147,-0.2032650101760524,80.02258823529411,27.20976470588235,1.0
liq_top_20_then_score,all,0.0,34,2026-02-13,2026-04-22,5.0,0.5,-0.6977632740246063,-0.6977632740246063,-0.5880489648600338,-0.7740352829605758,0.4117647058823529,-0.03149795991817181,-0.038513779757051315,0.17456449082994147,-0.2032650101760524,80.02258823529411,27.20976470588235,1.0
baseline_full_liquidity,all,0.0015,34,2026-02-13,2026-04-22,5.0,0.029411764705882353,1.5453829851145278,1.4217790827221815,0.9262447612312721,-0.27661304290082156,0.5294117647058824,0.02902907272036537,0.007353845715039011,0.19865173492313556,-0.06792728136997396,48.18582352941175,29.988000000000003,1.0
baseline_full_score,all,0.0015,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.3003459162709363,0.2359052411261069,0.16997679077032646,-0.6016678418378811,0.4411764705882353,0.009926019568885941,-0.012421997735326904,0.21381793179926986,-0.1337448186483337,80.98435294117647,23.687705882352944,1.0
liq_top_10_then_score,all,0.0015,34,2026-02-13,2026-04-22,4.970588235294118,0.7352941176470589,-0.07309051120504129,-0.1195607650659013,-0.09006056401794882,-0.747284995327115,0.38235294117647056,0.001967196041724101,-0.016472965950370597,0.25605882965795634,-0.17212041808808684,78.58614705882353,28.623911764705884,1.0
liq_top_30_then_score,all,0.0015,34,2026-02-13,2026-04-22,5.0,0.47058823529411764,-0.280136205239931,-0.31638191205622956,-0.24565904634077673,-0.6778897159356301,0.4411764705882353,-0.008682252805642414,-0.019891210021854077,0.1176999297616193,-0.15359188180590777,80.60076470588236,26.127235294117646,1.0
liq20_bs_score_v2_b_bonus_3pct,all,0.0015,34,2026-02-13,2026-04-22,4.970588235294118,1.3823529411764706,-0.30434965713731976,-0.33945161036249516,-0.2646102787548559,-0.7451533683536176,0.4411764705882353,-0.008338553436822034,-0.007438437794027354,0.24744082864244474,-0.1166371167788349,77.97142647058823,27.167455882352947,1.0
baseline_b_score_v2,all,0.0015,34,2026-02-13,2026-04-22,5.0,5.0,-0.4556552179993103,-0.48328104516197246,-0.3869852800176208,-0.7037527475786044,0.4411764705882353,-0.016907718241900734,-0.017298412182258315,0.1220593034614125,-0.14981556438713511,71.27441176470586,24.960941176470588,1.0
liq20_bs_score_v2_b_bonus_5pct,all,0.0015,34,2026-02-13,2026-04-22,5.0,2.0294117647058822,-0.48418940783762177,-0.5104454392002157,-0.4110371864466431,-0.7746622065311382,0.4117647058823529,-0.016877644436255747,-0.02439487885239703,0.24744082864244474,-0.1627840732655775,77.36358823529412,27.20229411764706,1.0
liq20_bs_score_v2_b_bonus_0pct,all,0.0015,34,2026-02-13,2026-04-22,4.970588235294118,0.6764705882352942,-0.5167591713388493,-0.5413952377973074,-0.43886646144108044,-0.7813300194508589,0.38235294117647056,-0.019097555604355672,-0.023431236469249273,0.24204553632560835,-0.12782601550751632,78.47560294117648,27.13269117647059,1.0
liq_top_20_then_bs_v2,all,0.0015,34,2026-02-13,2026-04-22,4.970588235294118,0.6764705882352942,-0.5167591713388493,-0.5413952377973074,-0.43886646144108044,-0.7813300194508589,0.38235294117647056,-0.019097555604355672,-0.023431236469249273,0.24204553632560835,-0.12782601550751632,78.47560294117648,27.13269117647059,1.0
liq20_bs_score_v2_b_bonus_8pct,all,0.0015,34,2026-02-13,2026-04-22,5.0,2.7941176470588234,-0.5436637605591008,-0.5669771780333952,-0.4622377066491755,-0.8079759005904229,0.38235294117647056,-0.020276494675566307,-0.05071557469468693,0.24744082864244474,-0.1698827699791328,75.94205882352941,27.168117647058825,1.0
liq20_score_b_bonus_5pct,all,0.0015,34,2026-02-13,2026-04-22,5.0,1.6764705882352942,-0.568952631352488,-0.5909967304160706,-0.4845090739313409,-0.7643829017945842,0.38235294117647056,-0.022687695820279602,-0.024376535057140825,0.14338132123157232,-0.2047650101760524,79.54317647058824,27.240882352941174,1.0
