strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,s_liquidity,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,688702,盛科通信-U,,0,score,79.72,79.72,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,79.71,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,688510,航亚科技,,0,score,79.61,79.61,24.07,73.05,,,,,,,43.74,39.59,-0.09487882944673065
baseline_full_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,300739,明阳电路,,0,score,79.56,79.56,22.7,70.82,,,,,,,22.96,29.94,0.3040069686411151
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,bs_score_v2,73.78,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,bs_score_v2,72.05,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,bs_score_v2,70.87,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,002837,英维克,,1,bs_score_v2,68.45,74.88,29.77,68.45,,,,,WATCH,,112.01,97.0,-0.13400589233104188
baseline_b_score_v2,2026-02-13,2026-02-24,2026-03-09,10,1,5,688017,绿的谐波,,1,bs_score_v2,67.07,68.82,28.78,67.07,,,,,WATCH,,242.42,208.34,-0.14058246019305332
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,1,5,300308,中际旭创,,0,s_liquidity,30.0,25.66,30.0,34.08,,,,,,,542.6409,526.612,-0.02953868755561928
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,1,5,601899,紫金矿业,,0,s_liquidity,29.99,44.82,29.99,54.01,,,,,,,39.49,36.4,-0.07824765763484431
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,1,5,300502,新易盛,,0,s_liquidity,29.99,24.93,29.99,35.35,,,,,,,368.0,384.0,0.04347826086956519
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,1,5,300750,宁德时代,,0,s_liquidity,29.98,54.83,29.98,52.9,,,,,,,378.4837,363.1063,-0.0406289623568995
baseline_full_liquidity,2026-02-13,2026-02-24,2026-03-09,10,1,5,300058,蓝色光标,,0,s_liquidity,29.98,35.74,29.98,42.92,,,,,,,19.39,16.77,-0.13512119649303767
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,000738,航发控制,,1,score,78.8,78.8,28.64,73.78,,,,,TRADE,,29.65,25.74,-0.13187183811129854
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,002498,汉缆股份,,0,score,77.01,77.01,28.08,63.41,,,,,,,7.1,9.96,0.40281690140845083
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,002008,大族激光,,1,score,76.85,76.85,28.53,70.87,,,,,TRADE,,54.73,67.77,0.23826055179974426
liq_top_10_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,002378,章源钨业,,0,score,76.12,76.12,28.89,70.17,,,,,,,31.92,44.91,0.40695488721804485
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,603533,掌阅科技,,0,score,81.25,81.25,24.26,67.17,,,,,,,35.83,27.42,-0.23471950879151537
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,688702,盛科通信-U,,0,score,79.72,79.72,26.53,64.78,,,,,,,190.0,192.03,0.010684210526315852
liq_top_20_then_score,2026-02-13,2026-02-24,2026-03-09,10,1,5,600862,中航高科,,1,score,79.71,79.71,26.79,72.05,,,,,TRADE,,27.01,26.11,-0.033320992225101875
