trough_date,drawdown,trade_date_before_trough,risk_decision,recovery_status,risk_governor_reasons,active_role,market_liquidity_bucket,index_bucket,industry_state,avg_vol_20,champion_score,top_industry_weight,pattern_top5_high_risk_count,pattern_top5_bearish_count,pattern_top5_bullish_count,selected_symbols,selected_industries,miss_reason,governed_nav_ret_5d,governed_nav_ret_10d,governed_nav_drawdown_20d
2026-04-28,-0.2408308450711132,2026-04-28,recovery_reduce,recovered,negative_recent_champion|v1_1_selective_recovery,recent_champion,normal_liquidity,index_strong,normal,0.0285134393558637,-0.4836316137665774,0.2430659246692589,0.0,,,600176|688521|657|1896|2436,玻璃|半导体|小金属|火力发电|元器件,no_defensive_action_in_prior_10_calendar_days,-0.022559806891257805,-0.022742594372746727,-0.04822244998631775
2026-03-23,-0.23602486762158958,2026-03-23,normal,,normal_production_risk_budget,defensive,normal_liquidity,index_weak,normal,0.0308857307942015,6.17267212060518,0.2297478791824506,,,,2384|2463|300502|300308,元器件|元器件|通信设备|通信设备,no_defensive_action_in_prior_10_calendar_days,-0.029990701027834965,-0.0633707837007983,-0.1568629725658197
2026-04-24,-0.2308068892910634,2026-04-24,recovery_reduce,recovered,negative_recent_champion|v1_1_selective_recovery,recent_champion,normal_liquidity,index_strong,normal,0.0277757363279619,-0.482131080200284,0.2454053349815466,0.0,,,600176|688521|657|1896|2436,玻璃|半导体|小金属|火力发电|元器件,no_defensive_action_in_prior_10_calendar_days,0.013057912984286935,-0.020640543609645845,-0.04822244998631775
2026-03-24,-0.22778315893471734,2026-03-24,normal,,normal_production_risk_budget,defensive,normal_liquidity,index_weak,normal,0.0318405693087934,5.912492856157657,0.2296816039279006,,,,2384|2463|300502|300308|688498,元器件|元器件|通信设备|通信设备|半导体,no_defensive_action_in_prior_10_calendar_days,-0.009635276391911418,-0.06150924490566001,-0.1568629725658197
2026-04-27,-0.22447945335463038,2026-04-27,recovery_reduce,recovered,negative_recent_champion|v1_1_selective_recovery,recent_champion,normal_liquidity,index_strong,normal,0.0280437204683937,-0.5139392651772147,0.2494625580074479,0.0,,,600176|688521|657|1896|2436,玻璃|半导体|小金属|火力发电|元器件,no_defensive_action_in_prior_10_calendar_days,-0.0056380381174921945,0.0030233653051556786,-0.04822244998631775
2026-04-29,-0.22403600334653306,2026-04-29,recovery_reduce,recovered,negative_recent_champion|v1_1_selective_recovery,recent_champion,normal_liquidity,index_strong,normal,0.0285138028276502,-0.5133133146067319,0.2342226153988443,0.0,,,600176|688521|657|1896|2436,玻璃|半导体|小金属|火力发电|元器件,no_defensive_action_in_prior_10_calendar_days,-0.014288723661647462,0.0010838827094674652,-0.04822244998631775
2026-04-21,-0.2233088425447758,2026-04-21,normal,,normal_production_risk_budget,recent_champion,normal_liquidity,index_strong,normal,0.0284503412872505,0.1853699422570695,0.2515919263248619,,,,300342|300433|600176|688521|657,家用电器|元器件|玻璃|半导体|小金属,no_defensive_action_in_prior_10_calendar_days,-0.0001870063076776507,0.0055904135028295165,-0.06001891676164872
2026-03-26,-0.22075530363848006,2026-03-26,normal,,normal_production_risk_budget,defensive,normal_liquidity,index_weak,normal,0.0320212301336021,6.678852146643267,0.2420720672303099,,,,2384|2463|300502|300308|688498,元器件|元器件|通信设备|通信设备|半导体,no_defensive_action_in_prior_10_calendar_days,-0.02471298941304223,-0.04319935046146839,-0.1568629725658197
