strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,target_position_ratio,style_reason,switch_reason,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,1,2026-06-03,300620,光库科技,通信设备,96.74493707647629,0.026998973657668717,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2,2026-06-03,600183,生益科技,元器件,96.27962568570506,0.035118891127356736,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,3,2026-06-03,600584,长电科技,半导体,95.98076798967409,0.028964322153447936,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,4,2026-06-03,300308,中际旭创,通信设备,95.91287512100676,0.04144114409762633,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,5,2026-06-03,688498,源杰科技,半导体,95.67797353985156,0.009133785345715377,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,1,2026-06-03,300620,光库科技,通信设备,96.74493707647629,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2,2026-06-03,600183,生益科技,元器件,96.27962568570506,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,3,2026-06-03,600584,长电科技,半导体,95.98076798967409,0.05470843672456576,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,4,2026-06-03,300308,中际旭创,通信设备,95.91287512100676,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,5,2026-06-03,688498,源杰科技,半导体,95.67797353985156,0.02654907975460123,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,1,2026-06-03,603011,合锻智能,专用机械,83.29,0.2,score,,,,,,,,,,,,,,,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2,2026-06-03,600162,香江控股,全国地产,83.1,0.2,score,,,,,,,,,,,,,,,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,3,2026-06-03,603319,美湖股份,汽车配件,81.77,0.2,score,,,,,,,,,,,,,,,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,4,2026-06-03,300433,蓝思科技,元器件,81.41,0.2,score,,,,,,,,,,,,,,,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,5,2026-06-03,603678,火炬电子,元器件,81.02,0.2,score,,,,,,,,,,,,,,,baseline_full_score,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,1,2026-06-03,300308,中际旭创,通信设备,30.0,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2,2026-06-03,300502,新易盛,通信设备,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,3,2026-06-03,603986,兆易创新,半导体,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,4,2026-06-03,688008,澜起科技,半导体,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,5,2026-06-03,688256,寒武纪-U,半导体,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,1,2026-06-03,300308,中际旭创,通信设备,30.0,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2,2026-06-03,300502,新易盛,通信设备,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,3,2026-06-03,603986,兆易创新,半导体,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,4,2026-06-03,688008,澜起科技,半导体,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,5,2026-06-03,688256,寒武纪-U,半导体,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.069640631003514,0.0,index_neutral,normal,0.5,hold_min_state_5_days,hold_min_state_5_days,adaptive_market_style,10,1.0
