market_regime,n,hit20,max_ret20,mdd20,avg_hs300_ret20,avg_bs_ratio,avg_market_research
risk_off,169,0.39644970414201186,0.11507413609467455,-0.06957896449704142,-0.04679800844334315,0.01234191018300887,33.700921017751476
neutral,1851,0.2857914640734738,0.08799429281469476,-0.11119705024311183,-0.001813773654451362,0.036328847897653935,34.42462369421934
risk_on,336,0.24702380952380953,0.07813263988095238,-0.1355286011904762,0.0821378845462798,0.03826567550808061,31.70234319047619
