symbol,realized,unrealized,costs,net_contribution
601816,-1.4551915228366852e-11,0.0,161.09145,-161.09145000001456
300750,1003.5599999999977,0.0,176.32836,827.2316399999977
002230,-11322.80000000001,0.0,319.860331,-11642.66033100001
002142,-9627.880000000012,0.0,222.13437,-9850.014370000012
688347,4632.000000000007,0.0,75.792,4556.208000000007
601225,267.8199999999997,0.0,58.157925,209.6620749999997
002607,2091.0,0.0,62.45325,2028.54675
300377,-1914.0000000000073,0.0,56.0505,-1970.0505000000073
688008,13035.839999999997,0.0,162.03834,12873.801659999997
002594,-2642.8499999999985,0.0,90.947603,-2733.7976029999986
300100,-4066.8600000000006,0.0,38.861821,-4105.721821000001
600089,3072.0,0.0,65.184,3006.816
002156,-1994.6100000000079,0.0,80.336093,-2074.9460930000077
600887,-1270.719999999994,0.0,181.8564,-1452.576399999994
300139,-3880.0,0.0,79.22999999999999,-3959.23
300760,4946.320000000003,0.0,231.65394,4714.666060000003
600744,-11934.0,0.0,92.8395,-12026.8395
601398,-9956.360000000022,0.0,575.229391,-10531.589391000023
300107,-17365.76000000001,0.0,121.07712000000001,-17486.83712000001
600926,-2010.479999999996,0.0,51.79698,-2062.276979999996
000831,-1818.0,0.0,78.3135,-1896.3135
300045,-3418.0,0.0,98.02799999999999,-3516.028
300724,-7957.550000000003,0.0,70.798163,-8028.348163000003
603179,-11717.61,0.0,36.238208,-11753.848208000001
600941,-1770.2099999999991,0.0,196.478529,-1966.688528999999
603993,-11917.529999999984,0.0,402.66301,-12320.193009999984
601288,6739.350000000006,0.0,226.563473,6512.786527000006
000568,-1109.8600000000006,0.0,57.768015,-1167.6280150000007
603228,11594.549999999988,0.0,112.54668799999999,11482.003311999988
300395,9455.0,0.0,108.30075000000001,9346.69925
300184,-800.0000000000073,0.0,90.9,-890.9000000000073
002550,-1134.060000000005,0.0,53.331571,-1187.391571000005
688146,15935.439999999999,0.0,49.02342,15886.41658
002008,0.0,375.0,30.76425,344.23575
688165,-21144.0,0.0,116.69399999999999,-21260.694
300319,1502.800000000003,0.0,57.670500000000004,1445.129500000003
600066,-954.0999999999985,0.0,29.699461,-983.7994609999986
600176,3330.3399999999965,0.0,66.459705,3263.8802949999963
601166,-2526.4199999999983,0.0,286.64715099999995,-2813.0671509999984
600415,-2086.949999999997,0.0,45.367313,-2132.3173129999973
002938,-10296.64,0.0,67.05552,-10363.69552
688036,1571.0800000000017,0.0,48.94707,1522.1329300000018
600183,13597.979999999996,0.0,114.892515,13483.087484999996
000977,-5357.769999999997,0.0,71.23886300000001,-5429.008862999996
000895,1535.800000000003,0.0,98.59065000000001,1437.2093500000028
002352,-6807.1500000000015,0.0,65.909363,-6873.059363000001
601099,-1360.0,0.0,42.9675,-1402.9675
300475,-21672.0,0.0,229.404,-21901.404
603986,-1700.0,0.0,75.225,-1775.225
600839,12749.850000000013,0.0,193.06368799999998,12556.786312000013
301308,3484.880000000012,0.0,90.98802,3393.891980000012
002681,-330.0,0.0,32.6475,-362.6475
002340,958.619999999999,0.0,31.750875,926.869124999999
600309,2756.4899999999907,0.0,149.48661800000002,2607.003381999991
300059,262.8600000000006,0.0,52.451295,210.40870500000057
603881,3402.0,0.0,100.85849999999999,3301.1415
300620,-791.7200000000048,0.0,224.55672,-1016.2767200000048
002241,-11811.689999999988,0.0,243.93575399999997,-12055.625753999988
600101,-10656.000000000007,0.0,90.95562000000001,-10746.955620000008
600522,17567.0,0.0,95.16375,17471.83625
300493,-7076.4000000000015,0.0,57.152699999999996,-7133.552700000001
300394,28134.520000000004,0.0,127.12074000000001,28007.399260000006
600489,-2525.0,0.0,24.35625,-2549.35625
300085,5648.0,0.0,103.5,5544.5
300065,-1220.0,0.0,27.525,-1247.525
600410,51453.999999999985,0.0,258.639,51195.36099999998
603686,1188.0,0.0,54.891,1133.109
601127,1442.8400000000038,0.0,42.324780000000004,1400.5152200000039
600580,6791.199999999997,0.0,74.36484,6716.835159999997
002236,286.1999999999898,0.0,71.74777599999999,214.45222399998983
301217,0.0,-4004.999999999998,40.09275,-4045.092749999998
601138,5131.699999999993,0.0,234.563641,4897.136358999994
300552,1479.0,0.0,105.71025,1373.28975
002759,-3276.0,0.0,39.843,-3315.843
600418,-17488.199999999997,0.0,255.14114999999998,-17743.341149999997
600111,995.9300000000003,0.0,36.800107999999994,959.1298920000003
300735,-7536.639999999999,0.0,105.66,-7642.299999999999
300661,2788.2400000000052,0.0,147.416686,2640.823314000005
002837,-4152.080000000002,0.0,82.0404,-4234.120400000002
600547,-8500.0,0.0,41.625,-8541.625
603259,10169.279999999999,0.0,166.25103000000001,10003.02897
002463,1914.8599999999933,0.0,304.979131,1609.8808689999933
300468,12932.100000000002,0.0,45.762841,12886.337159000002
600549,-7849.279999999999,0.0,39.747479999999996,-7889.027479999999
002456,8100.0,0.0,150.075,7949.925
600036,-826.8000000000029,0.0,83.15599599999999,-909.9559960000029
300762,1206.0,0.0,25.384500000000003,1180.6154999999999
603083,-17243.4,0.0,96.801526,-17340.201526
002173,-2408.0,0.0,48.132000000000005,-2456.132
600171,-3038.4100000000035,0.0,91.628513,-3130.0385130000036
300251,-15088.779999999999,0.0,78.861825,-15167.641824999999
000538,3366.0999999999913,0.0,88.457775,3277.6422249999914
601939,-2497.3300000000017,0.0,85.34156300000001,-2582.6715630000017
000559,9700.740000000002,0.0,44.485875,9656.254125000001
002130,-1239.5999999999985,0.0,24.81198,-1264.4119799999985
300502,13015.769999999993,0.0,297.287469,12718.482530999992
300408,1956.0,0.0,37.766999999999996,1918.233
300476,8873.68,0.0,184.688102,8688.991898
601328,2318.399999999994,0.0,104.00796,2214.3920399999943
300342,7292.499999999993,0.0,89.887725,7202.612274999993
300718,998.5200000000077,0.0,47.95155,950.5684500000077
300255,6523.0,0.0,78.25125,6444.74875
000001,1559.8600000000006,0.0,88.227195,1471.6328050000006
002465,17042.739999999998,0.0,71.623305,16971.116694999997
600733,3314.0000000000036,0.0,127.22250000000001,3186.777500000004
002553,-18295.56,0.0,56.87793,-18352.43793
002415,1493.1599999999999,0.0,170.747341,1322.4126589999998
600362,13464.000000000007,0.0,87.4005,13376.599500000008
601020,-1969.9000000000015,0.0,23.004525,-1992.9045250000015
000002,-6977.0,0.0,178.20975,-7155.20975
002555,5119.600000000006,0.0,64.90350000000001,5054.6965000000055
300347,-4723.360000000001,0.0,85.35252,-4808.712520000001
000333,-8887.66999999998,0.0,248.215104,-9135.88510399998
002709,-4560.0,0.0,69.276,-4629.276
002466,19193.0,0.0,84.34125,19108.65875
001309,12140.430000000004,0.0,100.853438,12039.576562000004
000988,2122.300000000003,0.0,115.529311,2006.770689000003
601229,-290.02000000000044,0.0,28.731105,-318.75110500000045
300548,4009.200000000008,0.0,110.24825999999999,3898.951740000008
300757,21467.519999999997,0.0,111.51612,21356.003879999997
603667,-2877.3399999999983,0.0,24.360225,-2901.700224999998
300035,198.40000000000146,0.0,88.39392000000001,110.00608000000145
000338,-47.30000000001746,0.0,105.560055,-152.86005500001747
000858,-2432.399999999987,0.0,65.649286,-2498.0492859999868
603893,1215.8300000000017,0.0,25.521158,1190.3088420000017
002126,1603.520000000004,0.0,135.87432,1467.6456800000042
300285,0.0,14957.99999999999,55.485,14902.51499999999
600570,-270.8299999999999,0.0,44.583938,-315.4139379999999
300975,-3765.369999999999,0.0,12.044288,-3777.414287999999
002639,1197.0,0.0,103.43025,1093.56975
601985,2461.4200000000055,0.0,191.93076100000002,2269.4892390000055
601899,-83.10000000000582,0.0,320.09911600000004,-403.19911600000586
002131,8743.680000000015,0.0,104.79216,8638.887840000014
002460,4304.999999999996,0.0,52.00125,4252.998749999996
600611,216.72000000000116,0.0,59.015566,157.70443400000116
002475,10933.200000000004,0.0,78.80976,10854.390240000004
688521,-6941.999999999993,0.0,158.46750000000003,-7100.4674999999925
600392,-3142.5999999999985,-2548.000000000001,99.92676,-5790.52676
601872,198.0,0.0,7.951499999999999,190.0485
002734,-3493.0399999999972,0.0,24.7611,-3517.8010999999974
601698,-820.0,0.0,33.435,-853.435
300308,1771.090000000011,0.0,89.979533,1681.110467000011
601988,-5372.439999999995,0.0,139.408922,-5511.848921999995
300963,-310.7399999999998,0.0,13.041315,-323.7813149999998
002261,-1454.9999999999927,0.0,144.40875000000003,-1599.4087499999928
688525,350.2100000000064,0.0,209.18793800000003,141.02206200000637
300433,-1714.0000000000073,0.0,226.31550000000001,-1940.3155000000072
600988,-3393.600000000006,0.0,68.08848,-3461.6884800000057
300766,-16.0,0.0,91.188,-107.188
300058,15278.680000000004,0.0,274.84234599999996,15003.837654000004
600118,23370.0,0.0,73.70249999999999,23296.2975
000063,7384.459999999999,0.0,71.68611100000001,7312.773888999999
300418,4608.0,0.0,97.056,4510.944
000158,-4153.069999999992,0.0,214.79352799999998,-4367.863527999993
300458,-1430.2000000000007,0.0,28.71594,-1458.9159400000008
600584,31521.969999999994,0.0,424.114629,31097.855370999994
300576,-6560.970000000008,0.0,95.817638,-6656.787638000009
003816,763.560000000005,0.0,75.654556,687.905444000005
000625,-1441.1499999999942,0.0,81.682148,-1522.8321479999943
603236,718.4000000000015,0.0,89.09115,629.3088500000015
603019,-856.4000000000015,0.0,52.39332,-908.7933200000015
600938,2877.7999999999884,0.0,152.63004,2725.1699599999884
603220,1746.1599999999962,0.0,56.21886,1689.9411399999963
600601,-3243.0000000000036,0.0,46.62675,-3289.6267500000035
002085,-11709.189999999995,0.0,84.912743,-11794.102742999996
600030,1695.5400000000081,0.0,73.338705,1622.201295000008
002602,-51.179999999999836,0.0,5.532705,-56.712704999999836
600487,1950.0,0.0,42.3,1907.7
300274,2176.6200000000026,0.0,165.872115,2010.7478850000025
300563,-6509.1600000000035,0.0,50.49171,-6559.651710000004
600276,-2964.0600000000013,0.0,101.439271,-3065.4992710000015
600028,2904.2999999999956,0.0,66.03849100000001,2838.261508999996
002384,-3483.220000000001,0.0,155.19339100000002,-3638.413391000001
002104,-9696.0,0.0,134.712,-9830.712
000833,-7428.119999999995,0.0,69.217786,-7497.3377859999955
601869,5634.0,0.0,57.454499999999996,5576.5455
300364,3105.0,0.0,126.86625,2978.13375
300337,3765.80000000001,0.0,99.81497999999999,3665.98502000001
000426,-800.0,0.0,114.2205,-914.2205
600150,1140.0,0.0,75.1725,1064.8275
000938,-12096.470000000001,0.0,267.99489800000003,-12364.464898000002
601888,-216.67999999999938,0.0,9.949335999999999,-226.62933599999937
300641,-4423.12000000001,0.0,115.81323,-4538.93323000001
002812,8186.0,0.0,73.2405,8112.7595
600900,3425.6199999999953,0.0,234.286365,3191.3336349999954
002155,-8817.12999999999,0.0,192.50883800000003,-9009.63883799999
603501,-7979.329999999998,0.0,186.982748,-8166.3127479999985
002240,-11203.000000000007,0.0,85.00425,-11288.004250000007
600843,-7332.000000000007,0.0,57.291,-7389.291000000007
688271,1386.6499999999942,0.0,105.179438,1281.470561999994
002855,-2850.0,0.0,32.6025,-2882.6025
002558,-6810.84,0.0,35.55954,-6846.39954
000657,6224.0,0.0,137.46,6086.54
600050,1478.5699999999924,0.0,151.266368,1327.3036319999924
601857,11758.460000000003,0.0,354.09243200000003,11404.367568000003
688041,2544.8799999999937,0.0,45.13344,2499.7465599999937
300496,-21527.36,0.0,139.35623999999999,-21666.71624
002074,-260.8299999999999,0.0,4.683008,-265.5130079999999
002407,1438.2900000000009,0.0,44.378348,1393.911652000001
601919,10714.75999999998,0.0,219.366076,10495.39392399998
600498,-3390.199999999997,0.0,80.94075000000001,-3471.1407499999973
601658,630.5399999999936,0.0,50.505044999999996,580.0349549999936
002436,3723.040000000001,0.0,37.68048,3685.359520000001
601668,-2564.279999999999,0.0,352.1943,-2916.474299999999
300442,-2633.560000000005,0.0,73.83918,-2707.399180000005
002786,-1551.0,0.0,28.05825,-1579.05825
600809,-7920.360000000001,0.0,149.581906,-8069.941906000001
600967,-7475.740000000005,0.0,108.149805,-7583.889805000005
688012,-59.650000000001455,0.0,46.122817999999995,-105.77281800000145
