strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2023-06-13,2023-03-30,67241.96962050004,403784.0,471025.96962050005,0.9420519392410001,10,0.8572436044775279,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,471025.96962050005,0.0,218,1.0
vls_mom_contrarian_v1_frozen,2023-06-14,2023-03-30,67241.96962050004,401769.0,469010.96962050005,0.9380219392410001,10,0.8566302837758596,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,469010.96962050005,0.0,220,1.0
vls_mom_contrarian_v1_frozen,2023-06-15,2023-03-30,67241.96962050004,404169.0,471410.96962050005,0.9428219392410001,10,0.8573601932202981,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,471410.96962050005,0.0,222,1.0
vls_mom_contrarian_v1_frozen,2023-06-16,2023-03-30,67241.96962050004,405426.0,472667.96962050005,0.9453359392410001,10,0.8577395255394862,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,472667.96962050005,0.0,224,1.0
vls_mom_contrarian_v1_frozen,2023-06-19,2023-03-30,67241.96962050004,402223.0,469464.96962050005,0.9389299392410001,10,0.8567689306512981,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,469464.96962050005,0.0,226,1.0
vls_mom_contrarian_v1_frozen,2023-06-20,2023-03-30,67241.96962050004,389167.0,456408.96962050005,0.9128179392410001,10,0.8526716736605524,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,456408.96962050005,0.0,228,1.0
vls_mom_contrarian_v1_frozen,2023-06-21,2023-03-30,67241.96962050004,391643.0,458884.96962050005,0.9177699392410001,10,0.8534666113032434,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,458884.96962050005,0.0,230,1.0
vls_mom_contrarian_v1_frozen,2023-06-26,2023-03-30,67241.96962050004,386857.0,454098.96962050005,0.9081979392410001,10,0.8519222149376477,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,454098.96962050005,0.0,232,1.0
vls_mom_contrarian_v1_frozen,2023-06-27,2023-03-30,67241.96962050004,385786.0,453027.96962050005,0.9060559392410001,10,0.8515721453648251,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,453027.96962050005,0.0,234,1.0
vls_mom_contrarian_v1_frozen,2023-06-28,2023-03-30,67241.96962050004,387253.0,454494.96962050005,0.9089899392410001,10,0.8520512346338033,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,454494.96962050005,0.0,236,1.0
vls_mom_contrarian_v1_frozen,2023-06-29,2023-03-30,67241.96962050004,395609.0,462850.96962050005,0.9257019392410001,10,0.8547222021039883,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,462850.96962050005,0.0,238,1.0
vls_mom_contrarian_v1_frozen,2023-06-30,2023-03-30,67241.96962050004,400658.0,467899.96962050005,0.9357999392410001,10,0.8562898611106172,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,467899.96962050005,0.0,240,1.0
vls_mom_contrarian_v1_frozen,2023-07-03,2023-03-30,67241.96962050004,402403.0,469644.96962050005,0.9392899392410001,10,0.8568238265708767,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,469644.96962050005,0.0,242,1.0
vls_mom_contrarian_v1_frozen,2023-07-04,2023-03-30,67241.96962050004,407397.0,474638.96962050005,0.9492779392410001,10,0.8583302806462274,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,474638.96962050005,0.0,244,1.0
vls_mom_contrarian_v1_frozen,2023-07-05,2023-03-30,67241.96962050004,407372.0,474613.96962050005,0.9492279392410001,10,0.8583228182805775,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,474613.96962050005,0.0,246,1.0
vls_mom_contrarian_v1_frozen,2023-07-06,2023-03-30,67241.96962050004,409010.0,476251.96962050005,0.9525039392410001,10,0.8588100965249936,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,476251.96962050005,0.0,248,1.0
vls_mom_contrarian_v1_frozen,2023-07-07,2023-03-30,67241.96962050004,402380.0,469621.96962050005,0.9392439392410001,10,0.8568168144372844,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,469621.96962050005,0.0,250,1.0
