signal_date,execution_date,symbol,side,order_reason,shares_delta,shares_before,shares_after,price,notional,trade_cost,target_exposure,actual_exposure_before,entry_only,curve
2023-12-05,2023-12-06,002142,SELL,FORCE_SELL,-800,4000,3200,21.13,16904.0,12.678,0.4,0.5054,True,FSC40_ENTRY
2023-12-05,2023-12-06,300351,SELL,FORCE_SELL,-100,800,700,21.03,2103.0,1.5773,0.4,0.5054,True,FSC40_ENTRY
2023-12-05,2023-12-06,688271,SELL,FORCE_SELL,-100,500,400,150.0,15000.0,11.25,0.4,0.5054,True,FSC40_ENTRY
2024-05-28,2024-05-29,000002,SELL,FORCE_SELL,-1000,3600,2600,8.58,8580.0,6.435,0.4,0.5743,True,FSC40_ENTRY
2024-05-28,2024-05-29,600066,SELL,FORCE_SELL,-200,900,700,24.48,4896.0,3.672,0.4,0.5743,True,FSC40_ENTRY
2024-05-28,2024-05-29,601668,SELL,FORCE_SELL,-4100,13700,9600,5.7,23370.0,17.5275,0.4,0.5743,True,FSC40_ENTRY
2024-05-28,2024-05-29,603993,SELL,FORCE_SELL,-2800,9500,6700,8.76,24528.0,18.396,0.4,0.5743,True,FSC40_ENTRY
2024-05-28,2024-05-29,300641,SELL,FORCE_SELL,-500,1900,1400,25.77,12885.0,9.6638,0.4,0.5743,True,FSC40_ENTRY
