signal_date,execution_date,symbol,side,order_reason,shares_delta,shares_before,shares_after,price,notional,trade_cost,target_exposure,actual_exposure_before,entry_only,curve
2023-12-05,2023-12-06,002142,SELL,FORCE_SELL,-800,4000,3200,21.13,16904.0,12.678,0.4,0.5054,False,FSC40_DAILY
2023-12-05,2023-12-06,300351,SELL,FORCE_SELL,-100,800,700,21.03,2103.0,1.5773,0.4,0.5054,False,FSC40_DAILY
2023-12-05,2023-12-06,688271,SELL,FORCE_SELL,-100,500,400,150.0,15000.0,11.25,0.4,0.5054,False,FSC40_DAILY
2023-12-06,2023-12-07,002142,SELL,FORCE_SELL,-100,3200,3100,21.03,2103.0,1.5773,0.4,0.4256,False,FSC40_DAILY
2023-12-07,2023-12-08,002142,SELL,FORCE_SELL,-100,3100,3000,20.82,2082.0,1.5615,0.4,0.4255,False,FSC40_DAILY
2023-12-08,2023-12-11,002142,SELL,FORCE_SELL,-100,3000,2900,20.86,2086.0,1.5645,0.4,0.4212,False,FSC40_DAILY
2024-05-28,2024-05-29,000002,SELL,FORCE_SELL,-1000,3600,2600,8.58,8580.0,6.435,0.4,0.5751,False,FSC40_DAILY
2024-05-28,2024-05-29,600066,SELL,FORCE_SELL,-200,900,700,24.48,4896.0,3.672,0.4,0.5751,False,FSC40_DAILY
2024-05-28,2024-05-29,601668,SELL,FORCE_SELL,-4200,13800,9600,5.7,23940.0,17.955,0.4,0.5751,False,FSC40_DAILY
2024-05-28,2024-05-29,603993,SELL,FORCE_SELL,-2700,9100,6400,8.76,23652.0,17.739,0.4,0.5751,False,FSC40_DAILY
2024-05-28,2024-05-29,300641,SELL,FORCE_SELL,-600,2000,1400,25.77,15462.0,11.5965,0.4,0.5751,False,FSC40_DAILY
2024-10-28,2024-10-29,300337,SELL,FORCE_SELL,-100,3100,3000,19.66,1966.0,1.4745,0.4,0.4146,False,FSC40_DAILY
2024-10-28,2024-10-29,300184,SELL,FORCE_SELL,-100,3300,3200,12.9,1290.0,0.9675,0.4,0.4146,False,FSC40_DAILY
2024-12-04,2024-12-05,002131,SELL,FORCE_SELL,-400,15100,14700,5.37,2148.0,1.611,0.4,0.4117,False,FSC40_DAILY
2024-12-05,2024-12-06,002131,SELL,FORCE_SELL,-400,14700,14300,5.69,2276.0,1.707,0.4,0.4121,False,FSC40_DAILY
2025-06-24,2025-06-25,601328,SELL,FORCE_SELL,-200,4800,4600,8.32,1664.0,1.248,0.4,0.4177,False,FSC40_DAILY
2025-06-25,2025-06-26,601328,SELL,FORCE_SELL,-100,4600,4500,8.31,831.0,0.6232,0.4,0.4102,False,FSC40_DAILY
2025-09-30,2025-10-09,601727,SELL,FORCE_SELL,-100,4300,4200,10.38,1038.0,0.7785,0.4,0.4168,False,FSC40_DAILY
2025-11-12,2025-11-13,002812,SELL,FORCE_SELL,-100,1400,1300,61.72,6172.0,4.629,0.4,0.4344,False,FSC40_DAILY
2026-01-07,2026-01-08,300058,SELL,FORCE_SELL,-100,4500,4400,15.06,1506.0,1.1295,0.4,0.4132,False,FSC40_DAILY
2026-01-08,2026-01-09,000559,SELL,FORCE_SELL,-100,2300,2200,19.85,1985.0,1.4888,0.4,0.4255,False,FSC40_DAILY
2026-01-08,2026-01-09,002465,SELL,FORCE_SELL,-100,1700,1600,20.0,2000.0,1.5,0.4,0.4255,False,FSC40_DAILY
2026-01-08,2026-01-09,300058,SELL,FORCE_SELL,-200,4400,4200,17.18,3436.0,2.577,0.4,0.4255,False,FSC40_DAILY
2026-01-09,2026-01-12,000559,SELL,FORCE_SELL,-100,2200,2100,20.45,2045.0,1.5337,0.4,0.4323,False,FSC40_DAILY
2026-01-09,2026-01-12,002465,SELL,FORCE_SELL,-100,1600,1500,22.0,2200.0,1.65,0.4,0.4323,False,FSC40_DAILY
2026-01-09,2026-01-12,300058,SELL,FORCE_SELL,-300,4200,3900,20.62,6186.0,4.6395,0.4,0.4323,False,FSC40_DAILY
2026-01-12,2026-01-13,300058,SELL,FORCE_SELL,-100,3900,3800,20.85,2085.0,1.5637,0.4,0.4125,False,FSC40_DAILY
2026-01-13,2026-01-14,300058,SELL,FORCE_SELL,-100,3800,3700,21.63,2163.0,1.6222,0.4,0.4169,False,FSC40_DAILY
2026-02-26,2026-02-27,600977,SELL,FORCE_SELL,-100,1800,1700,14.86,1486.0,1.1145,0.4,0.4249,False,FSC40_DAILY
2026-02-26,2026-02-27,600410,SELL,FORCE_SELL,-100,2400,2300,28.94,2894.0,2.1705,0.4,0.4249,False,FSC40_DAILY
