strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2024-08-12,2024-04-10,46228.94876649998,318210.0,364438.9487665,0.728877897533,10,0.8731503618837421,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,364438.9487665,0.0,220,1.0
vls_mom_contrarian_v1_frozen,2024-08-13,2024-04-10,46228.94876649998,318179.0,364407.9487665,0.728815897533,10,0.8731395708491477,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,364407.9487665,0.0,222,1.0
vls_mom_contrarian_v1_frozen,2024-08-14,2024-04-10,46228.94876649998,315094.0,361322.9487665,0.722645897533,10,0.8720564278457308,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,361322.9487665,0.0,224,1.0
vls_mom_contrarian_v1_frozen,2024-08-15,2024-04-10,46228.94876649998,324397.0,370625.9487665,0.741251897533,10,0.8752679111639187,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,370625.9487665,0.0,226,1.0
vls_mom_contrarian_v1_frozen,2024-08-16,2024-04-10,46228.94876649998,317399.0,363627.9487665,0.727255897533,10,0.8728674489314752,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,363627.9487665,0.0,228,1.0
vls_mom_contrarian_v1_frozen,2024-08-19,2024-04-10,46228.94876649998,316942.0,363170.9487665,0.7263418975329999,10,0.8727074703427812,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,363170.9487665,0.0,230,1.0
vls_mom_contrarian_v1_frozen,2024-08-20,2024-04-10,46228.94876649998,310356.0,356584.9487665,0.713169897533,10,0.8703564215864541,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,356584.9487665,0.0,232,1.0
vls_mom_contrarian_v1_frozen,2024-08-21,2024-04-10,46228.94876649998,307806.0,354034.9487665,0.708069897533,10,0.8694226405399603,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,354034.9487665,0.0,234,1.0
vls_mom_contrarian_v1_frozen,2024-08-22,2024-04-10,46228.94876649998,304985.0,351213.9487665,0.702427897533,10,0.8683738247616278,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,351213.9487665,0.0,236,1.0
vls_mom_contrarian_v1_frozen,2024-08-23,2024-04-10,46228.94876649998,302082.0,348310.9487665,0.696621897533,10,0.86727678549809,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,348310.9487665,0.0,238,1.0
