strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,3m,63,2026-04-15,2026-07-15,62,0.9841269841269841,PASS,2026-04-15,2026-07-15,62,500000.0,548096.1634725002,683982.7297150003,0.24792468055529082,-0.13295243363449982,0.42150188834562496,0.5645161290322581,0.6510324798161804,4.82258064516129
production_governed_vol_position_v1_2b_dynamic_score,6m,6m,126,2026-01-15,2026-07-15,119,0.9444444444444444,PASS,2026-01-15,2026-07-15,119,500000.0,562735.9107824999,683982.7297150003,0.2154595372523911,-0.13295243363449982,0.3733698055856772,0.4957983193277311,0.6545722722466387,4.882352941176471
production_governed_vol_position_v1_2b_dynamic_score,1y,1y,252,2025-09-02,2026-07-15,208,0.8253968253968254,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-15,208,500000.0,492830.0016975,683982.7297150003,0.3878674742996473,-0.13295243363449982,0.33708337175584113,0.5144230769230769,0.611160855967692,4.889423076923077
production_governed_vol_position_v1_2b_dynamic_score,3y,3y,756,2025-09-02,2026-07-15,208,0.2751322751322751,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-15,208,500000.0,492830.0016975,683982.7297150003,0.3878674742996473,-0.13295243363449982,0.33708337175584113,0.5144230769230769,0.611160855967692,4.889423076923077
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,3m,63,2026-04-15,2026-07-15,62,0.9841269841269841,PASS,2026-04-15,2026-07-15,62,500000.0,548096.1634725002,683982.7297150003,0.24792468055529082,-0.13295243363449982,0.42150188834562496,0.5645161290322581,0.6510324798161804,4.82258064516129
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,6m,126,2026-01-15,2026-07-15,119,0.9444444444444444,PASS,2026-01-15,2026-07-15,119,500000.0,562735.9107824999,683982.7297150003,0.2154595372523911,-0.13295243363449982,0.3733698055856772,0.4957983193277311,0.6545722722466387,4.882352941176471
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,1y,252,2025-09-02,2026-07-15,208,0.8253968253968254,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-15,208,500000.0,492830.0016975,683982.7297150003,0.3878674742996473,-0.13295243363449982,0.33708337175584113,0.5144230769230769,0.611160855967692,4.889423076923077
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,3y,756,2025-09-02,2026-07-15,208,0.2751322751322751,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-15,208,500000.0,492830.0016975,683982.7297150003,0.3878674742996473,-0.13295243363449982,0.33708337175584113,0.5144230769230769,0.611160855967692,4.889423076923077
adaptive_market_style,3m,3m,63,2026-04-15,2026-07-15,62,0.9841269841269841,PASS,2026-04-15,2026-07-15,62,500000.0,589842.4041275003,584822.655545,-0.00851032165095944,-0.1454275603697751,0.3147603523076007,0.5483870967741935,0.43437025301388993,4.5
adaptive_market_style,6m,6m,126,2026-01-15,2026-07-15,119,0.9444444444444444,PASS,2026-01-15,2026-07-15,119,500000.0,598887.8649200003,584822.655545,-0.02348554746033993,-0.1454275603697751,0.2727819632350561,0.5294117647058824,0.41297903324472446,4.5966386554621845
adaptive_market_style,1y,1y,252,2025-09-02,2026-07-15,208,0.8253968253968254,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-15,208,500000.0,494109.972835,584822.655545,0.18358804253540528,-0.145427560369775,0.288574706132644,0.5384615384615384,0.3893797824872078,4.5625
adaptive_market_style,3y,3y,756,2025-09-02,2026-07-15,208,0.2751322751322751,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-15,208,500000.0,494109.972835,584822.655545,0.18358804253540528,-0.145427560369775,0.288574706132644,0.5384615384615384,0.3893797824872078,4.5625
