strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,pattern_guard_enabled,pattern_strategy_mode,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
production_governed_vol_position_v1_2b_dynamic_score,2025-09-02,000988,华工科技,专用机械,BUY,75.5155,900,67963.95,50.9729625,431985.0770375,rebalance_unlocked,900.0,75.5155,900.0,75.5155,,-93.36814487444445,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-02,002436,兴森科技,元器件,BUY,21.3272,3200,68247.04000000001,51.185280000000006,363686.8517575,rebalance_unlocked,3200.0,21.3272,3200.0,21.3272,,-29.27769943463693,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-02,002594,比亚迪,汽车整车,BUY,108.79,1100,119669.0,89.75175,243928.10000749998,rebalance_unlocked,1100.0,108.79,1100.0,108.79,,-92.63545391250766,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-02,300308,中际旭创,通信设备,BUY,402.9108,100,40291.08,30.218310000000002,203606.8016975,rebalance_unlocked,100.0,402.9108,100.0,402.9108,,-7.692371239448742,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-03,300502,新易盛,通信设备,BUY,497.6461,100,49764.61,37.3234575,153804.86823999998,rebalance_unlocked,100.0,497.6461,100.0,497.6461,,-103.1148558468202,0.3102595589770869,0.30000000000000004,0.30000000000000004,0.010259558977086858,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,000988,华工科技,专用机械,SELL,81.7158,900,73544.22,55.158165000000004,227293.93007499998,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,002436,兴森科技,元器件,SELL,22.1179,3200,70777.28,53.08296,298018.127115,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,002594,比亚迪,汽车整车,SELL,109.0,1100,119900.0,89.925,417828.202115,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,300308,中际旭创,通信设备,SELL,410.9385,100,41093.85,30.8203875,458891.2317275,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,002460,赣锋锂业,小金属,BUY,48.68,2000,97360.0,73.02,361458.21172749996,rebalance_unlocked,2000.0,48.68,2000.0,48.68,,-74.42290653491418,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,300274,阳光电源,电气设备,BUY,139.3759,400,55750.36,41.81277,305666.03895749996,rebalance_unlocked,400.0,139.3759,400.0,139.3759,,-96.34974333557672,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,300759,康龙化成,化学制药,BUY,36.0,2700,97200.0,72.9,208393.13895749996,rebalance_unlocked,2700.0,36.0,2700.0,36.0,,-2.3664572135906337,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-16,688521,芯原股份,半导体,BUY,178.47,200,35694.0,26.770500000000002,172672.36845749995,rebalance_unlocked,200.0,178.47,200.0,178.47,,-234.4164036661199,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-17,300502,新易盛,通信设备,SELL,480.9364,100,48093.64,36.07023,220729.93822749995,rebalance_unlocked,,,,,,,0.30192358807811875,0.30000000000000004,0.30000000000000004,0.0019235880781187098,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-17,002602,世纪华通,互联网,BUY,19.9309,3400,67765.06,50.823795,152914.05443249995,rebalance_unlocked,3400.0,19.9309,3400.0,19.9309,,-20.433360076870798,0.30192358807811875,0.30000000000000004,0.30000000000000004,0.0019235880781187098,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2025-09-30,002460,赣锋锂业,小金属,SELL,58.51,700,40957.0,30.717750000000002,193840.33668249994,rebalance_unlocked,,,,,,,0.3604917218188371,0.30000000000000004,0.30000000000000004,0.06049172181883705,76063.0,1300,0.27772263423586224,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
