risk_reason,days,false_positive_days,false_positive_rate,avg_next_5d_return,avg_max_dd_5d,avg_next_10d_return,avg_max_dd_10d,avg_next_20d_return,avg_max_dd_20d,avg_opportunity_cost,avg_prevented_loss
adaptive_attack_non_low_liquidity,35,19,0.5428571428571428,-0.0034333043840039735,-0.024695279796061186,0.007641405575367807,-0.043103587303413904,0.041460586087874486,-0.06076011351640029,-0.0015362428236073938,0.006263882809169024
high_volatility,35,18,0.5142857142857142,0.012355445527399488,-0.01730055833064728,0.017074683256690235,-0.03201723504787746,0.018064864390730476,-0.045870637393007854,0.0010821470486498904,0.0033912711805476185
negative_recent_champion,325,119,0.36615384615384616,0.004784779965440784,-0.015619702669769987,0.008169408220580775,-0.030506534670002486,0.014008023513155936,-0.052635304437616,-9.946479707200383e-05,0.0031714280291272857
low_liquidity,40,8,0.2,-0.0008687346976264942,-0.02449687205330972,-0.002807721197912513,-0.04939826383823418,-0.015313594837787534,-0.07353272394687556,-0.003495087420143689,0.006234557269552401
normal_production_risk_budget,224,39,0.17410714285714285,-0.0034465441592420663,-0.02522849693642853,-0.0069695994362187815,-0.04455205839553867,-0.012557769250885708,-0.06751586824692359,0.0003235230673057752,0.004224415385629599
missing_reason,2,0,0.0,-0.0005260352241779342,-0.010662925446728033,-0.02240178040684121,-0.028125579260341926,-0.029127295659201025,-0.03735746093741721,0.0,0.0
