strategy,signal_date,desired_role,active_role,selected_strategy,reason,switch_blocked,current_role_days_before,market_amount_ratio_20,index_bucket,market_bs_ratio,market_avg_score,data_cutoff_date,completed_history_rule,attack_short_count,attack_short_avg_ret,attack_count,attack_avg_ret,attack_win_rate,attack_max_drawdown,balanced_count,balanced_avg_ret,balanced_win_rate,balanced_max_drawdown,defensive_count,defensive_avg_ret,defensive_win_rate,defensive_max_drawdown,fallback_count,fallback_avg_ret,fallback_win_rate,fallback_max_drawdown,current_role_days_after,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason
adaptive_style_switch,2025-06-03,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,0,0.9602426902164507,index_neutral,0.0,42.726822539620436,2025-06-03,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,1,,,
adaptive_style_switch,2025-06-04,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,1,0.9791322995681376,index_neutral,0.0,42.89689466484268,2025-06-04,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,2,,,
adaptive_style_switch,2025-06-05,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,2,1.1038087834601962,index_neutral,0.0,43.34213127563977,2025-06-05,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,3,,,
adaptive_style_switch,2025-06-06,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,3,0.9927361933999443,index_neutral,0.0,43.103380199179846,2025-06-06,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,4,,,
adaptive_style_switch,2025-06-09,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,4,1.102667742768426,index_neutral,0.0,44.21177056869259,2025-06-09,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,5,,,
adaptive_style_switch,2025-06-10,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,5,1.2132715876499818,index_neutral,0.0,44.609644600663934,2025-06-10,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,6,,,
adaptive_style_switch,2025-06-11,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,6,1.0774505319073213,index_neutral,0.0,44.410298594847774,2025-06-11,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,7,,,
adaptive_style_switch,2025-06-12,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,7,1.0936853224657448,index_neutral,0.0,44.64883099141296,2025-06-12,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,8,,,
adaptive_style_switch,2025-06-13,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,8,1.2452789869001002,index_neutral,0.0,43.23060121022838,2025-06-13,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,9,,,
adaptive_style_switch,2025-06-16,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,9,1.024753794515201,index_neutral,0.0,42.63001365853658,2025-06-16,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,10,,,
adaptive_style_switch,2025-06-17,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,10,1.0144654442772418,index_neutral,0.0,42.380384015594544,2025-06-17,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,11,,,
adaptive_style_switch,2025-06-18,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,11,1.0014294756351148,index_neutral,0.0,41.21643274853801,2025-06-18,exit_date < signal_date,1,0.11198236236076034,1,0.11198236236076034,1.0,0.0,1,0.17842036676711004,1.0,0.0,1,0.07498177877487419,1.0,0.0,1,-0.08918964996809374,0.0,0.0,12,,,
adaptive_style_switch,2025-06-19,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,12,1.0469535374522332,index_neutral,0.0,39.63002339637356,2025-06-19,exit_date < signal_date,2,0.014468714211954434,2,0.014468714211954434,0.5,-0.08304493393685153,2,0.03873073718802513,0.5,-0.10095889239105982,2,0.0905152756091447,1.0,0.0,2,-0.03613722792171769,0.5,0.0,13,,,
adaptive_style_switch,2025-06-20,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,13,0.8941252019290243,index_neutral,0.0,38.38851656920078,2025-06-20,exit_date < signal_date,3,0.007798688432105305,3,0.007798688432105305,0.3333333333333333,-0.08812611492959332,3,0.02254891802127487,0.3333333333333333,-0.10978272941143519,3,0.07563819939939621,1.0,0.0,3,-0.026411123250171684,0.3333333333333333,-0.0069589139070797,14,,,
adaptive_style_switch,2025-06-23,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,14,0.9407232833610706,index_neutral,0.0,39.72294634146341,2025-06-23,exit_date < signal_date,4,0.00846085766127861,4,0.00846085766127861,0.5,-0.08812611492959332,4,0.02623708893673476,0.5,-0.10978272941143519,4,0.06877613860292436,1.0,0.0,4,-0.03574050231918125,0.25,-0.07024407131741162,15,,,
