first_date,last_date,trading_days,initial_cash,final_equity,total_return,annualized_return,max_drawdown,daily_win_rate,best_day,worst_day,avg_gross_exposure,avg_position_count,trade_count,buy_count,sell_count,stop_loss_sell_count,turnover,total_cost,strategy,sort_col,pool,top_n,hold_days,trade_cost_rate,slippage_rate,lot_size,min_trade_value,max_total_positions,position_ratio,hard_stop_loss_pct,adaptive_switch_count,adaptive_attack_days,adaptive_balanced_days,adaptive_defensive_days,adaptive_fallback_days,adaptive_avg_target_position_ratio,adaptive_min_target_position_ratio,adaptive_max_target_position_ratio
2025-06-04,2026-05-29,240,500000.0,1544720.1809550002,2.0894403619100004,2.2849290856553637,-0.23278913819151947,0.575,0.09629490864677526,-0.08793786609016685,0.9893189391016616,5.0,237,120,117,0,45.653655370825994,30152.139045,tiered_liquidity_then_bs_v2,bs_score_v2,liquidity_tiered,5,10,0.00075,0.0,100,500.0,5,1.0,0.0,,,,,,,,
2025-06-04,2026-05-29,240,500000.0,845960.1065625001,0.6919202131250002,0.7410138075595438,-0.3080380649447453,0.5208333333333334,0.10842201074023228,-0.09580997138267378,0.9812173295364227,4.995833333333334,236,120,116,0,46.1070026658274,20530.4034375,baseline_full_liquidity_detail,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,1.0,0.0,,,,,,,,
2025-06-04,2026-05-29,240,500000.0,778429.2901700002,0.5568585803400004,0.5948000186741447,-0.2364362229129694,0.5375,0.08773638827034835,-0.09094442663814373,0.9643214374645647,5.0,235,120,115,0,45.07457662826375,19913.809830000006,adaptive_style_switch,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,1.0,0.0,22.0,137.0,17.0,66.0,20.0,,,
2025-06-04,2026-05-29,240,500000.0,730623.3273674999,0.4612466547349998,0.4917065174108526,-0.17799036093645226,0.5333333333333333,0.08422083173733208,-0.09067380430134542,0.7152557741232902,5.0,235,120,115,0,33.6417026747486,14833.382632500003,adaptive_style_switch_dynamic_position,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,1.0,0.0,22.0,137.0,17.0,66.0,20.0,0.7677083333333333,0.5,1.0
