experiment_id,experiment_group,experiment_name,strategy,trade_date,industry,industry_weight,industry_names
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-03,化学制药,0.1989566480996757,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-03,小金属,0.1949301854764805,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-03,煤炭开采,0.2047847958584386,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-03,电气设备,0.1897397127937893,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-03,铝,0.1928312020498911,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-04,化学制药,0.1944526153503107,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-04,小金属,0.1985603437889007,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-04,煤炭开采,0.2034533732525152,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-04,电气设备,0.1908905704444942,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-04,铝,0.1939854619200397,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-05,化学制药,0.1949355362205386,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-05,小金属,0.1902628146893465,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-05,煤炭开采,0.2016374396072463,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-05,电气设备,0.1962703136343738,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-05,铝,0.1983514057239447,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-06,化学制药,0.2072032668781745,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-06,小金属,0.1838473823452932,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-06,煤炭开采,0.1964366489450158,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-06,电气设备,0.2026368036962864,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-06,铝,0.191637906314811,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-09,化学制药,0.202783556757721,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-09,小金属,0.1760921566121867,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-09,煤炭开采,0.1964091450859695,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-09,电气设备,0.2187485605356079,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-09,铝,0.1880683046790785,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-10,化学制药,0.2043181664461564,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-10,小金属,0.1767147375186629,1
1,smoke,current_baseline,tiered_liquidity_then_bs_v2,2026-03-10,煤炭开采,0.19471072915245,1
