curve,total_return,max_drawdown,calmar,sharpe,cvar95,ulcer,n_days,n_blocked,n_risk_new_entry,n_force_sells
S60,0.133731,-0.351144,0.109,0.1489,0.038301,0.17093,842,0,0,0
B1_FREEZE60,0.027089,-0.228331,0.0352,0.037,0.032432,0.11682,842,2825,0,0
B2_SCALE40,0.20153,-0.287935,0.1962,0.2556,0.031446,0.13646,842,0,0,0
B3_FREEZE40,0.027089,-0.228331,0.0352,0.037,0.032432,0.11682,842,2825,0,0
B4_FORCESELL40,0.629392,-0.26585,0.5918,0.6224,0.033607,0.093326,842,0,0,26
