strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-03,002897,意华股份,BUY,91.2,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-03,300179,四方达,BUY,51.3,0,1900,1900,1900,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-03,300394,天孚通信,BUY,497.38,0,200,200,200,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-03,300433,蓝思科技,BUY,44.39,0,2200,2200,2200,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-03,603678,火炬电子,BUY,63.93,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-03,300285,国瓷材料,BUY,60.47,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-03,300394,天孚通信,BUY,497.38,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-03,300433,蓝思科技,BUY,44.39,0,2200,2200,2200,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-03,601208,东材科技,BUY,56.49,0,1700,1700,1700,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-03,300620,光库科技,BUY,337.06,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-03,600183,生益科技,BUY,141.09,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-03,600584,长电科技,BUY,80.13,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5
baseline_full_score,基础综合评分策略,2026-06-03,300433,蓝思科技,BUY,44.39,0,2200,2200,2200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5
baseline_full_score,基础综合评分策略,2026-06-03,600162,香江控股,BUY,3.35,0,29800,29800,29800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5
baseline_full_score,基础综合评分策略,2026-06-03,603011,合锻智能,BUY,30.91,0,3200,3200,3200,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5
baseline_full_score,基础综合评分策略,2026-06-03,603319,美湖股份,BUY,42.6,0,2300,2300,2300,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5
baseline_full_score,基础综合评分策略,2026-06-03,603678,火炬电子,BUY,63.93,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,002897,意华股份,BUY,91.2,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,300179,四方达,BUY,51.3,0,1900,1900,1900,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,300394,天孚通信,BUY,497.38,0,200,200,200,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,300433,蓝思科技,BUY,44.39,0,2200,2200,2200,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-03,603678,火炬电子,BUY,63.93,0,1500,1500,1500,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5
