order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
348,2025-05-07,2,2025-05-06,300548,BUY,TARGET_REBALANCE,49.28,49.375,300,14812.5077,28.5077,11.109381,0.0,0.0,11.109381,-14823.62,157949.49,143125.87,0,300,198790.0,213574.0,356739.49,356699.87,True,0.6,c0.00075_s0.001
349,2025-05-08,1,2025-05-07,002261,SELL,HOLD_EXPIRY,33.7,33.6663,2200,74065.86,74.14,55.549395,0.0,0.0,55.549395,74010.31,143125.87,217136.18,2200,0,203262.0,129122.0,346387.87,346258.18,True,0.6,c0.00075_s0.001
350,2025-05-08,2,2025-05-07,000158,BUY,TARGET_REBALANCE,24.8,24.8787,3100,77123.8268,243.8268,57.84287,0.0,0.0,57.84287,-77181.67,217136.18,139954.51,0,3100,129122.0,206002.0,346258.18,345956.51,True,0.6,c0.00075_s0.001
351,2025-05-13,1,2025-05-12,300773,SELL,HOLD_EXPIRY,21.4,21.7371,900,19563.427,303.427,14.67257,0.0,0.0,14.67257,19548.75,139954.51,159503.27,900,0,210714.0,191454.0,350668.51,350957.27,True,0.6,c0.00075_s0.001
352,2025-05-13,2,2025-05-12,002130,BUY,TARGET_REBALANCE,21.32,21.4729,800,17178.2811,122.2811,12.883711,0.0,0.0,12.883711,-17191.16,159503.27,142312.1,0,800,191454.0,208510.0,350957.27,350822.1,True,0.6,c0.00075_s0.001
353,2025-05-16,1,2025-05-15,300766,SELL,HOLD_EXPIRY,37.99,37.952,1300,49337.613,49.387,37.00321,0.0,0.0,37.00321,49300.61,142312.1,191612.71,1300,0,196752.0,147365.0,339064.1,338977.71,True,0.6,c0.00075_s0.001
354,2025-05-16,2,2025-05-15,601919,BUY,TARGET_REBALANCE,15.88,17.6321,3100,54659.5549,5431.5549,40.994666,0.0,0.0,40.994666,-54700.55,191612.71,136912.16,0,3100,147365.0,196593.0,338977.71,333505.16,True,0.6,c0.00075_s0.001
355,2025-05-20,1,2025-05-19,600839,SELL,HOLD_EXPIRY,10.49,10.5314,4000,42125.4324,165.4324,31.594074,0.0,0.0,31.594074,42093.84,136912.16,179006.0,4000,0,198500.0,156540.0,335412.16,335546.0,True,0.6,c0.00075_s0.001
356,2025-05-21,1,2025-05-20,300548,SELL,HOLD_EXPIRY,47.81,47.8064,300,14341.9337,1.0663,10.75645,0.0,0.0,10.75645,14331.18,179006.0,193337.18,300,0,154130.0,139787.0,333136.0,333124.18,True,0.6,c0.00075_s0.001
357,2025-05-21,2,2025-05-20,300750,BUY,TARGET_REBALANCE,266.99,272.4275,100,27242.7455,543.7455,20.432059,0.0,0.0,20.432059,-27263.18,193337.18,166074.0,0,100,139787.0,166486.0,333124.18,332560.0,True,0.6,c0.00075_s0.001
358,2025-05-21,3,2025-05-20,300963,BUY,TARGET_REBALANCE,31.61,44.2921,200,8858.4296,2536.4296,6.643822,0.0,0.0,6.643822,-8865.07,166074.0,157208.93,0,200,166486.0,172808.0,332560.0,330016.93,True,0.6,c0.00075_s0.001
359,2025-05-22,1,2025-05-21,000158,SELL,HOLD_EXPIRY,23.4,23.4272,3100,72624.4728,84.4728,54.468355,0.0,0.0,54.468355,72570.0,157208.93,229778.93,3100,0,173609.0,101069.0,330817.93,330847.93,True,0.6,c0.00075_s0.001
360,2025-05-23,1,2025-05-22,600418,BUY,TARGET_REBALANCE,40.0,40.04,2300,92092.0,92.0,69.069,0.0,0.0,69.069,-92161.07,229778.93,137617.86,0,2300,100156.0,192156.0,329934.93,329773.86,True,0.6,c0.00075_s0.001
361,2025-05-27,1,2025-05-26,002130,SELL,HOLD_EXPIRY,19.78,19.882,800,15905.5985,81.5985,11.929199,0.0,0.0,11.929199,15893.67,137617.86,153511.53,800,0,193396.0,177572.0,331013.86,331083.53,True,0.6,c0.00075_s0.001
362,2025-05-29,1,2025-05-28,601229,BUY,TARGET_REBALANCE,10.52,11.3638,1700,19318.3791,1434.3791,14.488784,0.0,0.0,14.488784,-19332.87,153511.53,134178.66,0,1700,171889.0,189773.0,325400.53,323951.66,True,0.6,c0.00075_s0.001
363,2025-05-30,1,2025-05-29,601919,SELL,HOLD_EXPIRY,16.4,18.1731,3100,56336.637,5496.637,42.252478,0.0,0.0,42.252478,56294.38,134178.66,190473.05,3100,0,190645.0,139805.0,324823.66,330278.05,True,0.6,c0.00075_s0.001
364,2025-05-30,2,2025-05-29,002639,BUY,TARGET_REBALANCE,10.85,10.8608,5200,56476.42,56.42,42.357315,0.0,0.0,42.357315,-56518.78,190473.05,133954.27,0,5200,139805.0,196225.0,330278.05,330179.27,True,0.6,c0.00075_s0.001
365,2025-06-05,1,2025-06-04,300750,SELL,HOLD_EXPIRY,251.36,255.9667,100,25596.6677,460.6677,19.197501,0.0,0.0,19.197501,25577.47,133954.27,159531.74,100,0,191236.0,166100.0,325190.27,325631.74,True,0.6,c0.00075_s0.001
366,2025-06-05,2,2025-06-04,300963,SELL,HOLD_EXPIRY,30.5,42.6515,200,8530.3012,2430.3012,6.397726,0.0,0.0,6.397726,8523.9,159531.74,168055.65,200,0,166100.0,160000.0,325631.74,328055.65,True,0.6,c0.00075_s0.001
367,2025-06-05,3,2025-06-04,002550,BUY,TARGET_REBALANCE,8.6,8.8189,2400,21165.3842,525.3842,15.874038,0.0,0.0,15.874038,-21181.26,168055.65,146874.39,0,2400,160000.0,180640.0,328055.65,327514.39,True,0.6,c0.00075_s0.001
368,2025-06-05,4,2025-06-04,300468,BUY,TARGET_REBALANCE,26.66,26.7406,500,13370.3069,40.3069,10.02773,0.0,0.0,10.02773,-13380.33,146874.39,133494.05,0,500,180640.0,193970.0,327514.39,327464.05,True,0.6,c0.00075_s0.001
369,2025-06-09,1,2025-06-06,600418,SELL,HOLD_EXPIRY,35.81,35.7742,2300,82280.637,82.363,61.710478,0.0,0.0,61.710478,82218.93,133494.05,215712.98,2300,0,201772.0,119409.0,335266.05,335121.98,True,0.6,c0.00075_s0.001
370,2025-06-09,2,2025-06-06,300255,BUY,TARGET_REBALANCE,44.46,44.5045,1800,80108.028,80.028,60.081021,0.0,0.0,60.081021,-80168.11,215712.98,135544.87,0,1800,119409.0,199437.0,335121.98,334981.87,True,0.6,c0.00075_s0.001
371,2025-06-13,1,2025-06-12,601229,SELL,HOLD_EXPIRY,10.58,11.1706,1700,18990.0509,1004.0509,14.242538,0.0,0.0,14.242538,18975.81,135544.87,154520.68,1700,0,205579.0,187593.0,341123.87,342113.68,True,0.6,c0.00075_s0.001
372,2025-06-13,2,2025-06-12,002734,BUY,TARGET_REBALANCE,22.21,22.8402,700,15988.1522,441.1522,11.991114,0.0,0.0,11.991114,-16000.14,154520.68,138520.53,0,700,187593.0,203140.0,342113.68,341660.53,True,0.6,c0.00075_s0.001
373,2025-06-16,1,2025-06-13,002639,SELL,HOLD_EXPIRY,11.04,11.029,5200,57350.592,57.408,43.012944,0.0,0.0,43.012944,57307.58,138520.53,195828.11,5200,0,204368.0,146960.0,342888.53,342788.11,True,0.6,c0.00075_s0.001
374,2025-06-17,1,2025-06-16,300085,BUY,TARGET_REBALANCE,41.36,41.4014,1300,53821.768,53.768,40.366326,0.0,0.0,40.366326,-53862.13,195828.11,141965.98,0,1300,153136.0,206904.0,348964.11,348869.98,True,0.6,c0.00075_s0.001
375,2025-06-19,1,2025-06-18,002550,SELL,HOLD_EXPIRY,8.33,8.525,2400,20459.9196,467.9196,15.34494,0.0,0.0,15.34494,20444.57,141965.98,162410.55,2400,0,212053.0,192061.0,354018.98,354471.55,True,0.6,c0.00075_s0.001
