strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,adaptive_role,adaptive_underlying_strategy,market_style_state,selected_strategy,target_position_ratio,adaptive_target_position_ratio,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,governed_nav_drawdown_20d,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,route_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,planned_uplift_ratio,capped_uplift_ratio,precommit_cap_applied,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio,corporate_action_status
production_governed_vol_position_v1_2b_gate_tuned,2026-01-15,2026-01-14,163950.15150000004,407525.0,571475.1515,1.1429503030000001,5,0.7131106206986149,5,412945.0,5,0,576895.1515,5,0.7,4,0.2841940187462297,0.30000000000000004,0.30000000000000004,0.0,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-4.493686991569046e-05,,,,0.1359111635848426,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-16,2026-01-15,163950.15150000004,389952.0,553902.1515,1.107804303,5,0.7040088198682506,5,391197.0,5,0,555147.1515,5,0.7,5,0.2953273759164736,0.30000000000000004,0.30000000000000004,0.0,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-0.04633208616376594,,,,0.19242620554252624,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-19,2026-01-16,163950.15150000004,376349.0,540299.1515,1.0805983030000001,5,0.6965567111389401,5,374620.0,5,0,538570.1515,5,0.7,5,0.3044174487638683,0.30000000000000004,0.30000000000000004,0.004417448763868237,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-0.07565760662752696,,,,0.0873996445156151,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-20,2026-01-19,174087.41400000005,368994.0,543081.4140000001,1.0861628280000002,5,0.6794450896086087,0,0.0,5,10,543124.1515,5,0.7,0,0.3208609528544437,0.30000000000000004,0.30000000000000004,0.02086095285444367,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,,0,,,,,,,,,,,,-0.09835805930313946,,,,0.09533858605314434,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-21,2026-01-20,174087.41400000005,377142.0,551229.4140000001,1.1024588280000003,5,0.6841833734220866,5,366128.0,5,0,540215.4140000001,5,0.7,1,0.3222555474879508,0.30000000000000004,0.30000000000000004,0.022255547487950778,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,0.061059950197072776,0,,,,,,,,,,,,-0.09835805930313946,,,,0.08145823002435794,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-22,2026-01-21,174087.41400000005,373536.0,547623.4140000001,1.0952468280000003,5,0.6821037787109664,5,383898.0,5,0,557985.4140000001,5,0.7,2,0.31199276832709466,0.30000000000000004,0.30000000000000004,0.011992768327094616,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,0.07702772306362182,0,,,,,,,,,,,,-0.09835805930313946,,,,0.10995308947557073,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-23,2026-01-22,174087.41400000005,378422.0,552509.4140000001,1.1050188280000002,5,0.6849150266243245,5,372834.0,5,0,546921.4140000001,5,0.7,3,0.3183042564137012,0.30000000000000004,0.30000000000000004,0.018304256413701148,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,0.03917866731267594,0,,,,,,,,,,,,-0.09835805930313946,,,,0.11628204809989073,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-26,2026-01-23,174087.41400000005,372646.0,546733.4140000001,1.0934668280000002,5,0.681586291340152,5,380908.0,5,0,554995.4140000001,5,0.7,2,0.31367360812102135,0.30000000000000004,0.30000000000000004,0.013673608121021308,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,0.029686641325569196,0,,,,,,,,,,,,-0.09835805930313946,,,,0.05584420171461353,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-27,2026-01-26,174087.41400000005,372662.0,546749.4140000001,1.0934988280000002,5,0.6815956093553306,5,370288.0,5,0,544375.4140000001,5,0.7,4,0.3197929398038538,0.30000000000000004,0.30000000000000004,0.01979293980385377,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,-0.04255566402844113,0,,,,,,,,,,,,-0.09835805930313946,,,,0.1400409462661677,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_gate_tuned,2026-01-28,2026-01-27,174087.41400000005,372744.0,546831.4140000001,1.0936628280000003,5,0.6816433556247739,5,375648.0,5,0,549735.4140000001,5,0.7,5,0.3166749122697051,0.30000000000000004,0.30000000000000004,0.016674912269705078,0.0,0,0.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_gate_tuned,not_applicable,-0.05858190240721273,0,,,,,,,,,,,,-0.09835805930313946,,,,0.13726227006435193,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
