名称,SinaApp,,现价,5日移动均线,10日移动均线,20日移动均线,市盈增长比率,公允价值,公允价值上行边际,公允价值不确定性,贝塔(5年),价格动能评分,现金流评分,财务成长稳健度评分,盈利评分,atr_14d,交易量(仅交易日),流通股份,市值(经调整),预期净利润增长率,毛利率,税前利润率,1周价格总回报,年初至今的价格总回报,市盈率(经调整),technical_signal_1d,technical_signal_1w,EV/EBITDA增长率,PEGY比率,每股股息(不包括特别股息及未就拆股调整)
中国宝安,#N/A,9,9.74,9.553981172,9.4821788703845,9.2902688285607,-1.731484427,8.5841,-0.1187,中性,0.833087,2.87177083333333,1.8065075,1.64217083333333,2.2644125,0.2364,71211860,2579213965,25276296857,-0.052011883,0.262137,0.0785706653327354,0.0251146973303374,0.0744098303167143,94.1075204156206,强力买入,强力买入,1.29641717574332,-1.741359587,0.03
深物业A,11,11,9.13,9.254,9.547,9.4515,0.008417151,6.5315,-0.2846,中性,0.414825,2.026395833,1.42051,0.731072917,0.998375,0.4829,9444963,595979092,4979341235,NM,-0.156606,-0.396955293,-0.052410901,0.034324943,-4.502059176,卖出,中性,NM-,0.008417151,0
深科技,21,21,21.95,21.598,21.151,20.0335,75.72%,19.6817,-10.33%,中性,-,3.282504167,2.643539474,3.396497917,3.045883333,0.8307,98844030,1567280671,34229409854,-17.87%,15.92%,8.94%,3.51%,15.84%,28.15556329,强力买入,强力买入,0.771097349,0.742576116,0.19
特 力Ａ,25,25,18.15,17.9,17.842,17.629,-1126.99%,20.1172,10.84%,最低,0.495827,2.760983333,3.71462,3.511091304,3.23523125,0.4443,22543280,431058320,7234588100,124.48%,13.10%,8.95%,-1.15%,9.56%,50.58230728,强力买入,强力买入,1.36246713,-12.87403031,0.1
深深房Ａ,#N/A,29,29.21,30.132,27.936,24.6955,-5.287885923,15.1582,-0.4811,高,0.571782,4.2201,2.1157125,2.082520833,0.825958333,2.0307,9563331,1011660000,26066504359,NM,-0.168827,-0.448839586,-0.046890589,0.903054449,-311.0643186,强力买入,强力买入,NM-,-5.287885923,0
中集集团,39,39,8.07,8.192,8.146,8.1465,0.007632484,12.6994,0.5737,中性,1.09131,2.361458333,2.78394,2.97148125,2.538216667,0.1321,64416970,5359233735,41514222664,0.072532806,0.127198,0.040470199,-0.00973236,0.070917121,11.74446465,强力卖出,中性,NM-,0.007622409,0.176
德赛电池,#N/A,49,24.43,24.29,24.234,23.8205,-0.749503076,31.0538,0.2711,中性,0.852233,2.459783333,2.17516,1.494802083,2.28105625,0.6293,16957770,384638534,9481339863,0.133139011,0.090408,0.016752345,0.018595041,0.064795457,24.36828498,强力买入,强力买入,NM-,-0.785292526,0.33
中国长城,#N/A,66,18.04,18.304,18,17.0045,3.140374597,10.6836,-0.4078,高,-,2.98865,1.7826225,1.80501875,0.998208333,0.9814,156078300,3214684684,57510708996,1.03139389,0.102193,-0.063644204,-0.015410017,0.227865477,-67.75686803,强力买入,强力买入,NM-,3.140374597,0
海王生物,78,78,2.63,2.67,2.69,2.705,-0.184210511,2.2658,-0.1385,最低,0.333824,1.660145833,1.549995,1.328177083,1.260366667,0.0793,24832140,2631123257,6788298003,-1.094207948,0.090183,-0.03758077,-0.065217391,0.011764706,-7.257415446,强力卖出,中性,NM-,-0.184210511,-
华数传媒,156,156,8.3,8.420083527,8.3801067287975,8.24654060351725,-8.882149857,7.8845,-0.0501,最低,0.467353,2.836366667,2.7187775,2.113595652,2.309654167,0.2364,20530190,1961510300,16398226108,0.741893354,0.310681,0.054399234,-0.011771546,0.185874144,34.64290861,中性,强力买入,NM-,-24.39362961,0.18
沈阳机床,#N/A,410,7.45,6.992,6.914,6.83,-26.78130699,4.4002,-0.4094,中性,0.34266,3.0398,1.3889225,2.611613043,1.33938125,0.1893,57714330,2358970620,17008178170,NM,0.067534,0.013818574,0.038904899,0.014064698,-135.8930149,强力买入,强力买入,NM-,-26.78130699,-
